Id,Temperature (K),Pressure (kPa),Phase,N Components,Component 1,Role 1,Mole Fraction 1,Exact Amount 1,Component 2,Role 2,Mole Fraction 2,Exact Amount 2,Component 3,Role 3,Mole Fraction 3,Exact Amount 3,Density Value (g / ml),Density Uncertainty (g / ml),Source
e634dbc0a1d84e2998c53b3c80b2bbc2,318.15,101.325,Liquid,1,COC(C)=O,Solvent,1.0,,,,,,,,,,0.9001000000000002,0.00012000000000000003,10.1016/j.jct.2003.11.008
376dd8fd9fbd444cbea1c66569b907ab,318.15,101.325,Liquid,1,CCOC(C)=O,Solvent,1.0,,,,,,,,,,0.8695400000000002,0.00012000000000000003,10.1016/j.jct.2003.11.008
722ddebafe314b1a83d94258ee62d545,318.15,101.325,Liquid,1,CCCOC(C)=O,Solvent,1.0,,,,,,,,,,0.8597800000000002,0.0004400000000000001,10.1016/j.jct.2003.11.008
ab3fa54b43624418874f0ab7277a6799,318.15,101.325,Liquid,1,CCCCOC(C)=O,Solvent,1.0,,,,,,,,,,0.8553900000000002,8.500000000000002e-05,10.1016/j.jct.2003.11.008
a40ace2788f6416692185e9256091113,318.15,101.325,Liquid,1,CCCCCOC(C)=O,Solvent,1.0,,,,,,,,,,0.8529300000000002,0.00022500000000000005,10.1016/j.jct.2003.11.008
0b09b97466174665a5e4c650fa5f555c,318.15,101.325,Liquid,1,CCCCCCC,Solvent,1.0,,,,,,,,,,0.6620400000000001,0.00013500000000000003,10.1016/j.jct.2003.11.008
c99e409885db417aa98d99ccac62bdd5,318.15,101.325,Liquid,1,CCCCCCCCC,Solvent,1.0,,,,,,,,,,0.6980600000000001,0.00020000000000000006,10.1016/j.jct.2003.11.008
6321b6725ed04926a2e086f6a5a30982,318.15,101.325,Liquid,1,CCCCCCCCCCC,Solvent,1.0,,,,,,,,,,0.7217600000000002,0.00020500000000000005,10.1016/j.jct.2003.11.008
4c5a74e443ad48419c1f8bfd241b4a7d,318.15,101.325,Liquid,1,CCCCCCCCCCCCC,Solvent,1.0,,,,,,,,,,0.7383400000000002,0.00020500000000000005,10.1016/j.jct.2003.11.008
45e6290a21b841fc974b0b1015808890,318.15,101.325,Liquid,1,CCCCCCCCCCCCCCC,Solvent,1.0,,,,,,,,,,0.7509000000000001,0.0003900000000000001,10.1016/j.jct.2003.11.008
