,Id,Temperature (K),Pressure (kPa),Phase,N Components,Component 1,Role 1,Mole Fraction 1,Exact Amount 1,Component 2,Role 2,Mole Fraction 2,Exact Amount 2,Component 3,Role 3,Mole Fraction 3,Exact Amount 3,Density Value (g / ml),Density Uncertainty (g / ml),OsmoticCoefficient Value (),OsmoticCoefficient Uncertainty (),Source
0,582221d2ba0444d181bcc92999b12f9a,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.008848257766444224,,[Cl-].[Na+],Solvent,0.008848257766444224,,O,Solvent,0.9823034844671115,,,,0.91,0.0055,10.1016/j.jct.2013.08.018
1,8cb5b9ee1bd7422fa0481d75a0060667,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.017541305539911355,,[Cl-].[Na+],Solvent,0.008770652769955678,,O,Solvent,0.973688041690133,,,,0.906,0.0055,10.1016/j.jct.2013.08.018
2,e4aa55afc9be47dd9b5c02f42f7fdf0b,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.026083191692400795,,[Cl-].[Na+],Solvent,0.008694397230800266,,O,Solvent,0.9652224110767988,,,,0.897,0.0055,10.1016/j.jct.2013.08.018
3,3aa9d5c8bcc047eda5916963403c593f,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.03447782501685054,,[Cl-].[Na+],Solvent,0.008619456254212635,,O,Solvent,0.9569027187289367,,,,0.891,0.0055,10.1016/j.jct.2013.08.018
4,88a9b642bff84edda51202fba6f26036,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.003526820619403094,,[Cl-].[Na+],Solvent,0.01763410309701547,,O,Solvent,0.9788390762835814,,,,0.949,0.005,10.1016/j.jct.2013.08.018
5,02c98d145c554105acfe8c1a8b4ca279,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.00702885173956038,,[Cl-].[Na+],Solvent,0.01757212934890095,,O,Solvent,0.9753990189115387,,,,0.929,0.005,10.1016/j.jct.2013.08.018
6,1d8aa96a47e645c4ae585a95d9a532a1,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.010506353807721648,,[Cl-].[Na+],Solvent,0.01751058967953608,,O,Solvent,0.9719830565127423,,,,0.941,0.005,10.1016/j.jct.2013.08.018
7,a576e5f9c93b4d5e9d500b07cce3a7ae,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.01395958363540153,,[Cl-].[Na+],Solvent,0.01744947954425191,,O,Solvent,0.9685909368203466,,,,0.928,0.005,10.1016/j.jct.2013.08.018
8,ae633c243b2942f7a9704e39b97f6ad1,298.15,101.0,Liquid,2,[Cl-].[Na+],Solvent,0.017696515532888448,,O,Solvent,0.9823034844671115,,,,,,,,0.927,0.005,10.1016/j.jct.2013.08.018
9,113df081a9ee45a29d00f7190d0d6b31,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.003526820619403094,,[Cl-].[Na+],Solvent,0.01763410309701547,,O,Solvent,0.9788390762835814,,,,0.917,0.005,10.1016/j.jct.2013.08.018
10,ea600d076bae410888be956b33574dbe,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.00702885173956038,,[Cl-].[Na+],Solvent,0.01757212934890095,,O,Solvent,0.9753990189115387,,,,0.909,0.0055,10.1016/j.jct.2013.08.018
11,9df7730986f547d2aa61dbc3cd8341a2,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.010506353807721648,,[Cl-].[Na+],Solvent,0.01751058967953608,,O,Solvent,0.9719830565127423,,,,0.903,0.0055,10.1016/j.jct.2013.08.018
12,ae7c6d4d5ca24222857cdca17a8d59e7,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.01385633747339982,,[Cl-].[Na+],Solvent,0.017451306641561484,,O,Solvent,0.9686923558850388,,,,0.905,0.0055,10.1016/j.jct.2013.08.018
13,299db0b61e7d42dc84f9dc96c5d30365,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.01720080783695548,,[Cl-].[Na+],Solvent,0.017392121169823537,,O,Solvent,0.965407070993221,,,,0.891,0.0055,10.1016/j.jct.2013.08.018
14,ecfaf290c53445ab9533f8f21ab8c436,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.020862104096372694,,[Cl-].[Na+],Solvent,0.017327328983698254,,O,Solvent,0.961810566919929,,,,0.886,0.0055,10.1016/j.jct.2013.08.018
15,02390e52a991402795bc3a964dc74d6f,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.02414245102607823,,[Cl-].[Na+],Solvent,0.017269278273303455,,O,Solvent,0.9585882707006183,,,,0.882,0.0055,10.1016/j.jct.2013.08.018
16,92335910c5534ef689dbcc23d4b7d051,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.027317184237104424,,[Cl-].[Na+],Solvent,0.017213096557721755,,O,Solvent,0.9554697192051739,,,,0.889,0.0055,10.1016/j.jct.2013.08.018
17,8e9d16a7cb1f4689a82c86739351c752,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.03406761929604305,,[Cl-].[Na+],Solvent,0.01709363737884749,,O,Solvent,0.9488387433251094,,,,0.887,0.0055,10.1016/j.jct.2013.08.018
18,b5606e7744164286b4574bbd6b7b0661,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.037588158766996276,,[Cl-].[Na+],Solvent,0.017031336097415622,,O,Solvent,0.9453805051355881,,,,0.88,0.0055,10.1016/j.jct.2013.08.018
19,57c1d64417c64e839abd9c8af2a30cd6,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.04403557393623244,,[Cl-].[Na+],Solvent,0.016917239314726253,,O,Solvent,0.9390471867490412,,,,0.884,0.0055,10.1016/j.jct.2013.08.018
20,ae3247196fe74640915c8addcfe8242f,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.05026949938364007,,[Cl-].[Na+],Solvent,0.016806920556215334,,O,Solvent,0.9329235800601445,,,,0.883,0.0055,10.1016/j.jct.2013.08.018
21,1f3a0d2d7571490a8b1aa1d71c56004e,298.15,101.0,Liquid,2,[Cl-].[Na+],Solvent,0.05127477682944985,,O,Solvent,0.9487252231705502,,,,,,,,1.051,0.005,10.1016/j.jct.2013.08.018
22,3160cfb3b0e347578782651ff289cba9,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.003406673360876007,,[Cl-].[Na+],Solvent,0.051100100413140094,,O,Solvent,0.9454932262259838,,,,1.037,0.005,10.1016/j.jct.2013.08.018
23,787008a42ffd43d18477c41426595e0e,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.006756492995090925,,[Cl-].[Na+],Solvent,0.050928339158976814,,O,Solvent,0.9423151678459323,,,,1.025,0.005,10.1016/j.jct.2013.08.018
24,43c3c92baef24b1e8cfa0ae775a87251,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.01015085876235655,,[Cl-].[Na+],Solvent,0.05075429381178275,,O,Solvent,0.9390948474258607,,,,1.015,0.005,10.1016/j.jct.2013.08.018
25,8b67ed81859744eb81a0b5f413063a74,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.013555367211425856,,[Cl-].[Na+],Solvent,0.050579728400842745,,O,Solvent,0.9358649043877313,,,,1.01,0.005,10.1016/j.jct.2013.08.018
26,0f5d66e26e314ec697cbbdbb322b9687,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.016721761788146525,,[Cl-].[Na+],Solvent,0.050417372225567414,,O,Solvent,0.932860865986286,,,,1.004,0.005,10.1016/j.jct.2013.08.018
27,7e37a3bdb64342f69bd8ebd0b6dd75b6,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.020064884440163588,,[Cl-].[Na+],Solvent,0.050245954357671756,,O,Solvent,0.9296891612021646,,,,1.001,0.005,10.1016/j.jct.2013.08.018
28,081059908a9a492480e96d14ae66a960,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.023385351046995004,,[Cl-].[Na+],Solvent,0.050075698173436836,,O,Solvent,0.926538950779568,,,,1.007,0.005,10.1016/j.jct.2013.08.018
29,b63696b144644a338c5f12dad6566b4b,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.026537644572380902,,[Cl-].[Na+],Solvent,0.049914065026421754,,O,Solvent,0.9235482904011973,,,,0.99,0.005,10.1016/j.jct.2013.08.018
30,9e0d912015774ede9941bbc50e350976,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.029750109276166278,,[Cl-].[Na+],Solvent,0.04974934661566267,,O,Solvent,0.920500544108171,,,,0.985,0.005,10.1016/j.jct.2013.08.018
31,ff2448be6d6046379fd932eb8ce3106c,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.032893486530154205,,[Cl-].[Na+],Solvent,0.04958817064847368,,O,Solvent,0.9175183428213721,,,,0.987,0.005,10.1016/j.jct.2013.08.018
32,736460c1369841dfb9280a135685afe8,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.036207115534530515,,[Cl-].[Na+],Solvent,0.04941826506077869,,O,Solvent,0.9143746194046908,,,,0.983,0.005,10.1016/j.jct.2013.08.018
33,3437e40a99d54f91a87ab247b4f991c8,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.04250040537994594,,[Cl-].[Na+],Solvent,0.049095578028431966,,O,Solvent,0.9084040165916221,,,,0.973,0.005,10.1016/j.jct.2013.08.018
34,80f5d94e5e654b17bbf830259851e3d7,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.04874297468596962,,[Cl-].[Na+],Solvent,0.048775491680423236,,O,Solvent,0.9024815336336072,,,,0.974,0.005,10.1016/j.jct.2013.08.018
35,5dc5c65bbd184b408428ca14c6f3f002,298.15,101.0,Liquid,2,[Cl-].[K+],Solvent,0.0089272483610882,,O,Solvent,0.9910727516389117,,,,,,,,0.905,0.0055,10.1016/j.jct.2013.08.018
36,fa7042bad77344d2a24f0c8c8f17448c,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.004443788777503604,,[Cl-].[K+],Solvent,0.008887577555007208,,O,Solvent,0.9866686336674892,,,,0.909,0.0055,10.1016/j.jct.2013.08.018
37,e59db0ea13b44c2fb955b4379ed48218,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.007091155086769293,,[Cl-].[K+],Solvent,0.008863943858461615,,O,Solvent,0.9840449010547692,,,,0.916,0.005,10.1016/j.jct.2013.08.018
38,15dc3cbee61a4e67bf6cee89771ac2e4,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.010948589404495654,,[Cl-].[K+],Solvent,0.008829507584270688,,O,Solvent,0.9802219030112337,,,,0.917,0.005,10.1016/j.jct.2013.08.018
39,ae71fe8d1b6a4dfda0e5b3bab75a12f0,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.011123215305902967,,[Cl-].[K+],Solvent,0.008827948655478545,,O,Solvent,0.9800488360386185,,,,0.911,0.005,10.1016/j.jct.2013.08.018
40,9f07f29d5fef45cfa0ba0c27fbdec27a,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.011123215305902967,,[Cl-].[K+],Solvent,0.008827948655478545,,O,Solvent,0.9800488360386185,,,,0.914,0.005,10.1016/j.jct.2013.08.018
41,f04d776746ef44a3b01e737e9b041e1e,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.014082449341258152,,[Cl-].[K+],Solvent,0.008801530838286345,,O,Solvent,0.9771160198204556,,,,0.915,0.005,10.1016/j.jct.2013.08.018
42,02d6922c4a4b4e0496414bb7a5ca5937,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.02097597744203183,,[Cl-].[K+],Solvent,0.008739990600846598,,O,Solvent,0.9702840319571214,,,,0.89,0.0055,10.1016/j.jct.2013.08.018
43,dc06ff21608c475790d5a35e218a97f8,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.031137397489377373,,[Cl-].[K+],Solvent,0.008649277080382604,,O,Solvent,0.9602133254302401,,,,0.885,0.0055,10.1016/j.jct.2013.08.018
44,a71896c03eba4c3faa4bb8d3862dcd96,298.15,101.0,Liquid,2,[Cl-].[K+],Solvent,0.017696515532888448,,O,Solvent,0.9823034844671115,,,,,,,,0.915,0.005,10.1016/j.jct.2013.08.018
45,608e2f2e1ed946f3a93848ffb4aea71d,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.00458002093154642,,[Cl-].[K+],Solvent,0.017615465121332382,,O,Solvent,0.9778045139471212,,,,0.902,0.0055,10.1016/j.jct.2013.08.018
46,6f717c287731457c82f380e996d6cc39,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.008770652769955678,,[Cl-].[K+],Solvent,0.017541305539911355,,O,Solvent,0.973688041690133,,,,0.896,0.0055,10.1016/j.jct.2013.08.018
47,16ebe6ab85b04b349a9f09b399feaba2,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.01395958363540153,,[Cl-].[K+],Solvent,0.01744947954425191,,O,Solvent,0.9685909368203466,,,,0.906,0.0055,10.1016/j.jct.2013.08.018
48,32b96eb21ffa4836a633ceecd4383c15,298.15,101.0,Liquid,2,[Cl-].[K+],Solvent,0.017696515532888448,,O,Solvent,0.9823034844671115,,,,,,,,0.895,0.0055,10.1016/j.jct.2013.08.018
49,5c54713bf7884da893cf51a36bdf7083,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.0035092483987541356,,[Cl-].[K+],Solvent,0.017634414064091133,,O,Solvent,0.9788563375371546,,,,0.9,0.0055,10.1016/j.jct.2013.08.018
50,48ebb3d6b30a46b0921ba5af878f4bf3,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.0070114028154886696,,[Cl-].[K+],Solvent,0.017572438134056814,,O,Solvent,0.9754161590504544,,,,0.896,0.0055,10.1016/j.jct.2013.08.018
51,4e1b2827e5324c12b1638f266a8ce453,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.01048902688708807,,[Cl-].[K+],Solvent,0.01751089630565621,,O,Solvent,0.9720000768072558,,,,0.893,0.0055,10.1016/j.jct.2013.08.018
52,33e1ef5466cc47a7a08733d598848915,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.014114412348953737,,[Cl-].[K+],Solvent,0.017446739615517598,,O,Solvent,0.9684388480355287,,,,0.895,0.0055,10.1016/j.jct.2013.08.018
53,2f004ed9ce4f4ae687b56e2db931e00c,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.01744005106059545,,[Cl-].[K+],Solvent,0.01738788739840025,,O,Solvent,0.9651720615410043,,,,0.898,0.0055,10.1016/j.jct.2013.08.018
54,8dfa73389c054dd1bf5fe7c04c5f745f,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.020912998984083494,,[Cl-].[K+],Solvent,0.017326428321527334,,O,Solvent,0.9617605726943892,,,,0.895,0.0055,10.1016/j.jct.2013.08.018
55,6f589b35e217420b89d7e403c6687f8f,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.024024470275002943,,[Cl-].[K+],Solvent,0.017271366121497444,,O,Solvent,0.9587041636034996,,,,0.893,0.0055,10.1016/j.jct.2013.08.018
56,8f76eb8303984f45923b7cf9e71615dc,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.027668657735994705,,[Cl-].[K+],Solvent,0.017206876701489245,,O,Solvent,0.9551244655625161,,,,0.892,0.0055,10.1016/j.jct.2013.08.018
57,97b791459f4e4380b2ba566b904b4b4a,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.030986722441815582,,[Cl-].[K+],Solvent,0.017148158517883556,,O,Solvent,0.9518651190403009,,,,0.889,0.0055,10.1016/j.jct.2013.08.018
58,325137e12c8c4070ba1c1b9de8936413,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.03421619811890453,,[Cl-].[K+],Solvent,0.017091008051400864,,O,Solvent,0.9486927938296946,,,,0.885,0.0055,10.1016/j.jct.2013.08.018
59,221a262affd84916ab48ce68651b1ab6,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.0371453938559213,,[Cl-].[K+],Solvent,0.017039171493541876,,O,Solvent,0.9458154346505367,,,,0.902,0.0055,10.1016/j.jct.2013.08.018
60,05c29a644a0b4b94aaeed7e9cb557ac1,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.04401940138366541,,[Cl-].[K+],Solvent,0.016917525512553964,,O,Solvent,0.9390630731037807,,,,0.892,0.0055,10.1016/j.jct.2013.08.018
61,ff96fc29a55a4dc49ede42595a61ad97,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.05023757422036536,,[Cl-].[K+],Solvent,0.016807485520363118,,O,Solvent,0.9329549402592715,,,,0.888,0.0055,10.1016/j.jct.2013.08.018
62,0c2c59625b434bf48f5d2fbd61f81752,298.15,101.0,Liquid,2,[Cl-].[K+],Solvent,0.05127477682944985,,O,Solvent,0.9487252231705502,,,,,,,,0.938,0.005,10.1016/j.jct.2013.08.018
63,a2312ff86bd940d496baae537366d31b,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.003406673360876007,,[Cl-].[K+],Solvent,0.051100100413140094,,O,Solvent,0.9454932262259838,,,,0.938,0.005,10.1016/j.jct.2013.08.018
64,908df4324477456ebfd83806d120be9b,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.006756492995090925,,[Cl-].[K+],Solvent,0.050928339158976814,,O,Solvent,0.9423151678459323,,,,0.938,0.005,10.1016/j.jct.2013.08.018
65,62ff5614311c43cbae048ac6165588a2,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.010117364899622505,,[Cl-].[K+],Solvent,0.050756011202119596,,O,Solvent,0.9391266238982579,,,,0.941,0.005,10.1016/j.jct.2013.08.018
66,c619ac6d084f407aa408cd788b4b2f22,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.013538735563814812,,[Cl-].[K+],Solvent,0.05058058118486231,,O,Solvent,0.9358806832513229,,,,0.932,0.005,10.1016/j.jct.2013.08.018
67,9ff87b29f47b44cc9d799214c6be0591,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.016886981704757165,,[Cl-].[K+],Solvent,0.05040890061121542,,O,Solvent,0.9327041176840273,,,,0.93,0.005,10.1016/j.jct.2013.08.018
68,8078d78eda99433e8d9be7c22345e6db,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.020097708524038575,,[Cl-].[K+],Solvent,0.050244271310096435,,O,Solvent,0.9296580201658649,,,,0.944,0.005,10.1016/j.jct.2013.08.018
69,365f99df88c642b78afbdd190c8e712a,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.02333644393754462,,[Cl-].[K+],Solvent,0.05007820587455928,,O,Solvent,0.9265853501878961,,,,0.934,0.005,10.1016/j.jct.2013.08.018
70,54dd5ecaca22426585039f31553c3af9,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.027023296796709725,,[Cl-].[K+],Solvent,0.04988916331700257,,O,Solvent,0.9230875398862878,,,,0.938,0.005,10.1016/j.jct.2013.08.018
71,09d52d08d82346a883140e5c7f76c66f,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.02989489556144929,,[Cl-].[K+],Solvent,0.049741922731196826,,O,Solvent,0.9203631817073539,,,,0.931,0.005,10.1016/j.jct.2013.08.018
72,67e0fd29879e43189347391188c589c9,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.03326101746538239,,[Cl-].[K+],Solvent,0.04956932558179193,,O,Solvent,0.9171696569528257,,,,0.942,0.005,10.1016/j.jct.2013.08.018
73,d1388731b42e48e49ab2ab09d9d18e3c,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.04110377096247414,,[Cl-].[K+],Solvent,0.049167190146500166,,O,Solvent,0.9097290388910256,,,,0.931,0.005,10.1016/j.jct.2013.08.018
74,d9962b0fdb534c2bbd6fa23b1e78596b,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.048943990325415444,,[Cl-].[K+],Solvent,0.048765184648371415,,O,Solvent,0.902290825026213,,,,0.941,0.005,10.1016/j.jct.2013.08.018
75,fe9f609aeb55443387e4adf4f6fac6c2,298.15,101.0,Liquid,2,O=[N+]([O-])[O-].[Na+],Solvent,0.0089272483610882,,O,Solvent,0.9910727516389117,,,,,,,,0.895,0.0055,10.1016/j.jct.2013.08.018
76,a1ff37736df4480899412b72322697ef,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.007091155086769293,,O=[N+]([O-])[O-].[Na+],Solvent,0.008863943858461615,,O,Solvent,0.9840449010547692,,,,0.883,0.0055,10.1016/j.jct.2013.08.018
77,ed09ab819e874cb6b2e62ec05c1bb6df,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.014082449341258152,,O=[N+]([O-])[O-].[Na+],Solvent,0.008801530838286345,,O,Solvent,0.9771160198204556,,,,0.872,0.0055,10.1016/j.jct.2013.08.018
78,8d056d1cfbea450e995ddf552ed6373f,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.022684323407527483,,O=[N+]([O-])[O-].[Na+],Solvent,0.008724739772125956,,O,Solvent,0.9685909368203466,,,,0.873,0.0055,10.1016/j.jct.2013.08.018
