Id,Temperature (K),Pressure (kPa),Phase,N Components,Component 1,Role 1,Mole Fraction 1,Exact Amount 1,Component 2,Role 2,Mole Fraction 2,Exact Amount 2,Component 3,Role 3,Mole Fraction 3,Exact Amount 3,OsmoticCoefficient Value (),OsmoticCoefficient Uncertainty (),Source
582221d2ba0444d181bcc92999b12f9a,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.0088482577664442,,[Cl-].[Na+],Solvent,0.0088482577664442,,O,Solvent,0.9823034844671116,,0.91,0.0055,10.1016/j.jct.2013.08.018
8cb5b9ee1bd7422fa0481d75a0060667,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.0175413055399113,,[Cl-].[Na+],Solvent,0.0087706527699556,,O,Solvent,0.973688041690133,,0.906,0.0055,10.1016/j.jct.2013.08.018
e4aa55afc9be47dd9b5c02f42f7fdf0b,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.0260831916924007,,[Cl-].[Na+],Solvent,0.0086943972308002,,O,Solvent,0.9652224110767988,,0.897,0.0055,10.1016/j.jct.2013.08.018
3aa9d5c8bcc047eda5916963403c593f,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.0344778250168505,,[Cl-].[Na+],Solvent,0.0086194562542126,,O,Solvent,0.9569027187289368,,0.891,0.0055,10.1016/j.jct.2013.08.018
88a9b642bff84edda51202fba6f26036,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.003526820619403,,[Cl-].[Na+],Solvent,0.0176341030970154,,O,Solvent,0.9788390762835814,,0.949,0.005,10.1016/j.jct.2013.08.018
02c98d145c554105acfe8c1a8b4ca279,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.0070288517395603,,[Cl-].[Na+],Solvent,0.0175721293489009,,O,Solvent,0.9753990189115388,,0.929,0.005,10.1016/j.jct.2013.08.018
1d8aa96a47e645c4ae585a95d9a532a1,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.0105063538077216,,[Cl-].[Na+],Solvent,0.017510589679536,,O,Solvent,0.9719830565127424,,0.941,0.005,10.1016/j.jct.2013.08.018
a576e5f9c93b4d5e9d500b07cce3a7ae,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.0139595836354015,,[Cl-].[Na+],Solvent,0.0174494795442519,,O,Solvent,0.9685909368203466,,0.928,0.005,10.1016/j.jct.2013.08.018
ae633c243b2942f7a9704e39b97f6ad1,298.15,101.0,Liquid,2,[Cl-].[Na+],Solvent,0.0176965155328884,,O,Solvent,0.9823034844671116,,,,,,0.927,0.005,10.1016/j.jct.2013.08.018
113df081a9ee45a29d00f7190d0d6b31,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.003526820619403,,[Cl-].[Na+],Solvent,0.0176341030970154,,O,Solvent,0.9788390762835814,,0.917,0.005,10.1016/j.jct.2013.08.018
ea600d076bae410888be956b33574dbe,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.0070288517395603,,[Cl-].[Na+],Solvent,0.0175721293489009,,O,Solvent,0.9753990189115388,,0.909,0.0055,10.1016/j.jct.2013.08.018
9df7730986f547d2aa61dbc3cd8341a2,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.0105063538077216,,[Cl-].[Na+],Solvent,0.017510589679536,,O,Solvent,0.9719830565127424,,0.903,0.0055,10.1016/j.jct.2013.08.018
ae7c6d4d5ca24222857cdca17a8d59e7,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.0138563374733998,,[Cl-].[Na+],Solvent,0.0174513066415614,,O,Solvent,0.9686923558850388,,0.905,0.0055,10.1016/j.jct.2013.08.018
299db0b61e7d42dc84f9dc96c5d30365,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.0172008078369554,,[Cl-].[Na+],Solvent,0.0173921211698235,,O,Solvent,0.965407070993221,,0.891,0.0055,10.1016/j.jct.2013.08.018
ecfaf290c53445ab9533f8f21ab8c436,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.0208621040963726,,[Cl-].[Na+],Solvent,0.0173273289836982,,O,Solvent,0.961810566919929,,0.886,0.0055,10.1016/j.jct.2013.08.018
02390e52a991402795bc3a964dc74d6f,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.0241424510260782,,[Cl-].[Na+],Solvent,0.0172692782733034,,O,Solvent,0.9585882707006184,,0.882,0.0055,10.1016/j.jct.2013.08.018
92335910c5534ef689dbcc23d4b7d051,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.0273171842371044,,[Cl-].[Na+],Solvent,0.0172130965577217,,O,Solvent,0.955469719205174,,0.889,0.0055,10.1016/j.jct.2013.08.018
8e9d16a7cb1f4689a82c86739351c752,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.034067619296043,,[Cl-].[Na+],Solvent,0.0170936373788474,,O,Solvent,0.9488387433251094,,0.887,0.0055,10.1016/j.jct.2013.08.018
b5606e7744164286b4574bbd6b7b0661,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.0375881587669962,,[Cl-].[Na+],Solvent,0.0170313360974156,,O,Solvent,0.945380505135588,,0.88,0.0055,10.1016/j.jct.2013.08.018
57c1d64417c64e839abd9c8af2a30cd6,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.0440355739362324,,[Cl-].[Na+],Solvent,0.0169172393147262,,O,Solvent,0.9390471867490412,,0.884,0.0055,10.1016/j.jct.2013.08.018
ae3247196fe74640915c8addcfe8242f,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.05026949938364,,[Cl-].[Na+],Solvent,0.0168069205562153,,O,Solvent,0.9329235800601444,,0.883,0.0055,10.1016/j.jct.2013.08.018
1f3a0d2d7571490a8b1aa1d71c56004e,298.15,101.0,Liquid,2,[Cl-].[Na+],Solvent,0.0512747768294498,,O,Solvent,0.9487252231705502,,,,,,1.051,0.005,10.1016/j.jct.2013.08.018
3160cfb3b0e347578782651ff289cba9,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.003406673360876,,[Cl-].[Na+],Solvent,0.05110010041314,,O,Solvent,0.9454932262259838,,1.037,0.005,10.1016/j.jct.2013.08.018
787008a42ffd43d18477c41426595e0e,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.0067564929950909,,[Cl-].[Na+],Solvent,0.0509283391589768,,O,Solvent,0.9423151678459324,,1.025,0.005,10.1016/j.jct.2013.08.018
43c3c92baef24b1e8cfa0ae775a87251,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.0101508587623565,,[Cl-].[Na+],Solvent,0.0507542938117827,,O,Solvent,0.9390948474258608,,1.015,0.005,10.1016/j.jct.2013.08.018
8b67ed81859744eb81a0b5f413063a74,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.0135553672114258,,[Cl-].[Na+],Solvent,0.0505797284008427,,O,Solvent,0.9358649043877312,,1.01,0.005,10.1016/j.jct.2013.08.018
0f5d66e26e314ec697cbbdbb322b9687,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.0167217617881465,,[Cl-].[Na+],Solvent,0.0504173722255674,,O,Solvent,0.932860865986286,,1.004,0.005,10.1016/j.jct.2013.08.018
7e37a3bdb64342f69bd8ebd0b6dd75b6,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.0200648844401635,,[Cl-].[Na+],Solvent,0.0502459543576717,,O,Solvent,0.9296891612021646,,1.001,0.005,10.1016/j.jct.2013.08.018
081059908a9a492480e96d14ae66a960,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.023385351046995,,[Cl-].[Na+],Solvent,0.0500756981734368,,O,Solvent,0.926538950779568,,1.007,0.005,10.1016/j.jct.2013.08.018
b63696b144644a338c5f12dad6566b4b,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.0265376445723809,,[Cl-].[Na+],Solvent,0.0499140650264217,,O,Solvent,0.9235482904011972,,0.99,0.005,10.1016/j.jct.2013.08.018
9e0d912015774ede9941bbc50e350976,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.0297501092761662,,[Cl-].[Na+],Solvent,0.0497493466156626,,O,Solvent,0.920500544108171,,0.985,0.005,10.1016/j.jct.2013.08.018
ff2448be6d6046379fd932eb8ce3106c,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.0328934865301542,,[Cl-].[Na+],Solvent,0.0495881706484736,,O,Solvent,0.917518342821372,,0.987,0.005,10.1016/j.jct.2013.08.018
736460c1369841dfb9280a135685afe8,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.0362071155345305,,[Cl-].[Na+],Solvent,0.0494182650607786,,O,Solvent,0.9143746194046908,,0.983,0.005,10.1016/j.jct.2013.08.018
3437e40a99d54f91a87ab247b4f991c8,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.0425004053799459,,[Cl-].[Na+],Solvent,0.0490955780284319,,O,Solvent,0.908404016591622,,0.973,0.005,10.1016/j.jct.2013.08.018
80f5d94e5e654b17bbf830259851e3d7,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.0487429746859696,,[Cl-].[Na+],Solvent,0.0487754916804232,,O,Solvent,0.9024815336336072,,0.974,0.005,10.1016/j.jct.2013.08.018
5dc5c65bbd184b408428ca14c6f3f002,298.15,101.0,Liquid,2,[Cl-].[K+],Solvent,0.0089272483610882,,O,Solvent,0.9910727516389116,,,,,,0.905,0.0055,10.1016/j.jct.2013.08.018
fa7042bad77344d2a24f0c8c8f17448c,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.0044437887775036,,[Cl-].[K+],Solvent,0.0088875775550072,,O,Solvent,0.9866686336674892,,0.909,0.0055,10.1016/j.jct.2013.08.018
e59db0ea13b44c2fb955b4379ed48218,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.0070911550867692,,[Cl-].[K+],Solvent,0.0088639438584616,,O,Solvent,0.9840449010547692,,0.916,0.005,10.1016/j.jct.2013.08.018
15dc3cbee61a4e67bf6cee89771ac2e4,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.0109485894044956,,[Cl-].[K+],Solvent,0.0088295075842706,,O,Solvent,0.9802219030112336,,0.917,0.005,10.1016/j.jct.2013.08.018
ae71fe8d1b6a4dfda0e5b3bab75a12f0,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.0111232153059029,,[Cl-].[K+],Solvent,0.0088279486554785,,O,Solvent,0.9800488360386184,,0.911,0.005,10.1016/j.jct.2013.08.018
9f07f29d5fef45cfa0ba0c27fbdec27a,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.0111232153059029,,[Cl-].[K+],Solvent,0.0088279486554785,,O,Solvent,0.9800488360386184,,0.914,0.005,10.1016/j.jct.2013.08.018
f04d776746ef44a3b01e737e9b041e1e,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.0140824493412581,,[Cl-].[K+],Solvent,0.0088015308382863,,O,Solvent,0.9771160198204556,,0.915,0.005,10.1016/j.jct.2013.08.018
02d6922c4a4b4e0496414bb7a5ca5937,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.0209759774420318,,[Cl-].[K+],Solvent,0.0087399906008465,,O,Solvent,0.9702840319571214,,0.89,0.0055,10.1016/j.jct.2013.08.018
dc06ff21608c475790d5a35e218a97f8,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.0311373974893773,,[Cl-].[K+],Solvent,0.0086492770803826,,O,Solvent,0.96021332543024,,0.885,0.0055,10.1016/j.jct.2013.08.018
a71896c03eba4c3faa4bb8d3862dcd96,298.15,101.0,Liquid,2,[Cl-].[K+],Solvent,0.0176965155328884,,O,Solvent,0.9823034844671116,,,,,,0.915,0.005,10.1016/j.jct.2013.08.018
608e2f2e1ed946f3a93848ffb4aea71d,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.0045800209315464,,[Cl-].[K+],Solvent,0.0176154651213323,,O,Solvent,0.9778045139471212,,0.902,0.0055,10.1016/j.jct.2013.08.018
6f717c287731457c82f380e996d6cc39,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.0087706527699556,,[Cl-].[K+],Solvent,0.0175413055399113,,O,Solvent,0.973688041690133,,0.896,0.0055,10.1016/j.jct.2013.08.018
16ebe6ab85b04b349a9f09b399feaba2,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.0139595836354015,,[Cl-].[K+],Solvent,0.0174494795442519,,O,Solvent,0.9685909368203466,,0.906,0.0055,10.1016/j.jct.2013.08.018
32b96eb21ffa4836a633ceecd4383c15,298.15,101.0,Liquid,2,[Cl-].[K+],Solvent,0.0176965155328884,,O,Solvent,0.9823034844671116,,,,,,0.895,0.0055,10.1016/j.jct.2013.08.018
