,0
0,O=S(=O)([O-])[O-].[Zn+2]
1,[Br-].[K+]
2,[Cl-].[Li+]
3,NCC(=O)O
4,O=[N+]([O-])[O-].[K+]
5,O=S(=O)([O-])[O-].[Rb+].[Rb+]
6,CC(C)O
7,C[C@H](N)C(=O)O
8,CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F
9,N.N.O=S(=O)(O)O
10,NCCCCCC(=O)O
11,[I-].[K+]
12,NCCCCC(=O)O
13,NCCC(=O)O
14,N[C@@H](CO)C(=O)O
15,[F-].[Rb+]
16,O
17,O=P([O-])(O)O.[K+]
18,CCCO
19,Cc1ccc(S(=O)(=O)[O-])cc1.[Na+]
20,CCOS(=O)(=O)[O-].CCn1cc[n+](C)c1
21,O=S(=O)([O-])[O-].[Na+].[Na+]
22,O=Cc1ccc(CO)o1
23,O=P([O-])(O)O.[Na+]
24,O=C(O)[C@@H]1CCCN1
25,[Cl-].[K+]
26,NCCCC(=O)O
27,CCCCCCn1cc[n+](C)c1.[Cl-]
28,CCCCO
29,[I-].[Na+]
30,[Cs+].[F-]
31,CCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
32,CO
33,CCCC[N+]1(C)CCCC1.N#C[N-]C#N
34,Cl
35,[I-].[Li+]
36,CCCn1cc[n+](C)c1.COS(=O)(=O)[O-]
37,CN(CCO)CCO
38,CCCCn1cc[n+](C)c1.[Cl-]
39,CCCCn1cc[n+](C)c1.[Br-]
40,O=[N+]([O-])[O-].[Na+]
41,[Cl-].[Na+]
42,CC#N
43,O=S(=O)([O-])[O-].[Cs+].[Cs+]
44,CCCCCCCCn1cc[n+](C)c1.[Cl-]
45,N.O=P(O)(O)O
46,CCn1cc[n+](C)c1.[Cl-]
47,[Br-].[Na+]
48,CC(C)[C@H](N)C(=O)O
49,CCOS(=O)(=O)[O-].CC[n+]1cccc(C)c1
50,CCCCn1cc[n+](C)c1.COS(=O)(=O)[O-]
51,[Br-].[Li+]
52,CCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
53,CCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
54,CCO
55,[Na+].[OH-]
56,CCCC[N+]1(C)CCCC1.[I-]
57,CCCCn1cc[n+](C)c1.F[B-](F)(F)F
