Mixture,Count
CC(C)O | CCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,15
CC(C)[C@H](N)C(=O)O | [Cl-].[Li+] | O,8
CC(C)[C@H](N)C(=O)O | [I-].[Li+] | O,8
O | O=S(=O)([O-])[O-].[Ca+2],15
CC(C)[C@H](N)C(=O)O | [I-].[K+] | O,8
CCOS(=O)(=O)[O-].CCn1cc[n+](C)c1 | CCCO,14
NCC(=O)O | O=[N+]([O-])[O-].[K+] | O,52
NCC(=O)O | [Cl-].[K+] | O,72
O=C(O)[C@@H]1CCCN1 | [Cl-].[K+] | O,44
[Cl-].[K+] | O,36
N[C@@H](CO)C(=O)O | O,28
O=[N+]([O-])[O-].[Na+] | O,40
NCC(=O)O | [Br-].[Li+] | O,14
O | CCCCn1cc[n+](C)c1.COS(=O)(=O)[O-],64
O | CCCn1cc[n+](C)c1.COS(=O)(=O)[O-],39
NCC(=O)O | [I-].[Na+] | O,14
C[C@H](N)C(=O)O | O=[N+]([O-])[O-].[Na+] | O,36
CC(C)[C@H](N)C(=O)O | N.N.O=S(=O)(O)O | O,26
O | CCOS(=O)(=O)[O-].CC[n+]1cccc(C)c1,26
CC(C)[C@H](N)C(=O)O | O=S(=O)([O-])[O-].[Na+].[Na+] | O,8
CCO | CCCCn1cc[n+](C)c1.[Cl-],24
CCCCn1cc[n+](C)c1.[Br-] | CCO,26
NCCCCCC(=O)O | O,8
CN(CCO)CCO | Cl | O,10
O | O=Cc1ccc(CO)o1 | [Cl-].[Li+],20
CC(C)[C@H](N)C(=O)O | O=[N+]([O-])[O-].[Na+] | O,44
O | CCn1cc[n+](C)c1.[Cl-],28
CC(C)[C@H](N)C(=O)O | [Br-].[Na+] | O,8
O | O=Cc1ccc(CO)o1,60
CCCO | CCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,13
O=[N+]([O-])[O-].[K+] | O,28
CCn1cc[n+](C)c1.O=S(=O)([O-])O | O,15
CCOS(=O)(=O)[O-].CC[n+]1cccc(C)c1 | CCO,17
[I-].[Na+] | O,16
C[C@H](N)C(=O)O | [Cl-].[K+] | O,34
CCOS(=O)(=O)[O-].CC[n+]1cccc(C)c1 | CCCO,16
O=S(=O)([O-])[O-].[Na+].[Na+] | O,16
O | O=Cc1ccc(CO)o1 | [Cl-].[Na+],20
CCCCn1cc[n+](C)c1.[Br-] | O,40
CCCO | CCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,14
[Br-].[K+] | O,16
O=C(O)[C@@H]1CCCN1 | O=[N+]([O-])[O-].[Na+] | O,48
C[C@H](N)C(=O)O | O=[N+]([O-])[O-].[K+] | O,36
CCCC[N+]1(C)CCCC1.[I-] | CCCCO,11
CC(C)[C@H](N)C(=O)O | [Cl-].[K+] | O,48
CCCO | CCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,15
CCOS(=O)(=O)[O-].CC[n+]1cccc(C)c1 | CC(C)O,15
CCCCCCCCCCn1cc[n+](C)c1.[Br-] | O,21
NCCC(=O)O | O,8
CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F | CC#N,12
O=P([O-])(O)O.[Na+] | O,73
NCC(=O)O | [Br-].[K+] | O,14
[F-].[Rb+] | O=S(=O)([O-])[O-].[Rb+].[Rb+] | O,30
CCOS(=O)(=O)[O-].CCn1cc[n+](C)c1 | CCO,17
NCC(=O)O | [Cl-].[Na+] | O,66
O=P([O-])(O)O.[K+] | O,57
[Cl-].[Na+] | O,24
[I-].[K+] | O,16
C[C@H](N)C(=O)O | [Cl-].[Na+] | O,34
CC(C)[C@H](N)C(=O)O | [I-].[Na+] | O,8
CCO,2
CC(C)[C@H](N)C(=O)O | [Br-].[K+] | O,8
N.O=P(O)(O)O | O,60
O=C(O)[C@@H]1CCCN1 | N.N.O=S(=O)(O)O | O,40
CCO | CCCCCCn1cc[n+](C)c1.[Cl-],24
CCOS(=O)(=O)[O-].CCn1cc[n+](C)c1 | CC(C)O,16
[I-].[Li+] | O,16
CC(C)[C@H](N)C(=O)O | [Cl-].[Na+] | O,46
CO | CCCCn1cc[n+](C)c1.[Cl-],22
CCCCn1cc[n+](C)c1.F[B-](F)(F)F | CC#N,12
NCC(=O)O | [Cl-].[Li+] | O,14
NCC(=O)O | [I-].[K+] | O,14
Cc1ccc(S(=O)(=O)[O-])cc1.[Na+] | O,60
[Cs+].[F-] | O,16
O | [Na+].[OH-],2
CC(C)[C@H](N)C(=O)O | O=[N+]([O-])[O-].[K+] | O,36
CCCCn1cc[n+](C)c1.[Cl-] | CCO,26
O=C(O)[C@@H]1CCCN1 | [Cl-].[Na+] | O,48
CCCC[N+]1(C)CCCC1.N#C[N-]C#N | O,33
[Br-].[Na+] | O,16
O | CCCCn1cc[n+](C)c1.F[B-](F)(F)F,72
O | CCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,80
