Mixture,Temperature,Pressure,Count
NCC(=O)O | [Cl-].[Na+] | O,298.15,101.0,66
[Cl-].[Na+] | O,298.15,101.0,24
[Cl-].[K+] | O,298.15,100.0,36
[Cl-].[K+] | O,298.15,101.0,36
NCC(=O)O | [Cl-].[K+] | O,298.15,101.0,72
O=[N+]([O-])[O-].[Na+] | O,298.15,101.0,40
NCC(=O)O | O=[N+]([O-])[O-].[Na+] | O,298.15,101.0,58
O=[N+]([O-])[O-].[K+] | O,298.15,101.0,28
NCC(=O)O | O=[N+]([O-])[O-].[K+] | O,298.15,101.0,52
N.N.O=S(=O)(O)O | O,298.15,101.0,28
NCC(=O)O | N.N.O=S(=O)(O)O | O,298.15,101.0,38
C[C@H](N)C(=O)O | [Cl-].[Na+] | O,298.15,101.0,34
C[C@H](N)C(=O)O | [Cl-].[K+] | O,298.15,101.0,34
C[C@H](N)C(=O)O | O=[N+]([O-])[O-].[Na+] | O,298.15,101.0,36
C[C@H](N)C(=O)O | O=[N+]([O-])[O-].[K+] | O,298.15,101.0,36
C[C@H](N)C(=O)O | N.N.O=S(=O)(O)O | O,298.15,101.0,36
CC(C)[C@H](N)C(=O)O | [Cl-].[Na+] | O,298.15,101.0,46
CC(C)[C@H](N)C(=O)O | [Cl-].[K+] | O,298.15,101.0,48
CC(C)[C@H](N)C(=O)O | O=[N+]([O-])[O-].[Na+] | O,298.15,101.0,44
CC(C)[C@H](N)C(=O)O | O=[N+]([O-])[O-].[K+] | O,298.15,101.0,36
CC(C)[C@H](N)C(=O)O | N.N.O=S(=O)(O)O | O,298.15,101.0,26
O=C(O)[C@@H]1CCCN1 | [Cl-].[Na+] | O,298.15,101.0,48
O=C(O)[C@@H]1CCCN1 | [Cl-].[K+] | O,298.15,101.0,44
O=C(O)[C@@H]1CCCN1 | O=[N+]([O-])[O-].[Na+] | O,298.15,101.0,48
O=C(O)[C@@H]1CCCN1 | O=[N+]([O-])[O-].[K+] | O,298.15,101.0,44
O=C(O)[C@@H]1CCCN1 | N.N.O=S(=O)(O)O | O,298.15,101.0,40
[Cl-].[Li+] | O,298.15,87.0,31
[Cl-].[Li+] | O,298.15,101.0,31
NCC(=O)O | [Cl-].[Li+] | O,298.15,101.0,14
[Br-].[Li+] | O,298.15,101.0,16
NCC(=O)O | [Br-].[Li+] | O,298.15,101.0,14
[I-].[Li+] | O,298.15,101.0,16
NCC(=O)O | [I-].[Li+] | O,298.15,101.0,14
[Br-].[Na+] | O,298.15,101.0,16
NCC(=O)O | [Br-].[Na+] | O,298.15,101.0,14
[I-].[Na+] | O,298.15,101.0,16
NCC(=O)O | [I-].[Na+] | O,298.15,101.0,14
[Br-].[K+] | O,298.15,101.0,16
NCC(=O)O | [Br-].[K+] | O,298.15,101.0,14
[I-].[K+] | O,298.15,101.0,16
NCC(=O)O | [I-].[K+] | O,298.15,101.0,14
O=S(=O)([O-])[O-].[Na+].[Na+] | O,298.15,101.0,16
NCC(=O)O | O=S(=O)([O-])[O-].[Na+].[Na+] | O,298.15,101.0,14
CC(C)[C@H](N)C(=O)O | [Cl-].[Li+] | O,298.15,101.0,8
CC(C)[C@H](N)C(=O)O | [Br-].[Li+] | O,298.15,101.0,8
CC(C)[C@H](N)C(=O)O | [I-].[Li+] | O,298.15,101.0,8
CC(C)[C@H](N)C(=O)O | [Br-].[Na+] | O,298.15,101.0,8
CC(C)[C@H](N)C(=O)O | [I-].[Na+] | O,298.15,101.0,8
CC(C)[C@H](N)C(=O)O | [Br-].[K+] | O,298.15,101.0,8
CC(C)[C@H](N)C(=O)O | [I-].[K+] | O,298.15,101.0,8
CC(C)[C@H](N)C(=O)O | O=S(=O)([O-])[O-].[Na+].[Na+] | O,298.15,101.0,8
CCOS(=O)(=O)[O-].CCn1cc[n+](C)c1 | CCO,323.15,101.0,17
CCOS(=O)(=O)[O-].CCn1cc[n+](C)c1 | CCCO,323.15,101.0,14
CCOS(=O)(=O)[O-].CCn1cc[n+](C)c1 | CC(C)O,323.15,101.0,16
CCOS(=O)(=O)[O-].CC[n+]1cccc(C)c1 | CCO,323.15,101.0,17
CCOS(=O)(=O)[O-].CC[n+]1cccc(C)c1 | CCCO,323.15,101.0,16
CCOS(=O)(=O)[O-].CC[n+]1cccc(C)c1 | CC(C)O,323.15,101.0,15
CCCO | CCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,323.15,101.0,14
CC(C)O | CCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,323.15,101.0,13
CCCO | CCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,323.15,101.0,13
CC(C)O | CCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,323.15,101.0,15
CCCO | CCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,323.15,101.0,15
CC(C)O | CCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,323.15,101.0,15
CO,298.15,101.0,2
CO | CCCCn1cc[n+](C)c1.[Cl-],298.15,101.0,22
CO | CCCCn1cc[n+](C)c1.[Br-],298.15,101.0,22
CCO,298.15,101.0,2
CCCCn1cc[n+](C)c1.[Cl-] | CCO,298.15,101.0,26
CCCCn1cc[n+](C)c1.[Br-] | CCO,298.15,101.0,26
NCCC(=O)O | O,298.15,101.0,8
NCCCC(=O)O | O,298.15,101.0,8
NCCCCC(=O)O | O,298.15,101.0,8
NCCCCCC(=O)O | O,298.15,101.0,8
CCCCn1cc[n+](C)c1.[Br-] | O,298.15,100.0,40
CCCCn1cc[n+](C)c1.[Br-] | O,318.15,101.0,40
CCCCn1cc[n+](C)c1.F[B-](F)(F)F | O,318.15,101.0,15
CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F | CC#N,318.15,101.0,12
CCCCn1cc[n+](C)c1.F[B-](F)(F)F | CC#N,318.15,101.0,12
CCO | CCCCCCn1cc[n+](C)c1.[Cl-],313.15,101.0,24
CCO | CCCCCCn1cc[n+](C)c1.[Cl-],333.15,101.0,24
O | CCn1cc[n+](C)c1.[Cl-],313.15,101.0,28
O | CCn1cc[n+](C)c1.[Cl-],333.15,101.0,28
CCO | CCCCn1cc[n+](C)c1.[Cl-],313.15,101.0,24
CCO | CCCCn1cc[n+](C)c1.[Cl-],333.15,101.0,24
O | CCOS(=O)(=O)[O-].CC[n+]1cccc(C)c1,313.15,101.0,26
O | CCOS(=O)(=O)[O-].CC[n+]1cccc(C)c1,333.15,101.0,26
O=P([O-])(O)O.[Na+] | O,313.15,101.0,73
O=P([O-])(O)O.[Na+] | O,333.15,101.0,73
O=P([O-])(O)O.[Na+] | O,298.15,101.0,73
O=P([O-])(O)O.[Na+] | O,353.15,101.0,73
O=P([O-])(O)O.[K+] | O,313.15,101.0,57
O=P([O-])(O)O.[K+] | O,333.15,101.0,57
O=P([O-])(O)O.[K+] | O,298.15,101.0,57
O=P([O-])(O)O.[K+] | O,353.15,101.0,57
N.O=P(O)(O)O | O,313.15,101.0,60
N.O=P(O)(O)O | O,333.15,101.0,60
N.O=P(O)(O)O | O,298.15,101.0,60
N.O=P(O)(O)O | O,353.15,101.0,60
O | CCCCn1cc[n+](C)c1.F[B-](F)(F)F,308.15,101.0,72
O | CCCCn1cc[n+](C)c1.F[B-](F)(F)F,298.15,101.0,72
O | CCCCn1cc[n+](C)c1.F[B-](F)(F)F,328.15,101.0,72
O | CCCCn1cc[n+](C)c1.F[B-](F)(F)F,318.15,101.0,72
O | CCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,308.15,101.0,80
O | CCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,298.15,101.0,80
O | CCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,328.15,101.0,80
O | CCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,318.15,101.0,80
O | CCCCn1cc[n+](C)c1.COS(=O)(=O)[O-],308.15,101.0,64
O | CCCCn1cc[n+](C)c1.COS(=O)(=O)[O-],298.15,101.0,64
O | CCCCn1cc[n+](C)c1.COS(=O)(=O)[O-],328.15,101.0,64
O | CCCCn1cc[n+](C)c1.COS(=O)(=O)[O-],318.15,101.0,64
N[C@@H](CO)C(=O)O | CCCCn1cc[n+](C)c1.[Br-] | O,298.15,100.0,28
N[C@@H](CO)C(=O)O | O,298.15,100.0,28
CCn1cc[n+](C)c1.O=S(=O)([O-])O | O,298.15,87.0,15
CCCC[N+]1(C)CCCC1.[I-] | CC(C)O,323.15,101.0,11
CCCC[N+]1(C)CCCC1.[I-] | CCCCO,323.15,101.0,11
O | [Na+].[OH-],298.15,100.0,2
CCCC[N+]1(C)CCCC1.N#C[N-]C#N | O,313.15,101.0,33
CCCC[N+]1(C)CCCC1.N#C[N-]C#N | O,328.15,101.0,33
CCCC[N+]1(C)CCCC1.N#C[N-]C#N | O,323.15,101.0,33
CCCCCCCCn1cc[n+](C)c1.[Cl-] | O,313.15,101.0,48
CCCCCCCCn1cc[n+](C)c1.[Cl-] | O,328.15,101.0,48
CCCCCCCCn1cc[n+](C)c1.[Cl-] | O,323.15,101.0,48
Cc1ccc(S(=O)(=O)[O-])cc1.[Na+] | O,313.15,101.0,60
Cc1ccc(S(=O)(=O)[O-])cc1.[Na+] | O,323.15,101.0,60
Cc1ccc(S(=O)(=O)[O-])cc1.[Na+] | O,318.15,101.0,60
CCCCCCCCCCn1cc[n+](C)c1.[Br-] | O,308.15,84.5,21
O | O=Cc1ccc(CO)o1,298.15,97.5,60
O | O=Cc1ccc(CO)o1 | [Cl-].[Na+],298.15,97.5,20
O | O=Cc1ccc(CO)o1 | [Cl-].[Li+],298.15,97.5,20
O=S(=O)([O-])[O-].[Zn+2] | O,313.15,101.0,11
O=S(=O)([O-])[O-].[Zn+2] | O,308.15,101.0,11
O=S(=O)([O-])[O-].[Zn+2] | O,298.15,101.0,11
O=S(=O)([O-])[O-].[Zn+2] | O,288.15,101.0,11
O | CCCn1cc[n+](C)c1.COS(=O)(=O)[O-],308.15,101.0,39
O | CCCn1cc[n+](C)c1.COS(=O)(=O)[O-],328.15,101.0,39
O | CCCn1cc[n+](C)c1.COS(=O)(=O)[O-],318.15,101.0,39
O | O=S(=O)([O-])[O-].[Ca+2],273.1376,101.0,15
O | O=S(=O)([O-])[O-].[Ca+2],273.1359,101.0,15
O | O=S(=O)([O-])[O-].[Ca+2],273.1206,101.0,15
O | O=S(=O)([O-])[O-].[Ca+2],273.13,101.0,15
O | O=S(=O)([O-])[O-].[Ca+2],273.1251,101.0,15
O | O=S(=O)([O-])[O-].[Ca+2],273.131,101.0,15
O | O=S(=O)([O-])[O-].[Ca+2],273.134,101.0,15
O | O=S(=O)([O-])[O-].[Ca+2],273.1243,101.0,15
O | O=S(=O)([O-])[O-].[Ca+2],273.1244,101.0,15
O | O=S(=O)([O-])[O-].[Ca+2],273.1282,101.0,15
O | O=S(=O)([O-])[O-].[Ca+2],273.1207,101.0,15
O | O=S(=O)([O-])[O-].[Ca+2],273.1218,101.0,15
O | O=S(=O)([O-])[O-].[Ca+2],273.1348,101.0,15
O | O=S(=O)([O-])[O-].[Ca+2],273.1294,101.0,15
O | O=S(=O)([O-])[O-].[Ca+2],273.1324,101.0,15
[F-].[Rb+] | O,298.15,101.0,16
