,0
0,CCCCCCCC
1,CC(=O)CC(C)C
2,Clc1ccccc1
3,C1COCCO1
4,O=C1CCCCCC1
5,CN(C)C=O
6,C1CCCCC1
7,OCCN(CCO)CCO
8,c1cc[nH]c1
9,CCOC(C)(C)CC
10,CC(=O)C(C)=O
11,Cc1cccc(C)n1
12,OCCOCCO
13,C1CCCC1
14,O=C1CCCC1
15,OCCO
16,ClCCCl
17,CC(C)CO
18,Cc1ccccc1N
19,CNCCO
20,O
21,CCN(CC)CC
22,CN(C)CCCO
23,BrCCCCBr
24,OCCNCCO
25,CC(C)OC(C)C
26,CCOC(=O)CC(=O)OCC
27,CCCOC(C)=O
28,Cc1ccccc1
29,Cc1ccccn1
30,CCCCC(=O)OCC
31,CCCOC(=O)CC
32,BrCCCBr
33,C=C(C)[C@H]1CC=C(C)CC1
34,CCN(CC)CCO
35,O=C1CCCCC1
36,C1CCNCC1
37,NCCCNCCCN
38,CC(C)CC(C)(C)C
39,Cc1ccccc1C
40,CCCC(=O)OC
41,OCc1ccccc1
42,OCCc1ccccc1
43,CCCCCl
44,CC/C=C\CCO
45,CCCCC(=O)OC
46,COc1ccccc1
47,CN(C)CCO
48,CCCCOC(=O)CCC
49,CN1CCOCC1
50,CC1CCCCC1
51,CC(C)=O
52,CCOC=O
53,CCCCCCCCC
54,Cc1ccccc1Cl
55,CCCCBr
56,CC(C)(C)Cl
57,CCCCC
58,CNc1ccccc1
59,Cc1cccnc1
60,CCCCCCCO
61,CCCCCC(C)=O
62,CCC(C)(C)O
63,CCCCNCCCC
64,CCOC(C)=O
65,c1ccncc1
66,CCCOC=O
67,CC(=O)N(C)C
68,CN1CCCCC1
69,COC=O
70,CCCCOCCCC
71,BrCCCCCBr
72,CN1CCNCC1
73,C=CCCCC
74,C1CCOCC1
75,OCCN1CCOCC1
76,CO
77,CCCCCCC
78,C1COCCN1
79,Cc1ccncc1
80,CCOC(C)(C)C
81,CC(C)CCl
82,CC(C)O
83,C1COCO1
84,ClCCCCCl
85,ClCCCCCCCl
86,c1ccccc1
87,CCO
88,CCCNCCC
89,CC(=O)C(C)C
90,CCOCCO
91,CN(CCO)CCO
92,COC(C)=O
93,O=Cc1ccccc1
94,OCCCc1ccccc1
95,Cn1ccnc1
96,CCCCCC
97,COC(C)(C)C
98,CC1(C)C(=O)[C@]2(C)CC[C@H]1C2
99,NCCCO
100,CCCCCCCl
101,CC(=O)c1ccccc1
102,CCC(C)=O
103,ClCCCCl
104,NCCNCCN
105,CCC(=O)OC
106,NCCO
107,CC(C)(C)O
108,CNC=O
109,CCOc1ccccc1
110,BrCCBr
111,OCC(O)CO
112,CCCO
113,CN1CCCC1=O
114,CCCC(C)=O
115,Nc1ccccc1
116,CCCCOC(C)=O
117,CCCCCO
118,NCCNCCO
119,CCCCO
120,OC1=NCCC1
