,0
0,C1COCCO1
1,CCCC(C)=O
2,CCC(C)(C)O
3,CC(=O)CC(C)C
4,OCc1ccccc1
5,NCCNCCO
6,CCCNCCC
7,CCC(=O)OC
8,Cc1cccnc1
9,Cc1ccccc1Cl
10,OCCCc1ccccc1
11,C1COCCN1
12,BrCCBr
13,COc1ccccc1
14,CCCCO
15,CN1CCCC1=O
16,CCCCOCCCC
17,CCOC(C)(C)C
18,COC(C)=O
19,CC/C=C\CCO
20,Clc1ccccc1
21,c1ccncc1
22,CCCCCO
23,CCCCNCCCC
24,c1ccccc1
25,CNc1ccccc1
26,ClCCCCl
27,CCCCOC(C)=O
28,CN1CCCCC1
29,CCCCCCCC
30,CC(C)OC(C)C
31,CC(C)O
32,CCCC(=O)OC
33,CNC=O
34,Cn1ccnc1
35,CCOC(C)(C)CC
36,CC(C)(C)O
37,CCCCC(=O)OCC
38,CN(C)C=O
39,OCCN(CCO)CCO
40,OCCOCCO
41,C1CCCCC1
42,CCOCCO
43,OCCO
44,NCCCNCCCN
45,CC(C)CCl
46,CCOC(=O)CC(=O)OCC
47,CO
48,BrCCCCBr
49,Cc1ccccc1N
50,CN(CCO)CCO
51,CC(=O)c1ccccc1
52,CN1CCOCC1
53,Cc1ccccc1C
54,CCCCCCCO
55,Cc1cccc(C)n1
56,CCO
57,CN(C)CCCO
58,CCOC(C)=O
59,CCOc1ccccc1
60,CC(C)(C)Cl
61,NCCNCCN
62,CCCCCCCCC
63,OC1=NCCC1
64,CCCCC
65,CCCCCCCl
66,O=Cc1ccccc1
67,O=C1CCCC1
68,C1CCCC1
69,Cc1ccccc1
70,CC(=O)C(C)C
71,CC(C)CO
72,NCCCO
73,CCCCCCC
74,BrCCCBr
75,Cc1ccncc1
76,C1CCNCC1
77,OCCc1ccccc1
78,CC(C)CC(C)(C)C
79,Cc1ccccn1
80,C=CCCCC
81,OCCNCCO
82,CCCOC=O
83,BrCCCCCBr
84,C1COCO1
85,CC(C)=O
86,C1CCOCC1
87,Nc1ccccc1
88,CCN(CC)CC
89,CCCOC(C)=O
90,CC1(C)C(=O)[C@]2(C)CC[C@H]1C2
91,CCC(C)=O
92,CN(C)CCO
93,c1cc[nH]c1
94,CCCOC(=O)CC
95,CCCCCC
96,ClCCCl
97,CCOC=O
98,COC=O
99,ClCCCCCl
100,CC1CCCCC1
101,O
102,CCCO
103,CCCCC(=O)OC
104,O=C1CCCCC1
105,CCCCOC(=O)CCC
106,CCCCCC(C)=O
107,COC(C)(C)C
108,CN1CCNCC1
109,O=C1CCCCCC1
110,CC(=O)N(C)C
111,OCC(O)CO
112,CC(=O)C(C)=O
113,CCN(CC)CCO
114,NCCO
115,CCCCBr
116,C=C(C)[C@H]1CC=C(C)CC1
117,CNCCO
118,OCCN1CCOCC1
119,ClCCCCCCCl
120,CCCCCl
