Id,Temperature (K),Pressure (kPa),Phase,N Components,Component 1,Role 1,Mole Fraction 1,Exact Amount 1,Component 2,Role 2,Mole Fraction 2,Exact Amount 2,EnthalpyOfMixing Value (kJ / mol),EnthalpyOfMixing Uncertainty (kJ / mol),Source
6391,298.15,101.0,Liquid,2,CN(C)CCO,Solvent,0.2052,,O,Solvent,0.7948,,-2.587,,10.1016/j.jct.2007.03.010
6392,298.15,101.0,Liquid,2,CN(C)CCO,Solvent,0.5365,,O,Solvent,0.4635,,-2.575,,10.1016/j.jct.2007.03.010
6393,298.15,101.0,Liquid,2,CN(C)CCO,Solvent,0.7996,,O,Solvent,0.2004,,-1.247,,10.1016/j.jct.2007.03.010
6395,303.15,100.0,Liquid,2,CCN(CC)CCO,Solvent,0.2008,,O,Solvent,0.7992,,-2.185,,10.1016/j.jct.2015.04.030
6396,303.15,100.0,Liquid,2,CCN(CC)CCO,Solvent,0.5002,,O,Solvent,0.4998,,-2.504,,10.1016/j.jct.2015.04.030
6397,303.15,100.0,Liquid,2,CCN(CC)CCO,Solvent,0.7003,,O,Solvent,0.2997,,-1.75,,10.1016/j.jct.2015.04.030
6404,313.15,101.0,Liquid,2,CN(CCO)CCO,Solvent,0.2593,,O,Solvent,0.7407,,-2.271,,10.1016/j.jct.2007.03.010
6405,313.15,101.0,Liquid,2,CN(CCO)CCO,Solvent,0.4941,,O,Solvent,0.5059,,-2.072,,10.1016/j.jct.2007.03.010
6406,313.15,101.0,Liquid,2,CN(CCO)CCO,Solvent,0.7411,,O,Solvent,0.2589,,-1.154,,10.1016/j.jct.2015.06.006
6410,298.15,101.0,Liquid,2,CNCCO,Solvent,0.1992,,O,Solvent,0.8008,,-2.243,,10.1016/j.jct.2007.03.010
6411,298.15,101.0,Liquid,2,CNCCO,Solvent,0.5017,,O,Solvent,0.4983,,-2.508,,10.1016/j.jct.2007.03.010
6412,298.15,101.0,Liquid,2,CNCCO,Solvent,0.7988,,O,Solvent,0.2012,,-1.219,,10.1016/j.jct.2007.03.010
6416,298.15,101.0,Liquid,2,O,Solvent,0.7057,,OCCNCCO,Solvent,0.2943,,-2.079,,10.1016/j.jct.2007.03.010
6417,298.15,101.0,Liquid,2,O,Solvent,0.5031,,OCCNCCO,Solvent,0.4969,,-1.916,,10.1016/j.jct.2007.03.010
6418,298.15,101.0,Liquid,2,O,Solvent,0.2579,,OCCNCCO,Solvent,0.7421,,-1.091,,10.1016/j.jct.2007.03.010
6420,303.15,100.0,Liquid,2,O,Solvent,0.7937,,OCCN(CCO)CCO,Solvent,0.2063,,-1.289,,10.1016/j.jct.2015.04.030
6421,303.15,100.0,Liquid,2,O,Solvent,0.5098,,OCCN(CCO)CCO,Solvent,0.4902,,-1.221,,10.1016/j.jct.2015.04.030
6422,303.15,100.0,Liquid,2,O,Solvent,0.29,,OCCN(CCO)CCO,Solvent,0.71,,-0.839,,10.1016/j.jct.2015.04.030
6426,303.15,101.0,Liquid,2,CC(C)CC(C)(C)C,Solvent,0.7748,,CC(C)OC(C)C,Solvent,0.2252,,0.132161,,10.1021/je9001416
6427,303.15,101.0,Liquid,2,CC(C)CC(C)(C)C,Solvent,0.5125,,CC(C)OC(C)C,Solvent,0.4875,,0.197047,,10.1021/je9001416
6428,303.15,101.0,Liquid,2,CC(C)CC(C)(C)C,Solvent,0.2693,,CC(C)OC(C)C,Solvent,0.7307,,0.158983,,10.1021/je9001416
6432,298.15,101.0,Liquid,2,O,Solvent,0.2094,,OCCOCCO,Solvent,0.7906,,-0.521,,10.1016/j.tca.2009.06.004
6433,298.15,101.0,Liquid,2,O,Solvent,0.6996,,OCCOCCO,Solvent,0.3004,,-1.245,,10.1016/j.tca.2009.06.004
6434,298.15,101.0,Liquid,2,O,Solvent,0.499,,OCCOCCO,Solvent,0.501,,-1.149,,10.1021/je400158p
6438,313.15,101.0,Liquid,2,CC(C)O,Solvent,0.2031,,O,Solvent,0.7969,,-0.3026,,10.1016/j.jct.2007.12.002
6439,313.15,101.0,Liquid,2,CC(C)O,Solvent,0.5048,,O,Solvent,0.4952,,0.1916,,10.1016/j.jct.2007.12.002
6440,313.15,101.0,Liquid,2,CC(C)O,Solvent,0.704,,O,Solvent,0.296,,0.3259,,10.1016/j.jct.2007.12.002
6444,298.15,101.3,Liquid,2,CCC(C)(C)O,Solvent,0.2807,,CCO,Solvent,0.7193,,-0.7056,,10.1021/je101031j
6445,298.15,101.3,Liquid,2,CCC(C)(C)O,Solvent,0.4607,,CCO,Solvent,0.5393,,-0.95,,10.1021/je101031j
6446,298.15,101.3,Liquid,2,CCC(C)(C)O,Solvent,0.7306,,CCO,Solvent,0.2694,,-0.7709,,10.1021/je101031j
6450,298.15,101.0,Liquid,2,c1cc[nH]c1,Solvent,0.2395,,c1ccncc1,Solvent,0.7605,,-1.7662,,10.1016/j.fluid.2013.10.029
6451,298.15,101.0,Liquid,2,c1cc[nH]c1,Solvent,0.5095,,c1ccncc1,Solvent,0.4905,,-2.649,,10.1016/j.fluid.2013.10.029
6452,298.15,101.0,Liquid,2,c1cc[nH]c1,Solvent,0.7602,,c1ccncc1,Solvent,0.2398,,-1.6452,,10.1016/j.fluid.2013.10.029
6456,298.15,101.0,Liquid,2,O,Solvent,0.7681,,OC1=NCCC1,Solvent,0.2319,,-0.5238,,10.1016/j.jct.2013.09.015
6457,298.15,101.0,Liquid,2,O,Solvent,0.5217,,OC1=NCCC1,Solvent,0.4783,,-0.8384,,10.1016/j.jct.2013.09.015
6458,298.15,101.0,Liquid,2,O,Solvent,0.2307,,OC1=NCCC1,Solvent,0.7693,,-0.678,,10.1016/j.jct.2013.09.015
6462,308.15,101.0,Liquid,2,C1CCCCC1,Solvent,0.7518,,CN1CCCC1=O,Solvent,0.2482,,1.1998,,10.1016/j.jct.2010.12.016
6463,308.15,101.0,Liquid,2,C1CCCCC1,Solvent,0.4734,,CN1CCCC1=O,Solvent,0.5266,,1.4691,,10.1016/j.jct.2010.12.016
6464,308.15,101.0,Liquid,2,C1CCCCC1,Solvent,0.2789,,CN1CCCC1=O,Solvent,0.7211,,1.2061,,10.1016/j.jct.2010.12.016
6468,308.15,101.0,Liquid,2,CN1CCCC1=O,Solvent,0.2356,,c1ccccc1,Solvent,0.7644,,-0.3684,,10.1016/j.jct.2010.12.016
6469,308.15,101.0,Liquid,2,CN1CCCC1=O,Solvent,0.5467,,c1ccccc1,Solvent,0.4533,,-0.4943,,10.1016/j.jct.2010.12.016
6470,308.15,101.0,Liquid,2,CN1CCCC1=O,Solvent,0.7411,,c1ccccc1,Solvent,0.2589,,-0.3841,,10.1016/j.jct.2010.12.016
6474,308.15,101.0,Liquid,2,CN1CCCC1=O,Solvent,0.2231,,Cc1ccccc1,Solvent,0.7769,,-0.1889,,10.1016/j.jct.2010.12.016
6475,308.15,101.0,Liquid,2,CN1CCCC1=O,Solvent,0.4821,,Cc1ccccc1,Solvent,0.5179,,-0.2985,,10.1016/j.jct.2010.12.016
6476,308.15,101.0,Liquid,2,CN1CCCC1=O,Solvent,0.7418,,Cc1ccccc1,Solvent,0.2582,,-0.2141,,10.1016/j.jct.2010.12.016
6480,298.15,101.0,Liquid,2,CC(=O)CC(C)C,Solvent,0.2017,,CCC(C)(C)O,Solvent,0.7983,,0.8181,,10.1021/je300678r
6481,298.15,101.0,Liquid,2,CC(=O)CC(C)C,Solvent,0.5008,,CCC(C)(C)O,Solvent,0.4992,,1.3674,,10.1021/je300678r
6482,298.15,101.0,Liquid,2,CC(=O)CC(C)C,Solvent,0.7009,,CCC(C)(C)O,Solvent,0.2991,,1.2068,,10.1021/je300678r
6486,297.15,101.0,Liquid,2,C1CCNCC1,Solvent,0.75,,O,Solvent,0.25,,-1.4628,,10.1016/j.fluid.2009.10.018
6487,297.15,101.0,Liquid,2,C1CCNCC1,Solvent,0.5,,O,Solvent,0.5,,-2.1379,,10.1016/j.fluid.2009.10.018
6488,297.15,101.0,Liquid,2,C1CCNCC1,Solvent,0.25,,O,Solvent,0.75,,-1.9642,,10.1016/j.fluid.2009.10.018
6492,298.15,101.0,Liquid,2,CN1CCNCC1,Solvent,0.1998,,O,Solvent,0.8002,,-4.495,,10.1016/j.jct.2015.06.006
6493,298.15,101.0,Liquid,2,CN1CCNCC1,Solvent,0.55,,O,Solvent,0.45,,-3.547,,10.1016/j.jct.2015.06.006
6494,298.15,101.0,Liquid,2,CN1CCNCC1,Solvent,0.7926,,O,Solvent,0.2074,,-1.753,,10.1016/j.jct.2015.06.006
6552,298.15,101.3,Liquid,2,OCCO,Solvent,0.225,,CCCCO,Solvent,0.775,,0.60308,,10.1021/je030207i
6498,308.15,101.0,Liquid,2,C1CCOCC1,Solvent,0.2379,,Cc1ccccc1N,Solvent,0.7621,,-0.3658,,10.1021/je1005196
6499,308.15,101.0,Liquid,2,C1CCOCC1,Solvent,0.4901,,Cc1ccccc1N,Solvent,0.5099,,-0.5715,,10.1021/je1005196
6500,308.15,101.0,Liquid,2,C1CCOCC1,Solvent,0.741,,Cc1ccccc1N,Solvent,0.259,,-0.4892,,10.1021/je1005196
6504,308.15,101.0,Liquid,2,CNC=O,Solvent,0.7214,,Cc1ccccc1N,Solvent,0.2786,,-0.6685,,10.1016/j.tca.2011.06.020
6505,308.15,101.0,Liquid,2,CNC=O,Solvent,0.5189,,Cc1ccccc1N,Solvent,0.4811,,-0.7563,,10.1016/j.tca.2011.06.020
6506,308.15,101.0,Liquid,2,CNC=O,Solvent,0.2174,,Cc1ccccc1N,Solvent,0.7826,,-0.4044,,10.1016/j.tca.2011.06.020
6510,308.15,101.0,Liquid,2,C1CCOCC1,Solvent,0.2254,,CNC=O,Solvent,0.7746,,0.1556,,10.1016/j.tca.2011.06.020
6511,308.15,101.0,Liquid,2,C1CCOCC1,Solvent,0.5114,,CNC=O,Solvent,0.4886,,0.3231,,10.1016/j.tca.2011.06.020
6512,308.15,101.0,Liquid,2,C1CCOCC1,Solvent,0.7576,,CNC=O,Solvent,0.2424,,0.2521,,10.1016/j.tca.2011.06.020
6516,298.15,101.0,Liquid,2,C1CCCCC1,Solvent,0.219,,CCCCCC,Solvent,0.781,,0.1264,,10.1016/j.jct.2008.12.004
6517,298.15,101.0,Liquid,2,C1CCCCC1,Solvent,0.4832,,CCCCCC,Solvent,0.5168,,0.2144,,10.1016/j.jct.2008.12.004
6518,298.15,101.0,Liquid,2,C1CCCCC1,Solvent,0.7255,,CCCCCC,Solvent,0.2745,,0.199,,10.1016/j.jct.2008.12.004
6522,303.15,101.0,Liquid,2,C1CCCCC1,Solvent,0.7513,,CCCCCCCC,Solvent,0.2487,,0.23,,10.1016/j.fluid.2006.03.020
6523,303.15,101.0,Liquid,2,C1CCCCC1,Solvent,0.5324,,CCCCCCCC,Solvent,0.4676,,0.258,,10.1016/j.fluid.2006.03.020
6524,303.15,101.0,Liquid,2,C1CCCCC1,Solvent,0.2744,,CCCCCCCC,Solvent,0.7256,,0.18,,10.1016/j.fluid.2006.03.020
6528,303.15,101.0,Liquid,2,CC(C)CC(C)(C)C,Solvent,0.7617,,CCO,Solvent,0.2383,,0.634022,,10.1021/je7005743
6529,303.15,101.0,Liquid,2,CC(C)CC(C)(C)C,Solvent,0.5158,,CCO,Solvent,0.4842,,0.638973,,10.1021/je7005743
6530,303.15,101.0,Liquid,2,CC(C)CC(C)(C)C,Solvent,0.0815,,CCO,Solvent,0.9185,,0.197762,,10.1021/je7005743
6534,298.2,100.0,Liquid,2,C1CCCCC1,Solvent,0.7668,,c1ccccc1,Solvent,0.2332,,0.5517,,10.1016/j.jct.2014.05.020
6535,298.2,100.0,Liquid,2,C1CCCCC1,Solvent,0.5012,,c1ccccc1,Solvent,0.4988,,0.7893,,10.1016/j.jct.2014.05.020
6536,298.2,100.0,Liquid,2,C1CCCCC1,Solvent,0.2606,,c1ccccc1,Solvent,0.7394,,0.6282,,10.1016/j.jct.2014.05.020
6540,308.15,101.0,Liquid,2,C1CCCCC1,Solvent,0.7266,,C1CCOCC1,Solvent,0.2734,,0.4424,,10.1016/j.tca.2010.03.028
6541,308.15,101.0,Liquid,2,C1CCCCC1,Solvent,0.2471,,C1CCOCC1,Solvent,0.7529,,0.3613,,10.1016/j.tca.2010.03.028
6542,308.15,101.0,Liquid,2,C1CCCCC1,Solvent,0.499,,C1CCOCC1,Solvent,0.501,,0.526,,10.1021/je900077g
6546,298.15,101.0,Liquid,2,BrCCBr,Solvent,0.7346,,CCOC=O,Solvent,0.2654,,0.3604,,10.1016/j.jct.2005.07.009
6547,298.15,101.0,Liquid,2,BrCCBr,Solvent,0.503,,CCOC=O,Solvent,0.497,,0.404,,10.1016/j.jct.2005.07.009
6548,298.15,101.0,Liquid,2,BrCCBr,Solvent,0.2475,,CCOC=O,Solvent,0.7525,,0.2492,,10.1016/j.jct.2005.07.009
6553,298.15,101.3,Liquid,2,CCCCO,Solvent,0.4776,,OCCO,Solvent,0.5224,,0.73252,,10.1021/je030207i
6554,298.15,101.3,Liquid,2,CCCCO,Solvent,0.2473,,OCCO,Solvent,0.7527,,0.55438,,10.1021/je030207i
6558,298.15,101.0,Liquid,2,NCCO,Solvent,0.74678,,c1ccncc1,Solvent,0.25322,,0.612,,10.1021/je400184t
6559,298.15,101.0,Liquid,2,NCCO,Solvent,0.55936,,c1ccncc1,Solvent,0.44064,,0.824,,10.1021/je400184t
6560,298.15,101.0,Liquid,2,NCCO,Solvent,0.24812,,c1ccncc1,Solvent,0.75188,,0.779,,10.1021/je400184t
6564,298.15,101.0,Liquid,2,CN(CCO)CCO,Solvent,0.23061,,c1ccncc1,Solvent,0.76939,,-0.032,,10.1021/je400184t
6565,298.15,101.0,Liquid,2,CN(CCO)CCO,Solvent,0.66958,,c1ccncc1,Solvent,0.33042,,-0.12,,10.1021/je400184t
6566,298.15,101.0,Liquid,2,CN(CCO)CCO,Solvent,0.47376,,c1ccncc1,Solvent,0.52624,,-0.093,,10.1021/je400184t
6573,298.15,100.0,Liquid,2,CC(=O)c1ccccc1,Solvent,0.2001,,CC(C)O,Solvent,0.7999,,1.1352,,10.1021/je7006633
6574,298.15,100.0,Liquid,2,CC(=O)c1ccccc1,Solvent,0.4996,,CC(C)O,Solvent,0.5004,,1.5703,,10.1021/je7006633
6575,298.15,100.0,Liquid,2,CC(=O)c1ccccc1,Solvent,0.7006,,CC(C)O,Solvent,0.2994,,1.3758,,10.1021/je7006633
6579,308.15,101.0,Liquid,2,C1COCO1,Solvent,0.7604,,Cc1ccccc1Cl,Solvent,0.2396,,0.313,,10.1021/je400722h
6580,308.15,101.0,Liquid,2,C1COCO1,Solvent,0.5009,,Cc1ccccc1Cl,Solvent,0.4991,,0.393,,10.1021/je400722h
6581,308.15,101.0,Liquid,2,C1COCO1,Solvent,0.2679,,Cc1ccccc1Cl,Solvent,0.7321,,0.272,,10.1021/je400722h
6585,308.15,101.0,Liquid,2,C1COCCO1,Solvent,0.8357,,Cc1ccccc1Cl,Solvent,0.1643,,0.244,,10.1021/je400722h
6586,308.15,101.0,Liquid,2,C1COCCO1,Solvent,0.4912,,Cc1ccccc1Cl,Solvent,0.5088,,0.356,,10.1021/je400722h
6587,308.15,101.0,Liquid,2,C1COCCO1,Solvent,0.2462,,Cc1ccccc1Cl,Solvent,0.7538,,0.206,,10.1021/je400722h
6591,308.15,101.0,Liquid,2,C1CCOCC1,Solvent,0.7533,,Cc1ccccc1Cl,Solvent,0.2467,,-0.154,,10.1021/je400722h
6592,308.15,101.0,Liquid,2,C1CCOCC1,Solvent,0.5175,,Cc1ccccc1Cl,Solvent,0.4825,,-0.22,,10.1021/je400722h
6593,308.15,101.0,Liquid,2,C1CCOCC1,Solvent,0.2632,,Cc1ccccc1Cl,Solvent,0.7368,,-0.175,,10.1021/je400722h
6597,308.15,101.0,Liquid,2,C1CCOCC1,Solvent,0.2915,,c1ccncc1,Solvent,0.7085,,0.0898,,10.1016/j.tca.2011.02.002
6598,308.15,101.0,Liquid,2,C1CCOCC1,Solvent,0.5363,,c1ccncc1,Solvent,0.4637,,0.1573,,10.1016/j.tca.2011.02.002
6599,308.15,101.0,Liquid,2,C1CCOCC1,Solvent,0.7344,,c1ccncc1,Solvent,0.2656,,0.1564,,10.1016/j.tca.2011.02.002
6603,308.15,101.0,Liquid,2,C1CCOCC1,Solvent,0.2683,,Cc1ccccn1,Solvent,0.7317,,0.1057,,10.1016/j.tca.2011.02.002
6604,308.15,101.0,Liquid,2,C1CCOCC1,Solvent,0.4822,,Cc1ccccn1,Solvent,0.5178,,0.1728,,10.1016/j.tca.2011.02.002
6605,308.15,101.0,Liquid,2,C1CCOCC1,Solvent,0.8216,,Cc1ccccn1,Solvent,0.1784,,0.1352,,10.1016/j.tca.2011.02.002
6609,308.15,101.0,Liquid,2,C1CCOCC1,Solvent,0.2732,,Cc1cccnc1,Solvent,0.7268,,0.1036,,10.1016/j.tca.2011.02.002
6610,308.15,101.0,Liquid,2,C1CCOCC1,Solvent,0.4803,,Cc1cccnc1,Solvent,0.5197,,0.1271,,10.1016/j.tca.2011.02.002
6611,308.15,101.0,Liquid,2,C1CCOCC1,Solvent,0.7355,,Cc1cccnc1,Solvent,0.2645,,0.0924,,10.1016/j.tca.2011.02.002
6615,308.15,101.0,Liquid,2,C1CCOCC1,Solvent,0.2416,,Cc1ccncc1,Solvent,0.7584,,0.0975,,10.1016/j.tca.2011.02.002
6616,308.15,101.0,Liquid,2,C1CCOCC1,Solvent,0.4834,,Cc1ccncc1,Solvent,0.5166,,0.1741,,10.1016/j.tca.2011.02.002
6617,308.15,101.0,Liquid,2,C1CCOCC1,Solvent,0.8262,,Cc1ccncc1,Solvent,0.1738,,0.0948,,10.1016/j.tca.2011.02.002
