Id,Temperature (K),Pressure (kPa),Phase,N Components,Component 1,Role 1,Mole Fraction 1,Exact Amount 1,Component 2,Role 2,Mole Fraction 2,Exact Amount 2,EnthalpyOfMixing Value (kJ / mol),EnthalpyOfMixing Uncertainty (kJ / mol),Density Value (g / ml),Density Uncertainty (g / ml),Source
6315,298.15,101.325,Liquid,1,CO,Solvent,1.0,,,,,,,,0.7866000000000002,,10.1016/j.jct.2015.09.010
6316,298.15,101.325,Liquid,1,CCCCC,Solvent,1.0,,,,,,,,0.6208900000000002,,10.1016/j.fluid.2013.11.026
6317,298.15,101.325,Liquid,1,Cc1ccccc1Cl,Solvent,1.0,,,,,,,,1.0764700000000005,,10.1016/j.fluid.2014.01.019
6318,298.15,101.325,Liquid,1,Cn1ccnc1,Solvent,1.0,,,,,,,,1.0332000000000003,,10.1016/j.fluid.2009.02.011
6319,298.15,101.325,Liquid,1,CN1CCOCC1,Solvent,1.0,,,,,,,,0.9141500000000002,,10.1021/je200093f
6320,298.15,101.325,Liquid,1,CNCCO,Solvent,1.0,,,,,,,,0.93618,,10.1021/je1002626
6321,298.05,101.0,Liquid,1,BrCCCCCBr,Solvent,1.0,,,,,,,,1.6918700000000002,,10.1021/je060200b
6322,298.15,101.325,Liquid,1,CC(=O)c1ccccc1,Solvent,1.0,,,,,,,,1.0230000000000004,,10.1016/j.fluid.2006.09.014
6323,298.15,101.325,Liquid,1,CCN(CC)CC,Solvent,1.0,,,,,,,,0.7228140000000002,,10.1016/j.jct.2013.09.026
6324,298.15,101.325,Liquid,1,CC(C)(C)O,Solvent,1.0,,,,,,,,0.7805660000000002,,10.1016/j.fluid.2014.06.005
6325,298.15,101.325,Liquid,1,COC(C)=O,Solvent,1.0,,,,,,,,0.9270100000000002,,10.1021/je9005618
6326,298.15,101.325,Liquid,1,CC(=O)N(C)C,Solvent,1.0,,,,,,,,0.9363,,10.1016/j.jct.2004.11.015
6327,298.15,101.325,Liquid,1,CNc1ccccc1,Solvent,1.0,,,,,,,,0.9822000000000004,,10.1021/je401098b
6328,298.15,101.325,Liquid,1,C1CCCCC1,Solvent,1.0,,,,,,,,0.7738000000000002,,10.1016/j.fluid.2013.10.033
6329,298.15,101.325,Liquid,1,c1cc[nH]c1,Solvent,1.0,,,,,,,,0.9659000000000002,,10.1021/je8006265
6330,298.15,101.325,Liquid,1,c1ccncc1,Solvent,1.0,,,,,,,,0.9828500000000002,,10.1016/j.fluid.2015.04.031
6331,298.15,101.325,Liquid,1,CN(C)C=O,Solvent,1.0,,,,,,,,0.94381,,10.1021/je049953t
6332,298.15,101.325,Liquid,1,CC(=O)C(C)C,Solvent,1.0,,,,,,,,0.7995500000000001,,10.1016/j.fluid.2013.01.020
6333,298.15,101.325,Liquid,1,NCCO,Solvent,1.0,,,,,,,,1.0117900000000002,,10.1016/j.fluid.2015.06.041
6334,298.15,101.325,Liquid,1,OCCNCCO,Solvent,1.0,,,,,,,,1.0932210000000002,,10.1021/je300938w
6335,298.15,101.325,Liquid,1,OCCN(CCO)CCO,Solvent,1.0,,,,,,,,1.1209900000000004,,10.1021/je900064e
6336,298.15,101.325,Liquid,1,C1CCNCC1,Solvent,1.0,,,,,,,,0.8646000000000003,,10.1016/j.fluid.2009.10.018
6337,298.15,101.0,Liquid,1,BrCCBr,Solvent,1.0,,,,,,,,2.1691370000000005,,10.1007/s10765-010-0874-x
6338,298.15,101.325,Liquid,1,CC1CCCCC1,Solvent,1.0,,,,,,,,0.7650200000000001,,10.1016/j.fluid.2013.10.033
6339,298.15,101.325,Liquid,1,CC(C)CC(C)(C)C,Solvent,1.0,,,,,,,,0.6879000000000002,,10.1016/j.fluid.2012.06.031
6340,298.15,101.325,Liquid,1,COc1ccccc1,Solvent,1.0,,,,,,,,0.9893000000000002,,10.1021/je050085p
6341,298.15,101.325,Liquid,1,CCOC=O,Solvent,1.0,,,,,,,,0.91417,,10.1016/j.jct.2005.03.020
6342,298.15,101.325,Liquid,1,OC1=NCCC1,Solvent,1.0,,,,,,,,0.9942800000000002,,10.1007/s10765-010-0717-9
6343,298.15,101.325,Liquid,1,Cc1ccccc1N,Solvent,1.0,,,,,,,,0.9942800000000002,,10.1016/j.tca.2008.06.004
6344,298.15,101.325,Liquid,1,CNC=O,Solvent,1.0,,,,,,,,0.9988000000000002,,10.1021/je050209y
6345,298.15,101.325,Liquid,1,OCCN1CCOCC1,Solvent,1.0,,,,,,,,1.0713,,10.1016/j.jct.2007.11.010
6346,298.15,101.325,Liquid,1,C1COCO1,Solvent,1.0,,,,,,,,1.0590000000000002,,10.1016/j.fluid.2007.05.013
6347,298.15,101.325,Liquid,1,CN1CCCC1=O,Solvent,1.0,,,,,,,,1.0282300000000002,,10.1016/j.tca.2013.04.011
6348,297.98,101.325,Liquid,1,BrCCCBr,Solvent,1.0,,,,,,,,1.9702200000000003,,10.1007/s10765-009-0610-6
6349,295.15,101.325,Liquid,1,BrCCCCBr,Solvent,1.0,,,,,,,,1.8194400000000004,,10.1016/j.jct.2005.07.009
6350,298.15,101.325,Liquid,1,CN1CCNCC1,Solvent,1.0,,,,,,,,0.8998000000000002,,10.1016/j.fluid.2005.05.012
6351,298.15,101.325,Liquid,1,Cc1ccccn1,Solvent,1.0,,,,,,,,0.9398000000000002,,10.1016/j.jct.2004.11.015
6352,298.15,101.325,Liquid,1,Cc1cccnc1,Solvent,1.0,,,,,,,,0.9526100000000004,,10.1021/je200093f
6353,298.15,101.325,Liquid,1,CC(C)CCl,Solvent,1.0,,,,,,,,0.8715330000000002,,10.1016/j.jct.2012.02.039
6354,298.15,101.325,Liquid,1,CC(C)OC(C)C,Solvent,1.0,,,,,,,,0.7182300000000001,,10.1016/j.fluid.2013.01.020
6355,298.15,101.325,Liquid,1,CC(C)(C)Cl,Solvent,1.0,,,,,,,,0.8370960000000002,,10.1016/j.jct.2012.02.039
6356,298.15,101.325,Liquid,1,Cc1ccncc1,Solvent,1.0,,,,,,,,0.9498700000000002,,10.1021/je200093f
6357,298.15,101.325,Liquid,1,O=C1CCCCCC1,Solvent,1.0,,,,,,,,0.9476200000000002,,10.1021/acs.jced.6b00606
6358,298.15,101.325,Liquid,1,CC(=O)C(C)=O,Solvent,1.0,,,,,,,,0.9855000000000004,,10.1021/je300280s
6359,298.15,101.325,Liquid,1,CC/C=C\CCO,Solvent,1.0,,,,,,,,0.8486400000000002,,10.1021/je300280s
6360,298.15,101.325,Liquid,1,OCC(O)CO,Solvent,1.0,,,,,,,,1.2585200000000003,,10.1016/j.fluid.2014.06.015
6361,298.15,101.325,Liquid,1,COC=O,Solvent,1.0,,,,,,,,0.9663800000000002,,10.1021/je200974r
6362,298.15,101.325,Liquid,1,c1ccccc1,Solvent,1.0,,,,,,,,0.8735700000000003,,10.1016/j.fluid.2013.10.033
6363,298.15,101.325,Liquid,1,COC(C)(C)C,Solvent,1.0,,,,,,,,0.7359900000000001,,10.1016/j.jct.2005.07.017
6364,298.15,101.325,Liquid,1,CCOC(=O)CC(=O)OCC,Solvent,1.0,,,,,,,,1.0496030000000005,,10.1021/je9003806
6365,298.15,101.325,Liquid,1,OCc1ccccc1,Solvent,1.0,,,,,,,,1.0414000000000003,,10.1021/je049591p
6366,298.15,101.325,Liquid,1,ClCCCl,Solvent,1.0,,,,,,,,1.2463700000000002,,10.1016/j.fluid.2015.06.041
6367,298.15,101.325,Liquid,1,ClCCCCCl,Solvent,1.0,,,,,,,,1.13332,,10.1016/j.jct.2005.03.020
6368,298.15,101.325,Liquid,1,Nc1ccccc1,Solvent,1.0,,,,,,,,1.0173,,10.1016/j.fluid.2010.08.010
6369,298.15,101.325,Liquid,1,CCCCBr,Solvent,1.0,,,,,,,,1.26683,,10.1021/je0501235
6370,298.15,101.325,Liquid,1,Clc1ccccc1,Solvent,1.0,,,,,,,,1.1008000000000002,,10.1021/je020186c
6371,298.15,101.325,Liquid,1,O=Cc1ccccc1,Solvent,1.0,,,,,,,,1.0442000000000002,,10.1016/j.jct.2009.02.007
6372,298.15,101.325,Liquid,1,C=C(C)[C@H]1CC=C(C)CC1,Solvent,1.0,,,,,,,,0.8386800000000002,,10.1021/je1011339
6373,298.15,101.325,Liquid,1,CCOC(C)(C)CC,Solvent,1.0,,,,,,,,0.7605700000000002,,10.1016/j.fluid.2005.04.003
6374,298.15,101.325,Liquid,1,NCCNCCN,Solvent,1.0,,,,,,,,0.9455480000000004,,10.1016/j.tca.2011.06.003
6375,298.15,101.325,Liquid,1,CN(C)CCCO,Solvent,1.0,,,,,,,,0.8808170000000002,,10.1021/acs.jced.7b00042
6376,298.15,101.325,Liquid,1,CN1CCCCC1,Solvent,1.0,,,,,,,,0.8126200000000002,,10.1021/je200093f
6377,298.15,101.325,Liquid,1,Cc1cccc(C)n1,Solvent,1.0,,,,,,,,0.9181900000000004,,10.1021/je200093f
