,0
0,CCCCCCCC
1,CC(=O)CC(C)C
2,Clc1ccccc1
3,C1COCCO1
4,O=C1CCCCCC1
5,CN(C)C=O
6,C1CCCCC1
7,OCCN(CCO)CCO
8,c1cc[nH]c1
9,CCOC(C)(C)CC
10,OCCOCCO
11,C1CCCC1
12,O=C1CCCC1
13,OCCO
14,ClCCCl
15,CC(C)CO
16,Cc1ccccc1N
17,CNCCO
18,O
19,CCN(CC)CC
20,CN(C)CCCO
21,OCCNCCO
22,CC(C)OC(C)C
23,CCOC(=O)CC(=O)OCC
24,Cc1ccccc1
25,Cc1ccccn1
26,CCCCC(=O)OCC
27,CCCOC(=O)CC
28,BrCCCBr
29,C=C(C)[C@H]1CC=C(C)CC1
30,CCN(CC)CCO
31,O=C1CCCCC1
32,C1CCNCC1
33,CC(C)CC(C)(C)C
34,Cc1ccccc1C
35,CCCC(=O)OC
36,OCc1ccccc1
37,OCCc1ccccc1
38,CCCCCl
39,CCCCC(=O)OC
40,COc1ccccc1
41,CN(C)CCO
42,CC1CCCCC1
43,CC(C)=O
44,CCOC=O
45,CCCCCCCCC
46,Cc1ccccc1Cl
47,CCCCBr
48,CC(C)(C)Cl
49,CCCCC
50,CNc1ccccc1
51,Cc1cccnc1
52,CCCCCCCO
53,CCCCCC(C)=O
54,CCC(C)(C)O
55,CCCCNCCCC
56,CCOC(C)=O
57,c1ccncc1
58,CC(=O)N(C)C
59,CCCOC=O
60,COC=O
61,CCCCOCCCC
62,CN1CCNCC1
63,C=CCCCC
64,C1CCOCC1
65,OCCN1CCOCC1
66,CO
67,CCCCCCC
68,C1COCCN1
69,Cc1ccncc1
70,CCOC(C)(C)C
71,CC(C)CCl
72,CC(C)O
73,C1COCO1
74,ClCCCCCl
75,ClCCCCCCCl
76,c1ccccc1
77,CCO
78,CCCNCCC
79,CCOCCO
80,CN(CCO)CCO
81,COC(C)=O
82,O=Cc1ccccc1
83,OCCCc1ccccc1
84,CCCCCC
85,COC(C)(C)C
86,CC1(C)C(=O)[C@]2(C)CC[C@H]1C2
87,NCCCO
88,CCCCCCCl
89,CC(=O)c1ccccc1
90,CCC(C)=O
91,ClCCCCl
92,NCCNCCN
93,CCC(=O)OC
94,NCCO
95,CC(C)(C)O
96,CNC=O
97,CCOc1ccccc1
98,BrCCBr
99,OCC(O)CO
100,CCCO
101,CN1CCCC1=O
102,CCCC(C)=O
103,Nc1ccccc1
104,CCCCOC(C)=O
105,CCCCCO
106,NCCNCCO
107,CCCCO
108,OC1=NCCC1
