,0
0,C1COCCO1
1,CCCC(C)=O
2,CCC(C)(C)O
3,CC(=O)CC(C)C
4,OCc1ccccc1
5,NCCNCCO
6,CCCNCCC
7,CCC(=O)OC
8,Cc1cccnc1
9,Cc1ccccc1Cl
10,OCCCc1ccccc1
11,C1COCCN1
12,BrCCBr
13,COc1ccccc1
14,CN1CCCC1=O
15,CCCCO
16,CCCCOCCCC
17,CCOC(C)(C)C
18,COC(C)=O
19,Clc1ccccc1
20,c1ccncc1
21,CCCCCO
22,CCCCNCCCC
23,c1ccccc1
24,CNc1ccccc1
25,ClCCCCl
26,CCCCOC(C)=O
27,CCCCCCCC
28,CC(C)OC(C)C
29,CC(C)O
30,CCCC(=O)OC
31,CNC=O
32,CCOC(C)(C)CC
33,CC(C)(C)O
34,CCCCC(=O)OCC
35,CN(C)C=O
36,OCCN(CCO)CCO
37,OCCOCCO
38,C1CCCCC1
39,CCOCCO
40,OCCO
41,CC(C)CCl
42,CCOC(=O)CC(=O)OCC
43,CO
44,Cc1ccccc1N
45,CN(CCO)CCO
46,CC(=O)c1ccccc1
47,Cc1ccccc1C
48,CCCCCCCO
49,CCO
50,CN(C)CCCO
51,CCOC(C)=O
52,CCOc1ccccc1
53,CC(C)(C)Cl
54,NCCNCCN
55,CCCCCCCCC
56,OC1=NCCC1
57,CCCCC
58,CCCCCCCl
59,O=Cc1ccccc1
60,O=C1CCCC1
61,C1CCCC1
62,Cc1ccccc1
63,CC(C)CO
64,NCCCO
65,CCCCCCC
66,BrCCCBr
67,Cc1ccncc1
68,C1CCNCC1
69,OCCc1ccccc1
70,CC(C)CC(C)(C)C
71,Cc1ccccn1
72,C=CCCCC
73,OCCNCCO
74,CCCOC=O
75,C1COCO1
76,CC(C)=O
77,C1CCOCC1
78,Nc1ccccc1
79,CCN(CC)CC
80,CC1(C)C(=O)[C@]2(C)CC[C@H]1C2
81,CCC(C)=O
82,CN(C)CCO
83,c1cc[nH]c1
84,CCCOC(=O)CC
85,CCCCCC
86,ClCCCl
87,CCOC=O
88,COC=O
89,ClCCCCCl
90,CC1CCCCC1
91,O
92,CCCO
93,CCCCC(=O)OC
94,O=C1CCCCC1
95,CCCCCC(C)=O
96,COC(C)(C)C
97,CN1CCNCC1
98,O=C1CCCCCC1
99,CC(=O)N(C)C
100,OCC(O)CO
101,CCN(CC)CCO
102,NCCO
103,CCCCBr
104,C=C(C)[C@H]1CC=C(C)CC1
105,CNCCO
106,OCCN1CCOCC1
107,ClCCCCCCCl
108,CCCCCl
