Mixture,Count
COc1ccccc1 | OCCc1ccccc1,6
CC(C)CC(C)(C)C | CCCCOCCCC,6
C1CCCCC1 | C1COCCO1,6
CNC=O | Cc1ccccc1Cl,6
CCCCCCC | CNc1ccccc1,6
Cc1ccccc1N | Cc1cccnc1,6
CC(C)CO | CCOC(=O)CC(=O)OCC,6
C1CCOCC1 | CCCCCO,6
CN1CCCC1=O | c1ccccc1,6
C1CCOCC1 | O=C1CCCC1,6
CNc1ccccc1 | Cc1ccccc1,6
CN1CCCC1=O | ClCCCCCCCl,6
BrCCBr | COC=O,6
Clc1ccccc1 | c1ccccc1,6
BrCCBr | COC(C)=O,6
CC(C)OC(C)C | CCCCCl,6
C1CCOCC1 | Cc1cccnc1,6
CN(C)C=O | Cc1ccccc1Cl,6
CC(C)=O | CNc1ccccc1,6
C1COCO1 | CCCC(C)=O,6
CCN(CC)CCO | O,4
C1CCOCC1 | Cc1ccccc1N,6
C1COCCO1 | O=C1CCCCCC1,6
CN1CCCC1=O | c1ccncc1,6
CN1CCCC1=O | Cc1ccccc1,6
C1CCCCC1 | CCCCCC,6
C1CCOCC1 | CNC=O,6
C1COCCO1 | O=C1CCCC1,6
CN1CCNCC1 | O,6
C=C(C)[C@H]1CC=C(C)CC1 | CCCCCO,6
CCOCCO | OCc1ccccc1,6
CCCCC | CCCOC=O,6
CC(=O)N(C)C | ClCCCCCl,6
CC(C)CC(C)(C)C | CCCO,6
C1COCO1 | CCCCCC(C)=O,6
C1CCOCC1 | Cc1ccccc1Cl,6
CC(=O)c1ccccc1 | CC(C)O,6
CCC(C)=O | CN1CCCC1=O,6
CC1CCCCC1 | CCCO,6
CCCCCCC | c1ccccc1,6
CCCCC | CCOC=O,6
CCCCCCCCC | COC(C)(C)C,6
CC(C)(C)Cl | CC(C)OC(C)C,6
OCCOCCO | OCc1ccccc1,6
CC(C)O | CCOC(=O)CC(=O)OCC,6
C1COCCO1 | O=C1CCCCC1,6
CCCCC(=O)OCC | CCOC(C)=O,6
CCOCCO | c1ccccc1,6
C1CCCCC1 | c1ccccc1,6
C1COCCO1 | Cc1ccccc1Cl,6
CC(C)O | O,6
CC(C)CCl | CC(C)OC(C)C,6
C1CCCCC1 | CNc1ccccc1,6
C1COCO1 | O=C1CCCC1,6
CCCCO | OC1=NCCC1,6
CC(=O)CC(C)C | CCC(C)(C)O,6
CC(=O)N(C)C | ClCCCl,6
CCCOC(=O)CC | ClCCCl,6
COC=O | ClCCCl,6
COc1ccccc1 | OCCCc1ccccc1,6
BrCCBr | CCC(=O)OC,6
COC=O | ClCCCCl,6
CCC(C)=O | CCCCNCCCC,6
COc1ccccc1 | OCc1ccccc1,6
CC(C)CC(C)(C)C | CCO,6
CCCCOC(C)=O | CCOC(C)=O,6
C1CCOCC1 | O=C1CCCCC1,6
CN(C)CCO | O,6
CC1(C)C(=O)[C@]2(C)CC[C@H]1C2 | CCO,6
CC(C)(C)O | OC1=NCCC1,6
C1CCCC1 | CCCCCCCO,6
CCCCC(=O)OC | CO,6
CN(C)C=O | ClCCCCCl,6
C1COCO1 | Cc1ccccc1Cl,6
