,0
0,OCc1ccccc1
1,ClCCCCCCCl
2,OCCN1CCOCC1
3,BrCCBr
4,CCC(=O)OC
5,CCN(CC)CCO
6,BrCCCBr
7,C1CCOCC1
8,CNc1ccccc1
9,COC(C)=O
10,CNCCO
11,CN(C)CCCO
12,CCCCCCCO
13,CCC(C)(C)O
14,CCCCC(=O)OC
15,OC1=NCCC1
16,NCCNCCN
17,CCCCCl
18,CN1CCCC1=O
19,CCCCC(=O)OCC
20,CCCCC
21,CCCCCCCCC
22,NCCCO
23,CCCCBr
24,Cc1ccccc1Cl
25,OCCOCCO
26,CCC(C)=O
27,CC(C)CCl
28,CCCC(C)=O
29,CC(C)(C)O
30,CCOC(=O)CC(=O)OCC
31,CC(=O)c1ccccc1
32,NCCNCCO
33,C1CCNCC1
34,OCCN(CCO)CCO
35,OCC(O)CO
36,COC=O
37,CC(C)CO
38,CC(=O)CC(C)C
39,CCN(CC)CC
40,CCCCCCCl
41,CC1(C)C(=O)[C@]2(C)CC[C@H]1C2
42,O=C1CCCC1
43,Clc1ccccc1
44,ClCCCl
45,CC(C)CC(C)(C)C
46,Cc1ccccc1C
47,C=C(C)[C@H]1CC=C(C)CC1
48,OCCc1ccccc1
49,C1CCCC1
50,CC(C)OC(C)C
51,CC(=O)N(C)C
52,c1cc[nH]c1
53,C1COCO1
54,CCCCCC
55,CCCO
56,COC(C)(C)C
57,OCCO
58,Cc1cccnc1
59,c1ccncc1
60,CN(C)CCO
61,Cc1ccccc1N
62,C1COCCN1
63,CCCCCO
64,CCCC(=O)OC
65,COc1ccccc1
66,ClCCCCl
67,CCCCNCCCC
68,NCCO
69,CCOC=O
70,C1COCCO1
71,CCCCCC(C)=O
72,OCCNCCO
73,CO
74,Nc1ccccc1
75,CCCCCCC
76,c1ccccc1
77,CN1CCNCC1
78,CC(C)=O
79,Cc1ccccc1
80,Cc1ccccn1
81,CCOc1ccccc1
82,CCCCO
83,CC1CCCCC1
84,O=C1CCCCCC1
85,CC(C)(C)Cl
86,OCCCc1ccccc1
87,CCCCOC(C)=O
88,CN(CCO)CCO
89,CCCCCCCC
90,ClCCCCCl
91,CCCCOCCCC
92,CCOCCO
93,CCOC(C)=O
94,O=Cc1ccccc1
95,CN(C)C=O
96,O=C1CCCCC1
97,CC(C)O
98,C=CCCCC
99,CCO
100,Cc1ccncc1
101,CCOC(C)(C)CC
102,CCCOC=O
103,CCCNCCC
104,NCCCNCCCN
105,C1CCCCC1
106,CCOC(C)(C)C
107,CNC=O
108,O
109,CCCOC(=O)CC
