,0
0,C1COCCO1
1,CCCC(C)=O
2,CCC(C)(C)O
3,CC(=O)CC(C)C
4,OCc1ccccc1
5,NCCNCCO
6,CCCNCCC
7,CCC(=O)OC
8,Cc1cccnc1
9,Cc1ccccc1Cl
10,OCCCc1ccccc1
11,C1COCCN1
12,BrCCBr
13,COc1ccccc1
14,CN1CCCC1=O
15,CCCCO
16,CCCCOCCCC
17,CCOC(C)(C)C
18,COC(C)=O
19,Clc1ccccc1
20,c1ccncc1
21,CCCCCO
22,CCCCNCCCC
23,c1ccccc1
24,CNc1ccccc1
25,ClCCCCl
26,CCCCOC(C)=O
27,CCCCCCCC
28,CC(C)OC(C)C
29,CC(C)O
30,CCCC(=O)OC
31,CNC=O
32,CCOC(C)(C)CC
33,CC(C)(C)O
34,CCCCC(=O)OCC
35,CN(C)C=O
36,OCCN(CCO)CCO
37,OCCOCCO
38,C1CCCCC1
39,CCOCCO
40,OCCO
41,NCCCNCCCN
42,CC(C)CCl
43,CO
44,CCOC(=O)CC(=O)OCC
45,Cc1ccccc1N
46,CN(CCO)CCO
47,CC(=O)c1ccccc1
48,Cc1ccccc1C
49,CCCCCCCO
50,CCO
51,CN(C)CCCO
52,CCOC(C)=O
53,CCOc1ccccc1
54,CC(C)(C)Cl
55,NCCNCCN
56,CCCCCCCCC
57,OC1=NCCC1
58,CCCCC
59,CCCCCCCl
60,O=Cc1ccccc1
61,O=C1CCCC1
62,C1CCCC1
63,Cc1ccccc1
64,CC(C)CO
65,NCCCO
66,CCCCCCC
67,BrCCCBr
68,Cc1ccncc1
69,C1CCNCC1
70,OCCc1ccccc1
71,CC(C)CC(C)(C)C
72,Cc1ccccn1
73,C=CCCCC
74,OCCNCCO
75,CCCOC=O
76,C1COCO1
77,CC(C)=O
78,C1CCOCC1
79,Nc1ccccc1
80,CCN(CC)CC
81,CC1(C)C(=O)[C@]2(C)CC[C@H]1C2
82,CCC(C)=O
83,CN(C)CCO
84,c1cc[nH]c1
85,CCCOC(=O)CC
86,CCCCCC
87,ClCCCl
88,CCOC=O
89,COC=O
90,ClCCCCCl
91,CC1CCCCC1
92,O
93,CCCO
94,CCCCC(=O)OC
95,O=C1CCCCC1
96,CCCCCC(C)=O
97,COC(C)(C)C
98,CN1CCNCC1
99,O=C1CCCCCC1
100,CC(=O)N(C)C
101,OCC(O)CO
102,CCN(CC)CCO
103,NCCO
104,CCCCBr
105,C=C(C)[C@H]1CC=C(C)CC1
106,CNCCO
107,OCCN1CCOCC1
108,ClCCCCCCCl
109,CCCCCl
