Mixture,Temperature,Pressure,Count
CN(C)CCO | O,298.15,101.0,3
CCN(CC)CCO | O,303.15,100.0,3
CN(CCO)CCO | O,313.15,101.0,3
CNCCO | O,298.15,101.0,3
O | OCCNCCO,298.15,101.0,3
O | OCCN(CCO)CCO,303.15,100.0,3
CC(C)CC(C)(C)C | CC(C)OC(C)C,303.15,101.0,3
O | OCCOCCO,298.15,101.0,3
CC(C)O | O,313.15,101.0,3
CCC(C)(C)O | CCO,298.15,101.3,3
c1cc[nH]c1 | c1ccncc1,298.15,101.0,3
O | OC1=NCCC1,298.15,101.0,3
C1CCCCC1 | CN1CCCC1=O,308.15,101.0,3
CN1CCCC1=O | c1ccccc1,308.15,101.0,3
CN1CCCC1=O | Cc1ccccc1,308.15,101.0,3
CC(=O)CC(C)C | CCC(C)(C)O,298.15,101.0,3
C1CCNCC1 | O,297.15,101.0,3
CN1CCNCC1 | O,298.15,101.0,3
OCCO | CCCCO,298.15,101.3,1
C1CCOCC1 | Cc1ccccc1N,308.15,101.0,3
CNC=O | Cc1ccccc1N,308.15,101.0,3
C1CCOCC1 | CNC=O,308.15,101.0,3
C1CCCCC1 | CCCCCC,298.15,101.0,3
C1CCCCC1 | CCCCCCCC,303.15,101.0,3
CC(C)CC(C)(C)C | CCO,303.15,101.0,3
C1CCCCC1 | c1ccccc1,298.2,100.0,3
C1CCCCC1 | C1CCOCC1,308.15,101.0,3
BrCCBr | CCOC=O,298.15,101.0,3
CCCCO | OCCO,298.15,101.3,2
NCCO | c1ccncc1,298.15,101.0,3
CN(CCO)CCO | c1ccncc1,298.15,101.0,3
CC(=O)c1ccccc1 | CC(C)O,298.15,100.0,3
C1COCO1 | Cc1ccccc1Cl,308.15,101.0,3
C1COCCO1 | Cc1ccccc1Cl,308.15,101.0,3
C1CCOCC1 | Cc1ccccc1Cl,308.15,101.0,3
C1CCOCC1 | c1ccncc1,308.15,101.0,3
C1CCOCC1 | Cc1ccccn1,308.15,101.0,3
C1CCOCC1 | Cc1cccnc1,308.15,101.0,3
C1CCOCC1 | Cc1ccncc1,308.15,101.0,3
CC(C)OC(C)C | Cc1ccccc1,303.15,101.0,3
CC(C)OC(C)C | CCCCCl,298.15,101.0,3
CC(C)CCl | CC(C)OC(C)C,298.15,101.0,3
CC(C)(C)Cl | CC(C)OC(C)C,298.15,101.0,3
C1CCCCC1 | C1COCCO1,303.15,101.0,3
C1CCOCC1 | O=C1CCCCC1,298.15,101.0,3
C1COCCO1 | O=C1CCCCC1,298.15,101.3,3
C1COCCO1 | O=C1CCCCCC1,308.15,100.0,3
BrCCBr | COC=O,298.15,101.0,3
BrCCBr | COC(C)=O,298.15,101.0,3
BrCCCBr | COC(C)=O,298.15,101.0,3
BrCCBr | CCC(=O)OC,298.15,101.0,3
CNC=O | Cc1ccccc1Cl,308.15,100.0,3
CN(C)C=O | Cc1ccccc1Cl,308.15,100.0,3
CCC(C)=O | CCCCO,303.0,101.0,3
CCCCCCC | c1ccccc1,303.15,101.0,3
CC(C)CC(C)(C)C | CCCCOCCCC,298.15,101.0,3
NCCNCCO | O,313.15,101.0,3
NCCNCCO | O,298.15,101.0,3
COC=O | ClCCCl,298.15,101.0,3
COC=O | ClCCCCl,298.15,101.0,3
CCOC=O | ClCCCl,298.15,101.0,3
CCCOC=O | ClCCCl,298.15,101.0,3
CCC(C)(C)O | CCOC(C)(C)CC,298.15,101.0,3
CCCCC(=O)OC | COC=O,298.15,100.0,3
CCCCC(=O)OC | CO,298.15,100.0,3
CO | COC=O,298.15,100.0,3
CCCOC(=O)CC | ClCCCl,298.15,101.0,3
CN(C)C=O | ClCCCl,298.15,101.0,3
CN(C)C=O | ClCCCCCl,298.15,101.0,3
CN(C)C=O | ClCCCCCCCl,298.15,101.0,3
CC(=O)N(C)C | ClCCCl,298.15,101.0,3
CC(=O)N(C)C | ClCCCCCl,298.15,101.0,3
CC(C)OC(C)C | CCO,303.15,101.0,3
C1CCOCC1 | c1ccccc1,308.15,101.0,3
C1CCOCC1 | Cc1ccccc1,308.15,101.0,3
C1CCOCC1 | Cc1ccccc1C,308.15,101.0,3
CC(C)CC(C)(C)C | CCCO,298.15,101.0,3
O | OCCN1CCOCC1,298.15,101.0,3
OCCOCCO | OCc1ccccc1,308.15,101.32,3
CC(C)CC(C)(C)C | CCCC(=O)OC,298.15,100.0,3
CC(C)CC(C)(C)C | COC(C)=O,298.15,100.0,3
CCCCC(=O)OC | COC(C)=O,298.15,100.0,3
CCCC(=O)OC | COC(C)=O,298.15,100.0,3
CCCO | O=Cc1ccccc1,298.15,101.325,3
c1cc[nH]c1 | c1ccccc1,298.15,101.0,3
C1CCCCC1 | c1cc[nH]c1,298.15,101.0,3
NCCNCCN | O,303.15,100.0,3
CCOCCO | OCc1ccccc1,308.15,101.0,3
CCOCCO | c1ccccc1,308.15,101.0,3
CN(C)CCCO | O,303.15,100.0,3
CCOC(=O)CC(=O)OCC | CO,298.2,101.3,3
CC(C)O | CCOC(=O)CC(=O)OCC,298.2,101.3,3
CC(C)CO | CCOC(=O)CC(=O)OCC,298.15,101.3,3
CN1CCCC1=O | c1ccncc1,298.15,101.0,3
OC1=NCCC1 | c1ccncc1,298.15,101.0,3
C1CCOCC1 | CCO,298.15,101.3,3
CO | OCCO,298.15,101.3,3
Cc1ccccc1N | c1ccncc1,308.15,101.0,3
Cc1ccccc1N | Cc1ccccn1,308.15,101.0,3
Cc1ccccc1N | Cc1cccnc1,308.15,101.0,3
Cc1ccccc1N | Cc1ccncc1,308.15,101.0,3
CCCCOC(C)=O | c1ccccc1,308.15,101.3,3
CC(C)=O | Nc1ccccc1,298.15,101.0,3
CC(C)=O | CNc1ccccc1,298.15,101.0,3
C1CCCCC1 | CC(C)O,298.15,101.0,3
C1CCCC1 | CCCCCCCO,298.15,101.0,3
NCCCO | O,298.15,101.0,3
CCCOC(=O)CC | Cc1ccccc1,298.15,101.0,3
CCCCCCC | CNc1ccccc1,298.15,101.0,3
C1CCCCC1 | CNc1ccccc1,298.15,101.0,3
