,0
0,C1COCCO1
1,CCCC(C)=O
2,CC(=O)CC(C)C
3,OCCOCCOCCO
4,CCC(C)(C)O
5,OCc1ccccc1
6,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([O-])C(F)(F)F
7,C[C@H](O)c1ccccc1
8,C[N+](=O)[O-]
9,COCCOC
10,CCCNCCC
11,CCC(=O)OC
12,Cc1cccnc1
13,ClC(Cl)C(Cl)Cl
14,CCCCCCCCCO
15,Cc1ccccc1Cl
16,CCOCCOCCOCC
17,ClC(Cl)Cl
18,CCCC[P+](CC)(CCCC)CCCC.CCOP(=O)([O-])OCC
19,CC(C)C(C)C
20,OCCCc1ccccc1
21,CCCCCCCCCC
22,COC(=O)OC
23,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F
24,BrCCBr
25,ClC(Cl)=C(Cl)Cl
26,COc1ccccc1
27,CCCCO
28,CN1CCCC1=O
29,C[C@H]1COC(=O)O1
30,ClC=C(Cl)Cl
31,CCCCOCCCC
32,CCCCOCC(C)C
33,CCOC(C)(C)C
34,CCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
35,COC(C)=O
36,CC/C=C\CCO
37,CCCCCOCCC
38,C[C@@H]1COC(=O)O1
39,Clc1ccccc1
40,CCCCCC(=O)CC
41,c1ccncc1
42,CC(=O)CC(C)=O
43,CCCCCO
44,CCCCNCCCC
45,CCCCCC(=O)OC(=O)CCCCC
46,CCCCCC[n+]1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
47,c1ccccc1
48,CNc1ccccc1
49,CCCCn1cc[n+](C)c1.COS(=O)(=O)[O-]
50,OCC(F)(F)F
51,COP(=O)([O-])OC.Cn1cc[n+](C)c1
52,CCCCCCn1cc[n+](C)c1.F[B-](F)(F)F
53,CCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
54,CCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
55,ClCCCCl
56,ClCCc1ccccc1
57,CCCCOC(C)=O
58,CCCCn1cc[n+](C)c1.F[B-](F)(F)F
59,CN1CCCCC1
60,CCCCCCCC
61,CC(C)OC(C)C
62,CCn1cc[n+](C)c1.O=S(=O)([O-])C(F)(F)F
63,ClCc1ccccc1
64,CCCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
65,CCOC(=O)c1ccccc1
66,CCCCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
67,CCn1cc[n+](C)c1.F[B-](F)(F)F
68,CCCCn1cc[n+](C)c1.O=S(=O)([O-])C(F)(F)C(F)F
69,CCOP(=O)([O-])OCC.CCn1cc[n+](C)c1
70,CCCC(=O)OC
71,Cn1ccnc1
72,CC(C)O
73,CCOC(C)(C)CC
74,Cc1ccc(C)cc1
75,CCOC(=O)OCC
76,C[C@@H](N)c1ccccc1
77,CC(C)(C)O
78,CCCCC(=O)OCC
79,CN(C)C=O
80,Cc1cccc(C)c1
81,OCCOCCO
82,CCOS(=O)(=O)[O-].CCn1cc[n+](C)c1
83,C1CCCCC1
84,CC(=O)OCCO
85,CCCCCCCCCl
86,CCOCCO
87,CCCCCCCCCCC
88,CCCCCCCOC
89,COCCOCCOC
90,CCCCCCO
91,CCCCOC=O
92,CCCOCCC
93,CCCCCCCCCCCC
94,CCCCC(=O)OC(=O)CCCC
95,OCCO
96,CCCCOC(=O)CC
97,C[C@@H](O)c1ccccc1
98,CCOCCOCCOCCO
99,CO
100,CCOCCOCCO
101,CCOC(=O)CC(=O)OCC
102,CCOC(=O)C(C)C
103,BrCCCCBr
104,CCc1ccccc1
105,C1CCOC1
106,Cc1ccccc1N
107,CN(CCO)CCO
108,CCN(CC)CCCN
109,CN1CCOCC1
110,CCCC#N
111,Cc1ccccc1C
112,CCCCCCCCCC(=O)OC
113,c1ccsc1
114,Cc1cccc(C)n1
115,CCCCCCCO
116,CCCCCOC(C)=O
117,O=[N+]([O-])c1ccccc1
118,C=C(C)CC(C)(C)C
119,CCO
120,CCOC(C)=O
121,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F
122,CCOc1ccccc1
123,CCC(=O)CC
124,CCCC[N+]1(C)CCCCC1.N#C[N-]C#N
125,CCC(C)CC
126,CCCCCCCCC
127,CCCCC
128,OC1=NCCC1
129,CCCCCCCl
130,CCCCCCCC[n+]1ccc2ccccc2c1.N#C[S-]
131,CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F
132,O=C1CCCC1
133,CCCCn1cc[n+](C)c1.O=S(=O)([O-])C(F)(F)F
134,CCCCCOC(=O)CC
135,COC(=O)[C@H](C)CO
136,COC(C)(C)CC(C)(C)C
137,CCCCCCCCCCCCC
138,CC(=O)C(C)C
139,Cc1ccccc1
140,CCOC(=O)CC
141,CCCCC(C)=O
142,CCCCN
143,ClC[C@@H]1CO1
144,COC(=O)[C@@H](C)CO
145,CC(C)CO
146,CCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
147,CCCCCCC
148,CCCCCCC(C)=O
149,CCCCn1cc[n+](C)c1.N#C[N-]C#N
150,ClC(Cl)(Cl)Cl
151,BrCCCBr
152,Cc1ccncc1
153,CCC#N
154,OCCc1ccccc1
155,C1CCNCC1
156,CCn1cc[n+](C)c1.COS(=O)(=O)[O-]
157,Brc1ccccc1
