Mixture,Temperature,Pressure,Count
COC(C)=O,318.15,101.325,9
COC(C)=O,298.15,100.0,9
COC(C)=O,298.15,101.325,9
CCOC(C)=O,318.15,101.32,36
CCOC(C)=O,288.15,101.325,36
CCOC(C)=O,338.15,101.325,36
CCOC(C)=O,348.15,101.325,36
CCOC(C)=O,291.15,101.32,36
CCOC(C)=O,298.15,101.325,36
CCOC(C)=O,328.15,101.325,36
CCOC(C)=O,318.15,101.325,36
CCOC(C)=O,313.15,101.325,36
CCOC(C)=O,298.15,101.32,36
CCOC(C)=O,328.15,101.32,36
CCCOC(C)=O,291.15,101.0,39
CCCOC(C)=O,288.15,101.325,39
CCCOC(C)=O,298.15,101.0,39
CCCOC(C)=O,328.15,101.0,39
CCCOC(C)=O,318.15,101.0,39
CCCOC(C)=O,308.15,101.325,39
CCCOC(C)=O,303.15,101.325,39
CCCOC(C)=O,298.15,101.325,39
CCCOC(C)=O,318.15,101.325,39
CCCCOC(C)=O,318.15,101.325,5
CCCCOC(C)=O,308.15,101.325,5
CCCCOC(C)=O,303.15,101.325,5
CCCCOC(C)=O,298.15,101.325,5
CCCCCOC(C)=O,318.15,101.325,1
CCCCCCC,291.15,101.0,90
CCCCCCC,288.15,101.325,90
CCCCCCC,293.15,101.3,90
CCCCCCC,298.1,101.325,90
CCCCCCC,328.15,101.0,90
CCCCCCC,318.15,101.32,90
CCCCCCC,308.15,101.0,90
CCCCCCC,338.15,101.325,90
CCCCCCC,318.15,101.325,90
CCCCCCC,298.15,101.32,90
CCCCCCC,318.15,101.0,90
CCCCCCC,303.15,101.3,90
CCCCCCC,298.15,101.325,90
CCCCCCC,291.15,101.32,90
CCCCCCC,313.15,101.325,90
CCCCCCC,318.15,101.3,90
CCCCCCC,328.15,101.32,90
CCCCCCC,293.15,101.325,90
CCCCCCC,298.15,101.0,90
CCCCCCC,298.15,101.3,90
CCCCCCC,328.15,101.325,90
CCCCCCC,348.15,101.325,90
CCCCCCC,313.15,101.3,90
CCCCCCCCC,291.15,101.0,46
CCCCCCCCC,318.15,101.32,46
CCCCCCCCC,308.15,101.0,46
CCCCCCCCC,293.15,101.3,46
CCCCCCCCC,298.15,101.0,46
CCCCCCCCC,328.15,101.0,46
CCCCCCCCC,313.15,101.3,46
CCCCCCCCC,318.15,101.0,46
CCCCCCCCC,303.15,101.3,46
CCCCCCCCC,298.15,101.3,46
CCCCCCCCC,291.15,101.32,46
CCCCCCCCC,298.15,101.325,46
CCCCCCCCC,318.15,101.325,46
CCCCCCCCC,318.15,101.3,46
CCCCCCCCC,298.15,101.32,46
CCCCCCCCC,328.15,101.32,46
CCCCCCCCCCC,318.15,101.325,1
CCCCCCCCCCCCC,318.15,101.325,1
CCCCCCCCCCCCCCC,318.15,101.325,1
CCCCCCCCCCCCCCCCC,318.15,101.325,1
CCC(=O)OC,318.15,101.325,4
CCC(=O)OC,298.15,101.325,4
CCOC(=O)CC,318.15,101.325,3
CCOC(=O)CC,298.15,101.325,3
CCCOC(=O)CC,298.1,101.325,11
CCCOC(=O)CC,298.15,101.0,11
CCCOC(=O)CC,303.15,101.325,11
CCCOC(=O)CC,298.15,101.325,11
CCCOC(=O)CC,318.15,101.325,11
CCCCOC(=O)CC,318.15,101.325,4
CCCCOC(=O)CC,303.15,101.325,4
CCCCOC(=O)CC,298.15,101.325,4
CCCCCOC(=O)CC,318.15,101.325,1
COC=O | ClCCCl,298.15,101.0,16
COC=O | ClCCCCl,298.15,101.0,16
COC=O | ClCCCCCl,298.15,101.0,16
COC=O | ClCCCCCCl,298.15,101.0,16
COC=O | ClCCCCCCCl,298.15,101.0,16
CCOC=O | ClCCCl,298.15,101.0,31
CCOC=O | ClCCCl,298.15,101.325,31
CCOC=O | ClCCCCl,298.15,101.0,32
CCOC=O | ClCCCCl,298.15,101.325,32
CCOC=O | ClCCCCCl,298.15,101.0,31
CCOC=O | ClCCCCCl,298.15,101.325,31
CCOC=O | ClCCCCCCl,298.15,101.0,32
CCOC=O | ClCCCCCCl,298.15,101.325,32
CCOC=O | ClCCCCCCCl,298.15,101.0,31
CCOC=O | ClCCCCCCCl,298.15,101.325,31
CCCOC=O | ClCCCl,298.15,101.0,15
CCCOC=O | ClCCCCl,298.15,101.0,16
CCCOC=O | ClCCCCCl,298.15,101.0,16
CCCOC=O | ClCCCCCCl,298.15,101.0,15
CCCOC=O | ClCCCCCCCl,298.15,101.0,15
CCCCOC=O | ClCCCl,298.15,101.0,30
CCCCOC=O | ClCCCCl,298.15,101.0,28
CCCCOC=O | ClCCCCCl,298.15,101.0,29
CCCCOC=O | ClCCCCCCl,298.15,101.0,30
CCCCOC=O | ClCCCCCCCl,298.15,101.0,27
CCCCCOC=O | ClCCCl,298.15,101.0,16
CCCCCOC=O | ClCCCCl,298.15,101.0,14
CCCCCOC=O | ClCCCCCl,298.15,101.0,16
CCCCCOC=O | ClCCCCCCl,298.15,101.0,14
CCCCCOC=O | ClCCCCCCCl,298.15,101.0,14
COC=O,291.15,101.0,28
COC=O,298.15,101.0,28
COC=O,298.15,100.0,28
COC=O,299.15,101.325,28
COC=O,291.15,101.325,28
COC=O,298.15,101.325,28
COC=O,291.15,101.32,28
COC=O,298.15,101.32,28
CCCC(=O)OC,293.15,101.325,14
CCCC(=O)OC,288.15,101.325,14
CCCC(=O)OC,298.15,100.0,14
CCCC(=O)OC,308.15,101.325,14
CCCC(=O)OC,303.15,101.325,14
CCCC(=O)OC,298.15,101.325,14
CCCC(=O)OC,318.15,101.325,14
CCCC(=O)OC,313.15,101.325,14
CCCCC(=O)OC,298.15,100.0,9
CCCCC(=O)OC,298.15,101.325,9
COC=O | BrCCBr,298.15,101.0,14
COC=O | BrCCCBr,298.15,101.0,13
COC=O | BrCCCCBr,298.15,101.0,15
COC=O | BrCCCCCBr,298.15,101.0,15
COC=O | BrCCCCCCBr,298.15,101.0,14
COC(C)=O | BrCCBr,298.15,101.0,15
COC(C)=O | BrCCCBr,298.15,101.0,16
COC(C)=O | BrCCCCBr,298.15,101.0,14
COC(C)=O | BrCCCCCBr,298.15,101.0,14
