Mixture,Count
CCCOC=O | CCCCCCCC,76
C1COCCO1 | CCCC(C)=O,17
CCCCOC(=O)CCC | ClCCCCCCCl,14
Nc1ccccc1,3
BrCCCCCCBr | CCOC=O,12
CCCCOC=O | ClCCCl,30
Cc1ccccc1N | Cc1cccnc1,54
BrCCBr | CCOC=O,15
Cn1ccnc1 | O,67
BrCCCCCCBr | CCOC(C)=O,12
BrCCCCCBr | CCCCOC(=O)CCC,15
CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,2
COC(=O)CC(C)=O,6
COC(=O)OC | CCCCCCCCC,73
CCCC(=O)OCC | ClCCCCl,15
CCOCCOCC,3
CO | CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,11
CCCCC(=O)OCC | BrCCCCCCBr,12
COC=O | BrCCCCBr,15
COC(C)=O | CCCC(=O)OC | CC(C)CC(C)(C)C,77
CCCCCC(=O)O,1
CCOCCOCCO,1
CCCCCO | C=C(C)[C@H]1CC=C(C)CC1,99
CCCCCCCCCC | CCCOC=O,64
COC(F)(F)C(F)(F)C(F)(F)C(F)(F)F | CCOCCO,29
BrCCCCCCBr,1
ClCCCCCl,3
CCCCC(=O)OC(=O)CCCC,1
CCOC(=O)CC(=O)OCC,14
CCCC[n+]1cccc(C)c1.F[B-](F)(F)F | CCCO,29
COC=O | CCCCCCCCC,38
BrCCCCBr,1
C[C@H]1COC(=O)O1,1
C1CCOC1 | CCCCCCCCCO,9
CCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F | CO,120
CCCCOC(=O)CCC | ClCCCCCCl,11
CC(C)OC(C)C | CCO,11
C1COCO1,10
C1CCNCC1,15
CN(CCO)CCO | c1ccncc1,28
CCCC[N+]1(C)CCCC1.N#C[B-](C#N)(C#N)C#N,1
CCCC[n+]1cccc(C)c1.F[B-](F)(F)F | CO,22
CCO | CC(C)CC(C)(C)C,11
ClC(Cl)Cl | COC(C)(C)C,12
Cc1ccccc1Cl | C1CCOCC1,54
CCCCOC(=O)CC | ClCCCl,16
OCC(F)(F)F,33
CCCCO,30
BrCCCCCBr | CCCCOC(C)=O,13
CCOC=O | CCCCCCC,76
OCCOCCO,4
BrCCCCBr | CCOC=O,13
ClCCCCl | CCCOC(=O)CC,15
CC(=O)OCCO,13
COC=O | BrCCBr,14
CCCCCCn1cc[n+](C)c1.F[B-](F)(F)F | CCCCn1cc[n+](C)c1.F[B-](F)(F)F,90
NCCO,6
CCOCCOCCOCCO,1
BrCCCCBr | CCOC(C)=O,14
COC(=O)OC | CCCCCCCCCC,60
CCCCn1cc[n+](C)c1.N#C[N-]C#N | O,24
CCn1cc[n+](C)c1.F[B-](F)(F)F | Cc1cccnc1,72
CCCC(=O)OC | BrCCBr,15
COP(=O)([O-])OC.Cn1cc[n+](C)c1 | CO,24
CCCCCCCCCCCCCC,7
CCCCCCCCC,46
COC(=O)[C@H](C)CO,1
OCCCc1ccccc1,3
CCCCC,18
CC(C)CO,6
CN1CCCCC1,5
CC(C)OC(C)C | CC(C)CC(C)(C)C,11
Cc1cccnc1 | O,12
O=C1CCCCCC1,5
CCCCC(=O)OC | CCCCCCC,16
CC(C)CC(C)(C)C,8
CN1CCOCC1 | CO,12
CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F | CCO,28
CCCCCCn1cc[n+](C)c1.O=S(=O)([O-])C(F)(F)F,9
CCCCOC=O | BrCCCBr,13
CCCC(=O)OC | BrCCCCBr,13
CCCOC=O,40
CCCCCCOCC,8
C1COCCO1 | O=C1CCCCC1,72
COC(F)(F)C(F)(F)C(F)(F)C(F)(F)F | CCCCOCCO,21
CCOC(=O)OCC,5
CCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,2
O=[N+]([O-])c1ccccc1,1
CCCOC(C)=O | CCCCCCCC,66
CCCCCCCCCCCCC,1
CCCCCOCCCCC,1
CCCCCC | Cc1ccccc1,17
CCOC(=O)CC | ClCCCl,16
CCCCC(=O)OC | BrCCCCCCBr,13
CCCCC(=O)OCC | BrCCCCCBr,15
C1CCOC1 | OCC(F)(F)F,29
CCOC(C)=O | CCCCCCCCC,66
CCN(CC)CCCN,1
CCCC(=O)OCC | BrCCCCCBr,13
CCCCCCCCCCCC,9
CCCCCCn1cc[n+](C)c1.F[B-](F)(F)F | CCO,60
C=C(C)CC(C)(C)C,1
CCn1cc[n+](C)c1.N#C[S-],21
COC(C)=O | BrCCBr,15
CCCCOC=O | BrCCCCCCBr,13
CC#N,12
CCCCC(=O)OC | BrCCCBr,16
CCCOC=O | ClCCCCCl,16
CCCCC(=O)OCC | ClCCCCCCCl,12
ClCCCCCl | CCCOC(=O)CCC,11
CCCCn1cc[n+](C)c1.F[B-](F)(F)F | C[N+](=O)[O-],130
O | CC(=O)C(C)=O,64
CCCCn1cc[n+](C)c1.F[B-](F)(F)F | CCCCn1cc[n+](C)c1.COS(=O)(=O)[O-],126
C1COCCO1 | O=C1CCCCCC1,72
CC(=O)C(C)C,4
CCOC=O | CCCCCC,55
CCn1cc[n+](C)c1.N#C[N-]C#N,14
CCOCCOCCOCC,1
CCC(C)(C)O,1
ClCCCCCl | CCCOC=O,13
CC(=O)C(C)C | O,47
Cc1ccccn1,11
