Mixture,Count
CCCCOCCO,2
C1CCOC1 | CCCCCCCCO,11
CCn1cc[n+](C)c1.O=S(=O)([O-])C(F)(F)F | C[N+](=O)[O-],60
CCCC(=O)OCC | BrCCCCBr,11
CCOCCOCC,3
CCCCC | COC=O,20
ClC(Cl)(Cl)Cl,2
CCCC[N+]1(C)CCCC1.N#C[B-](C#N)(C#N)C#N,1
ClC[C@H]1CO1,1
CCn1cc[n+](C)c1.O=S(=O)([O-])O,7
c1cc[nH]c1,10
OCC(F)(F)F | CCn1cc[n+](C)c1.F[B-](F)(F)F,20
CCOC=O | ClCCCCCCCl,31
CCCOC(=O)CCC,8
C1CCOC1 | CO,9
BrCCCCCCBr | CCCCOC(=O)CCC,16
CCCc1ccccc1,1
C1CCOCC1 | CCCO,9
BrCCCCCBr | CCOC(C)=O,11
CC(=O)CC(C)C | O,46
CCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F | CCCO,90
COC(C)=O | CC(C)CC(C)(C)C,20
CCCCn1cc[n+](C)c1.F[B-](F)(F)F | CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,108
CCCCOC(C)=O | ClCCCCCCCl,15
CCC(=O)OC | BrCCBr,15
CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F | CO,29
ClCCCCCCCl | CCCOC(=O)CCC,13
ClC(Cl)C(Cl)Cl,2
CCCC(=O)OC | CCCCCCC,16
OCC(F)(F)F | CCCO,17
ClC(Cl)Cl | COC(C)(C)C,12
BrCCCBr | CCCCOC(C)=O,15
CCCOC=O,40
CCOC(C)=O | CCCCC,33
ClCCCl | CCCOC=O,15
CCCCCl,2
CCN(CC)CCCN,1
COC(C)=O | CCCC(=O)OC,19
BrCCBr | CCOC(=O)CC,13
CCO,68
C[C@@H](N)c1ccccc1,1
CCn1cc[n+](C)c1.F[B-](F)(F)F | CN1CCCC1=O,72
CCn1cc[n+](C)c1.F[B-](F)(F)F | CS(C)=O,72
CCCCOC(=O)CC | ClCCCCl,11
CCCCCCCCCCC,1
CCCCC,18
ClC=C(Cl)Cl,2
CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F | CCO,28
CCCCOC(C)=O | ClCCCl,16
CCC(=O)CC,4
OCCOCCOCCOCCO | OCc1ccccc1,12
CCn1cc[n+](C)c1.N#C[N-]C#N | O,94
CCCCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,14
CCCCCOC(C)=O,1
CCn1cc[n+](C)c1.F[B-](F)(F)F,53
CC(=O)C(C)=O,7
CCCC(=O)OC | BrCCCBr,16
BrCCCBr | CCOC=O,14
C[n+]1ccn(CCO)c1.O=C([O-])C(F)(F)F,7
CC(C)=O,8
ClCCCl | CCCOC(=O)CC,16
CCCC(=O)OCC | BrCCCBr,12
Cc1ccccc1C,3
C[C@H](N)c1ccccc1,1
Cn1ccnc1 | O,67
O=CO,1
CCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,18
C[C@@H](O)c1ccccc1,1
C1CCNCC1,15
COC(C)=O | BrCCCCBr,14
CCCOC(C)=O,39
CCOC(C)=O | ClCCCCl,16
Cn1ccnc1,31
ClCCCCCl,3
CS(C)=O,16
CCC(=O)CC | O,48
CCCCCCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,11
CCCCOC=O | ClCCCCCCCl,27
Cc1cccnc1 | O,12
CCCOC(C)=O | CCCCCC,66
CCOC(C)(C)C,3
CCn1cc[n+](C)c1.F[B-](F)(F)F | CC(C)=O,72
CCCCOCC(C)C,8
OCCOCCO,4
c1ccncc1 | NCCO,36
C1CCOCC1 | Cc1ccncc1,54
CCCCn1cc[n+](C)c1.COS(=O)(=O)[O-] | CCO,122
CN1CCCCC1 | O,18
CCCCCC(C)=O,3
CCC(C)=O,7
ClCCCl | CCCOC(=O)CCC,16
CCC(=O)OC | BrCCCCCCBr,16
