,0
0,CCCCCCCC
1,CC(=O)CC(C)C
2,CCCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
3,O=C1CCCCCC1
4,C1COCCO1
5,CN(C)C=O
6,CCCCOC(=O)CC
7,c1cc[nH]c1
8,CCOC(C)(C)CC
9,CC(=O)C(C)=O
10,Cc1cccc(C)n1
11,OCCOCCO
12,COC(F)(F)C(F)(F)C(F)(F)C(F)(F)F
13,O=C1CCCC1
14,OCCO
15,CCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
16,CCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
17,COCCOCCOC
18,BrCCCCCCBr
19,ClCCCl
20,Cc1ccccc1N
21,O
22,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F
23,CCn1cc[n+](C)c1.F[B-](F)(F)F
24,BrCCCCBr
25,CCCC(=O)OCC
26,CCCCCCCCCCCCCC
27,CCCCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
28,CC(C)OC(C)C
29,COP(=O)([O-])OC.Cn1cc[n+](C)c1
30,C1CCOC1
31,CCCOC(C)=O
32,CCC(=O)CC
33,CCCCC(=O)OCC
34,Cc1ccccc1
35,Cc1ccccn1
36,CCCOC(=O)CC
37,CCCCCCCCCO
38,BrCCCBr
39,CCCC[N+]1(C)CCCC1.N#C[N-]C#N
40,C=C(C)[C@H]1CC=C(C)CC1
41,CCCCCCCCCC
42,O=C1CCCCC1
43,CC(C)CC(C)(C)C
44,CCCOC(=O)CCC
45,CCCCCCCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
46,CCCC(=O)OC
47,CCCCn1cc[n+](C)c1.N#C[N-]C#N
48,OCc1ccccc1
49,OCCc1ccccc1
50,CCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
51,CCCCn1cc[n+](C)c1C.F[B-](F)(F)F
52,OCCOCCOCCO
53,CCCCOC=O
54,CCn1cc[n+](C)c1.N#C[S-]
55,CC/C=C\CCO
56,CCCCCOC=O
57,ClCCCCCCl
58,CCCCC(=O)OC
59,COc1ccccc1
60,CCCCOC(=O)CCC
61,CN1CCOCC1
62,CC(C)=O
63,CCOC=O
64,CCCCCCCCC
65,Cc1ccccc1Cl
66,CCCCC
67,Cc1cccnc1
68,CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F
69,CCCCCCCCO
70,CCCCCC(C)=O
71,CCCC[N+]1(C)CCCCC1.N#C[N-]C#N
72,CCOC(C)=O
73,c1ccncc1
74,CCCOC=O
75,CCCCOCCO
76,CCOS(=O)(=O)[O-].CCn1cc[n+](C)c1
77,CN1CCCCC1
78,COC=O
79,ClC(Cl)Cl
80,CCOC(=O)OCC
81,CCCCCCCCCCO
82,BrCCCCCBr
83,COCCOCCO
84,C1CCOCC1
85,CO
86,CCCCCCC
87,CCn1cc[n+](C)c1.N#CC(=C=[N-])C#N
88,Cc1ccncc1
89,CCOC(C)(C)C
90,COCCO
91,CC#N
92,CS(C)=O
93,CC(C)O
94,CCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
95,OCCOCCOCCOCCO
96,COC(=O)OC
97,CCCCCCCCCCCCCCCC
98,C1COCO1
99,ClCCCCCl
100,ClCCCCCCCl
101,CCO
102,CCn1cc[n+](C)c1.O=S(=O)([O-])C(F)(F)F
103,CC(=O)C(C)C
104,CCCCCCn1cc[n+](C)c1.F[B-](F)(F)F
105,CCOCCO
106,CN(CCO)CCO
107,COC(C)=O
108,OCC(F)(F)F
109,CCn1cc[n+](C)c1.N#C[N-]C#N
110,OCCCc1ccccc1
111,Cn1ccnc1
112,CCCCCC
113,COC(C)(C)C
114,CCCCn1cc[n+](C)c1.COS(=O)(=O)[O-]
115,C[N+](=O)[O-]
116,CCCCCCCCCC(=O)OC
117,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F
118,CCOC(=O)C(C)C
119,CCCCn1cc[n+](C)c1.F[B-](F)(F)F
120,CC1(C)C(=O)[C@]2(C)CC[C@H]1C2
121,CCC(C)=O
122,CCC#N
123,ClCCCCl
124,CCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
125,CCC(=O)OC
126,NCCO
127,CCCCCCCCCCCC
128,BrCCBr
129,CCOc1ccccc1
130,CCCCC(C)=O
131,CCCO
132,CN1CCCC1=O
133,CCCC(C)=O
134,CCCCOC(C)=O
135,CCOC(=O)CC
136,CCCCn1cc[n+](C)c1.O=S(=O)([O-])C(F)(F)F
137,CCCCCO
138,CCCCO
139,OC1=NCCC1
140,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
