,0
0,C1COCCO1
1,CCCC(C)=O
2,CC(=O)CC(C)C
3,OCCOCCOCCO
4,OCc1ccccc1
5,C[N+](=O)[O-]
6,CCC(=O)OC
7,Cc1cccnc1
8,Cc1ccccc1Cl
9,CCCCCCCCCO
10,ClC(Cl)Cl
11,OCCCc1ccccc1
12,COC(=O)OC
13,CCCCCCCCCC
14,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F
15,BrCCBr
16,COc1ccccc1
17,CCCCO
18,CN1CCCC1=O
19,CCOC(C)(C)C
20,CCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
21,COC(C)=O
22,CC/C=C\CCO
23,c1ccncc1
24,CCCCCO
25,CCCCn1cc[n+](C)c1.COS(=O)(=O)[O-]
26,OCC(F)(F)F
27,CCCCCCn1cc[n+](C)c1.F[B-](F)(F)F
28,COP(=O)([O-])OC.Cn1cc[n+](C)c1
29,CCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
30,CCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
31,ClCCCCl
32,CCCCOC(C)=O
33,CCCCn1cc[n+](C)c1.F[B-](F)(F)F
34,CCn1cc[n+](C)c1.O=S(=O)([O-])C(F)(F)F
35,CCCCCCCC
36,CC(C)OC(C)C
37,CN1CCCCC1
38,CCCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
39,CCn1cc[n+](C)c1.F[B-](F)(F)F
40,CCCC(=O)OC
41,Cn1ccnc1
42,CC(C)O
43,CCOC(C)(C)CC
44,CCOC(=O)OCC
45,CCCCC(=O)OCC
46,CN(C)C=O
47,OCCOCCO
48,CCOS(=O)(=O)[O-].CCn1cc[n+](C)c1
49,CCOCCO
50,COCCOCCOC
51,CCCCOC=O
52,CCCCCCCCCCCC
53,OCCO
54,CCCCOC(=O)CC
55,CO
56,CCOC(=O)C(C)C
57,BrCCCCBr
58,C1CCOC1
59,CN(CCO)CCO
60,Cc1ccccc1N
61,CN1CCOCC1
62,CCCCCCCCCC(=O)OC
63,Cc1cccc(C)n1
64,CCO
65,CCOC(C)=O
66,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F
67,CCOc1ccccc1
68,CCC(=O)CC
69,CCCC[N+]1(C)CCCCC1.N#C[N-]C#N
70,CCCCCCCCC
71,CCCCC
72,OC1=NCCC1
73,CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F
74,O=C1CCCC1
75,CCCCn1cc[n+](C)c1.O=S(=O)([O-])C(F)(F)F
76,CC(=O)C(C)C
77,Cc1ccccc1
78,CCOC(=O)CC
79,CCCCC(C)=O
80,CCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
81,CCCCCCC
82,CCCCn1cc[n+](C)c1.N#C[N-]C#N
83,BrCCCBr
84,Cc1ccncc1
85,CCC#N
86,OCCc1ccccc1
87,CC(C)CC(C)(C)C
88,Cc1ccccn1
89,CCCC[N+]1(C)CCCC1.N#C[N-]C#N
90,CS(C)=O
91,CCn1cc[n+](C)c1.N#C[S-]
92,CCn1cc[n+](C)c1.N#C[N-]C#N
93,CCCOC=O
94,BrCCCCCBr
95,OCCOCCOCCOCCO
96,CCCCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
97,CCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
98,COCCOCCO
99,C1COCO1
100,CC(C)=O
101,CCCCn1cc[n+](C)c1C.F[B-](F)(F)F
102,C1CCOCC1
103,CCCOC(C)=O
104,CC1(C)C(=O)[C@]2(C)CC[C@H]1C2
105,CCC(C)=O
106,ClCCCCCCl
107,c1cc[nH]c1
108,CCCCCCCCCCCCCC
109,CCCOC(=O)CC
110,CCCCCC
111,CCCOC(=O)CCC
112,ClCCCl
113,CCOC=O
114,CCCCCCCCO
115,CCCCCOC=O
116,COC=O
117,ClCCCCCl
118,O
119,CCCO
120,CCCCC(=O)OC
121,COC(F)(F)C(F)(F)C(F)(F)C(F)(F)F
122,O=C1CCCCC1
123,BrCCCCCCBr
124,CCCCOC(=O)CCC
125,CCCCCC(C)=O
126,COC(C)(C)C
127,O=C1CCCCCC1
128,CC(=O)C(C)=O
129,CCn1cc[n+](C)c1.N#CC(=C=[N-])C#N
130,NCCO
131,CCCCCCCCCCCCCCCC
132,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
133,COCCO
134,C=C(C)[C@H]1CC=C(C)CC1
135,CC#N
136,CCCCCCCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
137,CCCC(=O)OCC
138,CCCCCCCCCCO
139,ClCCCCCCCl
140,CCCCOCCO
