Mixture,Count
CCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F | CN(C)C=O,118
ClCCCCl | CCCOC(C)=O,28
COC=O | CCCCCCCC,74
CCCC(=O)OCC | BrCCCBr,29
CCn1cc[n+](C)c1.N#CC(=C=[N-])C#N | O,59
CCO | CC1(C)C(=O)[C@]2(C)CC[C@H]1C2,88
OCCOCCOCCO | OCc1ccccc1,29
CCOC=O | ClCCCl,47
COc1ccccc1 | OCCc1ccccc1,29
CCCCn1cc[n+](C)c1.COS(=O)(=O)[O-] | C[N+](=O)[O-],123
CCCOC=O | CCCCCC,85
CCOC=O | CCCCCCCCC,111
CCCCCCCCCC(=O)OC | CCCCCCCCCCCCCCCC,38
CCn1cc[n+](C)c1.O=S(=O)([O-])C(F)(F)F | CCO,67
COC(=O)OC | CCCCCCC,80
C1CCOCC1 | O=C1CCCCCC1,72
CCCCC(=O)OCC | BrCCBr,29
COC=O | ClCCCCl,32
CCCC[n+]1cccc(C)c1.F[B-](F)(F)F | O,76
CCC(=O)OC | CCCCCCC,34
CCn1cc[n+](C)c1.F[B-](F)(F)F | OC1=NCCC1,90
BrCCCCBr | CCCCOC(C)=O,28
OCCOCCO | OCc1ccccc1,29
BrCCCCCCBr | CCOC(=O)CC,30
CS(C)=O | OCCCc1ccccc1,29
COC=O | ClCCCCCCCl,30
CC(C)OC(C)C | CC(C)CC(C)(C)C,30
C1CCOC1 | OCC(F)(F)F,62
CCCC(=O)OCC | BrCCCCCBr,30
COC(C)=O | CCCCCCC,34
CCCC[N+]1(C)CCCC1.N#C[N-]C#N | O,223
CCC(=O)OC | BrCCCBr,33
CCCCCCCCCC(=O)OC | CCCCCCCCCCCC,38
CCCCCCCCCC | CCCOC=O,97
COC=O | ClCCCCCl,29
Cc1ccccc1N | Cc1ccncc1,72
Cn1ccnc1 | CC(C)O,67
CCCCOC=O | CCCCCC,89
CCCOC(C)=O | CCCCCCCCCC,108
Cc1ccccc1N | Cc1cccnc1,71
C1CCOCC1 | CCCCCC(C)=O,35
CC(C)OC(C)C | CCO,30
CCCCOC=O | BrCCCCCCBr,25
CCCCCO | CC(C)CC(C)(C)C,64
C1CCOCC1 | O=C1CCCC1,43
C1COCCO1 | CCCC(C)=O,34
BrCCCBr | CCCCOC(C)=O,27
CCCCC | CCCCOC=O,59
C1CCOCC1 | CCCCCCCCCCO,18
COC(C)=O | BrCCCBr,33
CCCCn1cc[n+](C)c1.F[B-](F)(F)F | CCn1cc[n+](C)c1.F[B-](F)(F)F,90
CCCCOC=O | BrCCBr,28
ClCCCCCCCl | CCCOC=O,26
CN1CCCCC1 | CO,24
CCC(=O)OC | BrCCCCBr,33
CCCCCOC=O | ClCCCCCCl,28
CCCC[N+]1(C)CCCCC1.N#C[N-]C#N | O,116
ClCCCl | CCCOC=O,27
O | CCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,94
CCCOC=O | CCCCCCCC,108
C1CCOCC1 | Cc1cccnc1,72
COC(C)=O | CCCC(=O)OC,35
CCC(=O)OC | BrCCCCCBr,31
CCCCC(=O)OCC | ClCCCCl,31
COC(C)=O | BrCCCCBr,30
BrCCCCCCBr | CCOC=O,27
Cc1ccccc1N | Cc1ccccn1,72
CCOS(=O)(=O)[O-].CCn1cc[n+](C)c1 | CCO,94
COc1ccccc1 | OCCCc1ccccc1,29
CCn1cc[n+](C)c1.F[B-](F)(F)F | Cc1cccnc1,90
CCCOC(C)=O | CCCCCCC,96
CN1CCOCC1 | CO,22
CO | CCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,22
CCCCCOC=O | ClCCCl,31
C1COCCO1 | O=C1CCCCC1,106
CCCOC=O | ClCCCCl,31
COC(C)=O | BrCCCCCBr,29
BrCCCCCCBr | CCCCOC(=O)CC,28
C1CCOCC1 | OCC(F)(F)F,60
CCCCCCCCCC | CCOC=O,95
COC(F)(F)C(F)(F)C(F)(F)C(F)(F)F | COCCOCCO,31
C1CCOCC1 | c1ccncc1,72
Cn1ccnc1 | CO,75
CCCCCCn1cc[n+](C)c1.F[B-](F)(F)F | CCn1cc[n+](C)c1.F[B-](F)(F)F,128
CCCCCCCCCC | CCCCOC=O,90
CCCCCCn1cc[n+](C)c1.F[B-](F)(F)F | CCO,69
CCCOC=O | ClCCCCCCCl,29
CCCCOC=O | CCCCCCCC,106
ClCCCCCCCl | CCCOC(=O)CC,25
CCOc1ccccc1 | OCCc1ccccc1,30
COC(C)=O | BrCCCCCCBr,29
CCn1cc[n+](C)c1.N#C[S-] | O,150
CCCCCCCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F | CO,129
ClCCCCCl | CCCOC(=O)CCC,23
ClCCCl | CCCOC(=O)CC,29
CCCCC(=O)OC | BrCCCBr,28
CCn1cc[n+](C)c1.F[B-](F)(F)F | c1ccncc1,90
COC=O | CCCCCCCCCC,48
CS(C)=O | OCc1ccccc1,29
CCOC=O | CCCCCCCC,107
CCn1cc[n+](C)c1.F[B-](F)(F)F | CS(C)=O,90
CCCCC | CCCOC=O,66
CCCCOC=O | ClCCCCl,60
C1COCO1 | CCCC(C)=O,35
CCOC(=O)C(C)C | CCCCO,44
O | CCCOC(C)=O,104
O | CC/C=C\CCO,67
CO | CCCCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,30
CCOC(C)=O | CCCCC(=O)OCC,31
BrCCCBr | CCCCOC(=O)CCC,25
CCOC(=O)C(C)C | CCCO,44
CCCCn1cc[n+](C)c1C.F[B-](F)(F)F | CCn1cc[n+](C)c1.F[B-](F)(F)F,90
Cn1ccnc1 | CCO,66
ClCCCCCCl | CCCOC(=O)CCC,26
C1CCOCC1 | CCCCO,73
CCCCOC=O | ClCCCCCCCl,59
CCCCCC | Cc1ccccc1,33
COC=O | ClCCCCCCl,31
O | CCCC(=O)OC,88
CCCCn1cc[n+](C)c1.N#C[N-]C#N | O,48
ClCCCCl | CCCOC=O,27
O | CCn1cc[n+](C)c1.O=S(=O)([O-])C(F)(F)F,99
O | COP(=O)([O-])OC.Cn1cc[n+](C)c1,29
CCCCn1cc[n+](C)c1.F[B-](F)(F)F | CCCCn1cc[n+](C)c1.COS(=O)(=O)[O-],135
BrCCCCBr | CCOC(C)=O,30
CCOC(=O)C(C)C | CO,44
CCOC=O | ClCCCCl,48
Cc1cccnc1 | CO,20
CCCOC(C)=O | CCCCC,47
CCCCC(=O)OC | BrCCCCCBr,28
CCOC(C)=O | CCCCCCC,105
CCCCOC=O | ClCCCCCl,61
BrCCCCCCBr | CCCCOC(=O)CCC,29
CCOS(=O)(=O)[O-].CCn1cc[n+](C)c1 | O,17
CCCCn1cc[n+](C)c1.COS(=O)(=O)[O-] | CCO,133
C1CCOCC1 | CCCCCO,20
CCCC(=O)OCC | BrCCCCBr,28
COC=O | CCCCCCC,108
