Id,Temperature (K),Pressure (kPa),Phase,N Components,Component 1,Role 1,Mole Fraction 1,Exact Amount 1,Component 2,Role 2,Mole Fraction 2,Exact Amount 2,EnthalpyOfMixing Value (kJ / mol),EnthalpyOfMixing Uncertainty (kJ / mol),Density Value (g / ml),Density Uncertainty (g / ml),Source
42f11d188ddd4c2b90ae7f23ecb95b0f,318.15,101.3,Liquid,2,COC(C)=O,Solvent,0.0778,,CCCCCCC,Solvent,0.9222,,0.571,0.00525,,,10.1016/j.jct.2003.11.008
59f1d2826ca2481a9ac1443898d15e57,318.15,101.3,Liquid,2,COC(C)=O,Solvent,0.1534,,CCCCCCC,Solvent,0.8466,,1.0183,0.0087,,,10.1016/j.jct.2003.11.008
88ff1552aad946bc8f318464439a9aeb,318.15,101.3,Liquid,2,COC(C)=O,Solvent,0.2251,,CCCCCCC,Solvent,0.7749,,1.3854,0.0115,,,10.1016/j.jct.2003.11.008
a8b93bfd0b734f209872bd9e7b53d1ac,318.15,101.3,Liquid,2,COC(C)=O,Solvent,0.2785,,CCCCCCC,Solvent,0.7215,,1.5803,0.013,,,10.1016/j.jct.2003.11.008
5a76d15fc26a45f0b393da4e59d5d0d6,318.15,101.3,Liquid,2,COC(C)=O,Solvent,0.3445,,CCCCCCC,Solvent,0.6555,,1.7825,0.0146,,,10.1016/j.jct.2003.11.008
e1044d3f71484176a2fca96cae57a0ff,318.15,101.3,Liquid,2,COC(C)=O,Solvent,0.4038,,CCCCCCC,Solvent,0.5962000000000001,,1.8877,0.0154,,,10.1016/j.jct.2003.11.008
c0ea36fd24a0479e9b24561364d0c7eb,318.15,101.3,Liquid,2,COC(C)=O,Solvent,0.4555,,CCCCCCC,Solvent,0.5445,,1.9308,0.01575,,,10.1016/j.jct.2003.11.008
edef53d9304f4c328f536a4e6faa761c,318.15,101.3,Liquid,2,COC(C)=O,Solvent,0.5034,,CCCCCCC,Solvent,0.4966,,1.9471,0.01585,,,10.1016/j.jct.2003.11.008
7a13a0c705a74d538e8c973c68270de3,318.15,101.3,Liquid,2,COC(C)=O,Solvent,0.5451,,CCCCCCC,Solvent,0.4548999999999999,,1.93,0.0157,,,10.1016/j.jct.2003.11.008
f4836642f567476ab5a7ed35691bc435,318.15,101.3,Liquid,2,COC(C)=O,Solvent,0.5759,,CCCCCCC,Solvent,0.4241,,1.9068,0.01555,,,10.1016/j.jct.2003.11.008
c3057cc5790a438f866b2770345b7518,318.15,101.3,Liquid,2,COC(C)=O,Solvent,0.6498,,CCCCCCC,Solvent,0.3501999999999999,,1.7917,0.01465,,,10.1016/j.jct.2003.11.008
1d11c55b44d943868c4999b09c9b5896,318.15,101.3,Liquid,2,COC(C)=O,Solvent,0.6832,,CCCCCCC,Solvent,0.3167999999999999,,1.7414,0.01425,,,10.1016/j.jct.2003.11.008
6757dac136284c638730cc12cd4d9ebc,318.15,101.3,Liquid,2,COC(C)=O,Solvent,0.7322,,CCCCCCC,Solvent,0.2678,,1.6269,0.0134,,,10.1016/j.jct.2003.11.008
428fac9ee43049e2a83b80cc536df104,318.15,101.3,Liquid,2,COC(C)=O,Solvent,0.7698,,CCCCCCC,Solvent,0.2301999999999999,,1.4883,0.0123,,,10.1016/j.jct.2003.11.008
c0178ac7e3994ed5aea0fd3f07080dfa,318.15,101.3,Liquid,2,COC(C)=O,Solvent,0.8184,,CCCCCCC,Solvent,0.1815999999999999,,1.3079,0.0109,,,10.1016/j.jct.2003.11.008
3bcf0a09129342ee921d68c270ae9719,318.15,101.3,Liquid,2,COC(C)=O,Solvent,0.873,,CCCCCCC,Solvent,0.127,,1.0458,0.0089,,,10.1016/j.jct.2003.11.008
b6c812e129844713969202026e6a0402,318.15,101.3,Liquid,2,COC(C)=O,Solvent,0.9036,,CCCCCCC,Solvent,0.0964,,0.7904,0.00695,,,10.1016/j.jct.2003.11.008
a59f2c9422df4766be0ecbf7f658ec54,318.15,101.3,Liquid,2,COC(C)=O,Solvent,0.9534,,CCCCCCC,Solvent,0.0465999999999999,,0.45,0.0043,,,10.1016/j.jct.2003.11.008
93b202572a4b4abfb7c2e6abf654ef86,318.15,101.3,Liquid,2,CCOC(C)=O,Solvent,0.0803,,CCCCCCC,Solvent,0.9197,,0.4712,0.00445,,,10.1016/j.jct.2003.11.008
5b57e2dd01a340178fa8427593863bbe,318.15,101.3,Liquid,2,CCOC(C)=O,Solvent,0.1683,,CCCCCCC,Solvent,0.8317,,0.8381,0.0073,,,10.1016/j.jct.2003.11.008
b1e48342f3d14f7180416c19b33b002b,318.15,101.3,Liquid,2,CCOC(C)=O,Solvent,0.2488,,CCCCCCC,Solvent,0.7512,,1.1309,0.00955,,,10.1016/j.jct.2003.11.008
276075b958e54e32a62d418c9cfbcc6a,318.15,101.3,Liquid,2,CCOC(C)=O,Solvent,0.323,,CCCCCCC,Solvent,0.677,,1.3256,0.01105,,,10.1016/j.jct.2003.11.008
75acccf9b20e45489d5e608b1211a104,318.15,101.3,Liquid,2,CCOC(C)=O,Solvent,0.395,,CCCCCCC,Solvent,0.605,,1.4465,0.012,,,10.1016/j.jct.2003.11.008
ce9f47372c67437399221d52d3f98565,318.15,101.3,Liquid,2,CCOC(C)=O,Solvent,0.4614,,CCCCCCC,Solvent,0.5386,,1.5007,0.0124,,,10.1016/j.jct.2003.11.008
826e01b3bcc44188bbdaf396dc19f91d,318.15,101.3,Liquid,2,CCOC(C)=O,Solvent,0.5037,,CCCCCCC,Solvent,0.4962999999999999,,1.5121,0.0125,,,10.1016/j.jct.2003.11.008
af91c277f70c48318cb4b62893adb3b2,318.15,101.3,Liquid,2,CCOC(C)=O,Solvent,0.546,,CCCCCCC,Solvent,0.4539999999999999,,1.519,0.01255,,,10.1016/j.jct.2003.11.008
ad156ffc2dc04d48a6de8987fd5529c4,318.15,101.3,Liquid,2,CCOC(C)=O,Solvent,0.5784,,CCCCCCC,Solvent,0.4216,,1.4947,0.01235,,,10.1016/j.jct.2003.11.008
2f33073f66454adfa4bdc35c708e42e1,318.15,101.3,Liquid,2,CCOC(C)=O,Solvent,0.5813,,CCCCCCC,Solvent,0.4186999999999999,,1.492,0.01235,,,10.1016/j.jct.2003.11.008
6fe23b81b98f40f0a3562d81b009262f,318.15,101.3,Liquid,2,CCOC(C)=O,Solvent,0.6222,,CCCCCCC,Solvent,0.3778,,1.4277,0.01185,,,10.1016/j.jct.2003.11.008
98aca39d5d174c8b93e68f3ddc614a75,318.15,101.3,Liquid,2,CCOC(C)=O,Solvent,0.6647,,CCCCCCC,Solvent,0.3353,,1.348,0.0112,,,10.1016/j.jct.2003.11.008
0a976e9092f94e07838e84af6a9eba77,318.15,101.3,Liquid,2,CCOC(C)=O,Solvent,0.7146,,CCCCCCC,Solvent,0.2854,,1.2398,0.0104,,,10.1016/j.jct.2003.11.008
bca4c456c6c3487eaf086601182f2b43,318.15,101.3,Liquid,2,CCOC(C)=O,Solvent,0.7646,,CCCCCCC,Solvent,0.2354,,1.088,0.0092,,,10.1016/j.jct.2003.11.008
2a4b042745f345ab81e5cfadd06af576,318.15,101.3,Liquid,2,CCOC(C)=O,Solvent,0.8157,,CCCCCCC,Solvent,0.1843,,0.907,0.0078,,,10.1016/j.jct.2003.11.008
b416f36cf2534525853da504564e4b49,318.15,101.3,Liquid,2,CCOC(C)=O,Solvent,0.8649,,CCCCCCC,Solvent,0.1351,,0.7106,0.0063,,,10.1016/j.jct.2003.11.008
cda4c86c044d4581b51cb8c68b32b904,318.15,101.3,Liquid,2,CCOC(C)=O,Solvent,0.9129,,CCCCCCC,Solvent,0.0870999999999999,,0.482,0.00455,,,10.1016/j.jct.2003.11.008
5108bc91ba004d3f9aa9b72f78ba990f,318.15,101.3,Liquid,2,CCOC(C)=O,Solvent,0.9591,,CCCCCCC,Solvent,0.0409,,0.2492,0.00275,,,10.1016/j.jct.2003.11.008
084deaba2879466a9101345c6ddc899c,318.15,101.3,Liquid,2,CCOC(C)=O,Solvent,0.0596,,CCCCCCCCC,Solvent,0.9404,,0.3637,0.00365,,,10.1016/j.jct.2003.11.008
b43985cabdaa45a4b9bcf82ba4b29482,318.15,101.3,Liquid,2,CCOC(C)=O,Solvent,0.131,,CCCCCCCCC,Solvent,0.869,,0.7182,0.00635,,,10.1016/j.jct.2003.11.008
e76e2d5cbb5749b38cb2f51b7f648890,318.15,101.3,Liquid,2,CCOC(C)=O,Solvent,0.2117,,CCCCCCCCC,Solvent,0.7883,,1.0579,0.009,,,10.1016/j.jct.2003.11.008
055a39e10d1346f4b143ce80998603fa,318.15,101.3,Liquid,2,CCOC(C)=O,Solvent,0.295,,CCCCCCCCC,Solvent,0.7050000000000001,,1.3229,0.01105,,,10.1016/j.jct.2003.11.008
fd45d1669f0a4386a89b4b17b7f64aaf,318.15,101.3,Liquid,2,CCOC(C)=O,Solvent,0.3664,,CCCCCCCCC,Solvent,0.6335999999999999,,1.5128,0.0125,,,10.1016/j.jct.2003.11.008
cecbe3da87624df09ca2030dc5fc0a63,318.15,101.3,Liquid,2,CCOC(C)=O,Solvent,0.436,,CCCCCCCCC,Solvent,0.5640000000000001,,1.6493,0.01355,,,10.1016/j.jct.2003.11.008
e9a56817efa54367a1751de0597efeaa,318.15,101.3,Liquid,2,CCOC(C)=O,Solvent,0.4899,,CCCCCCCCC,Solvent,0.5101,,1.6992,0.01395,,,10.1016/j.jct.2003.11.008
10493a68ffe54318a147f16b67d3034e,318.15,101.3,Liquid,2,CCOC(C)=O,Solvent,0.5447,,CCCCCCCCC,Solvent,0.4553,,1.7064,0.014,,,10.1016/j.jct.2003.11.008
8a86178bbcdb4f35973ab1dd0f31f344,318.15,101.3,Liquid,2,CCOC(C)=O,Solvent,0.5881,,CCCCCCCCC,Solvent,0.4119,,1.6688,0.0137,,,10.1016/j.jct.2003.11.008
268ac0b1aead44ee833a04dd5324dc6c,318.15,101.3,Liquid,2,CCOC(C)=O,Solvent,0.6166,,CCCCCCCCC,Solvent,0.3833999999999999,,1.6349,0.01345,,,10.1016/j.jct.2003.11.008
a05b573326d04bb7a8350b822c010f1b,318.15,101.3,Liquid,2,CCOC(C)=O,Solvent,0.629,,CCCCCCCCC,Solvent,0.371,,1.6044,0.0132,,,10.1016/j.jct.2003.11.008
d4de17df8c7c4ed58e0dc7a0c3ee361f,318.15,101.3,Liquid,2,CCOC(C)=O,Solvent,0.6629,,CCCCCCCCC,Solvent,0.3370999999999999,,1.5591,0.01285,,,10.1016/j.jct.2003.11.008
11eb0ef09a1c4d9c8d34918b248c0719,318.15,101.3,Liquid,2,CCOC(C)=O,Solvent,0.7061,,CCCCCCCCC,Solvent,0.2939,,1.4529,0.01205,,,10.1016/j.jct.2003.11.008
dff108531e6f40e99e41140688e45fd7,318.15,101.3,Liquid,2,CCOC(C)=O,Solvent,0.752,,CCCCCCCCC,Solvent,0.248,,1.3387,0.01115,,,10.1016/j.jct.2003.11.008
aed32652f2b24a128e9490a458e9aa50,318.15,101.3,Liquid,2,CCOC(C)=O,Solvent,0.7991,,CCCCCCCCC,Solvent,0.2008999999999999,,1.1608,0.00975,,,10.1016/j.jct.2003.11.008
7f66e50536394967bdde4f593574e54f,318.15,101.3,Liquid,2,CCOC(C)=O,Solvent,0.8421,,CCCCCCCCC,Solvent,0.1579,,0.9837,0.0084,,,10.1016/j.jct.2003.11.008
c39ce6c7e2004d3cacc290efaaaf2e81,318.15,101.3,Liquid,2,CCOC(C)=O,Solvent,0.8875,,CCCCCCCCC,Solvent,0.1125,,0.742,0.00655,,,10.1016/j.jct.2003.11.008
d469f00b04484ed6aa456b2455f7197f,318.15,101.3,Liquid,2,CCOC(C)=O,Solvent,0.9312,,CCCCCCCCC,Solvent,0.0687999999999999,,0.4925,0.00465,,,10.1016/j.jct.2003.11.008
