Mixture,Temperature,Pressure,Count
COC(C)=O | CCCCCCC,318.15,101.3,34
COC(C)=O | CCCCCCC,298.15,101.325,34
CCOC(C)=O | CCCCCCC,291.15,101.0,105
CCOC(C)=O | CCCCCCC,318.15,101.32,105
CCOC(C)=O | CCCCCCC,291.15,101.32,105
CCOC(C)=O | CCCCCCC,318.15,101.3,105
CCOC(C)=O | CCCCCCC,298.15,101.32,105
CCOC(C)=O | CCCCCCC,328.15,101.32,105
CCOC(C)=O | CCCCCCCCC,291.15,101.0,103
CCOC(C)=O | CCCCCCCCC,318.15,101.32,103
CCOC(C)=O | CCCCCCCCC,291.15,101.32,103
CCOC(C)=O | CCCCCCCCC,318.15,101.3,103
CCOC(C)=O | CCCCCCCCC,298.15,101.32,103
CCOC(C)=O | CCCCCCCCC,328.15,101.32,103
CCCOC(C)=O | CCCCCCC,291.15,101.0,96
CCCOC(C)=O | CCCCCCC,298.15,101.0,96
CCCOC(C)=O | CCCCCCC,328.15,101.0,96
CCCOC(C)=O | CCCCCCC,318.15,101.0,96
CCCOC(C)=O | CCCCCCC,318.15,101.3,96
CCCOC(C)=O | CCCCCCCCC,291.15,101.0,94
CCCOC(C)=O | CCCCCCCCC,298.15,101.0,94
CCCOC(C)=O | CCCCCCCCC,328.15,101.0,94
CCCOC(C)=O | CCCCCCCCC,318.15,101.0,94
CCCOC(C)=O | CCCCCCCCC,318.15,101.3,94
CCC(=O)OC | CCCCCCC,298.15,101.325,34
CCC(=O)OC | CCCCCCC,318.15,101.0,34
COC=O | ClCCCl,298.15,101.0,31
COC=O | ClCCCCl,298.15,101.0,32
COC=O | ClCCCCCl,298.15,101.0,29
COC=O | ClCCCCCCl,298.15,101.0,31
COC=O | ClCCCCCCCl,298.15,101.0,30
CCOC=O | ClCCCl,298.15,101.0,47
CCOC=O | ClCCCl,298.15,101.325,47
CCOC=O | ClCCCCl,298.15,101.0,48
CCOC=O | ClCCCCl,298.15,101.325,48
CCOC=O | ClCCCCCl,298.15,101.0,46
CCOC=O | ClCCCCCl,298.15,101.325,46
CCOC=O | ClCCCCCCl,298.15,101.0,47
CCOC=O | ClCCCCCCl,298.15,101.325,47
CCOC=O | ClCCCCCCCl,298.15,101.0,46
CCOC=O | ClCCCCCCCl,298.15,101.325,46
CCCOC=O | ClCCCl,298.15,101.0,31
CCCOC=O | ClCCCCl,298.15,101.0,31
CCCOC=O | ClCCCCCl,298.15,101.0,31
CCCOC=O | ClCCCCCCl,298.15,101.0,30
CCCOC=O | ClCCCCCCCl,298.15,101.0,29
CCCCOC=O | ClCCCl,298.15,101.0,62
CCCCOC=O | ClCCCCl,298.15,101.0,60
CCCCOC=O | ClCCCCCl,298.15,101.0,61
CCCCOC=O | ClCCCCCCl,298.15,101.0,62
CCCCOC=O | ClCCCCCCCl,298.15,101.0,59
CCCCCOC=O | ClCCCl,298.15,101.0,31
CCCCCOC=O | ClCCCCl,298.15,101.0,28
CCCCCOC=O | ClCCCCCl,298.15,101.0,30
CCCCCOC=O | ClCCCCCCl,298.15,101.0,28
CCCCCOC=O | ClCCCCCCCl,298.15,101.0,28
COC=O | BrCCBr,298.15,101.0,28
COC=O | BrCCCBr,298.15,101.0,27
COC=O | BrCCCCBr,298.15,101.0,27
COC=O | BrCCCCCBr,298.15,101.0,29
COC=O | BrCCCCCCBr,298.15,101.0,29
COC(C)=O | BrCCBr,298.15,101.0,32
COC(C)=O | BrCCCBr,298.15,101.0,33
COC(C)=O | BrCCCCBr,298.15,101.0,30
COC(C)=O | BrCCCCCBr,298.15,101.0,29
COC(C)=O | BrCCCCCCBr,298.15,101.0,29
CCC(=O)OC | BrCCBr,298.15,101.0,32
CCC(=O)OC | BrCCCBr,298.15,101.0,33
CCC(=O)OC | BrCCCCBr,298.15,101.0,33
CCC(=O)OC | BrCCCCCBr,298.15,101.0,31
CCC(=O)OC | BrCCCCCCBr,298.15,101.0,31
CCCC(=O)OC | BrCCBr,298.15,101.0,29
CCCC(=O)OC | BrCCCBr,298.15,101.0,29
CCCC(=O)OC | BrCCCCBr,298.15,101.0,25
CCCC(=O)OC | BrCCCCCBr,298.15,101.0,25
CCCC(=O)OC | BrCCCCCCBr,298.15,101.0,26
CCCCC(=O)OC | BrCCBr,298.15,101.0,28
CCCCC(=O)OC | BrCCCBr,298.15,101.0,28
CCCCC(=O)OC | BrCCCCBr,298.15,101.0,25
CCCCC(=O)OC | BrCCCCCBr,298.15,101.0,28
CCCCC(=O)OC | BrCCCCCCBr,298.15,101.0,26
BrCCBr | CCOC=O,298.15,101.0,33
BrCCCBr | CCOC=O,298.15,101.0,29
BrCCCCBr | CCOC=O,298.15,101.0,32
BrCCCCCBr | CCOC=O,298.15,101.0,28
BrCCCCCCBr | CCOC=O,298.15,101.0,27
BrCCCCCCBr | CCOC(C)=O,298.15,101.0,29
BrCCCCCBr | CCOC(C)=O,298.15,101.0,30
BrCCCCBr | CCOC(C)=O,298.15,101.0,30
BrCCCBr | CCOC(C)=O,298.15,101.0,31
BrCCBr | CCOC(C)=O,298.15,101.0,30
BrCCBr | CCOC(=O)CC,298.15,101.0,31
BrCCCBr | CCOC(=O)CC,298.15,101.0,29
BrCCCCBr | CCOC(=O)CC,298.15,101.0,29
BrCCCCCBr | CCOC(=O)CC,298.15,101.0,30
BrCCCCCCBr | CCOC(=O)CC,298.15,101.0,30
CCCC(=O)OCC | BrCCCCCCBr,298.15,101.0,30
CCCC(=O)OCC | BrCCCCCBr,298.15,101.0,30
CCCC(=O)OCC | BrCCCCBr,298.15,101.0,28
CCCC(=O)OCC | BrCCCBr,298.15,101.0,29
CCCC(=O)OCC | BrCCBr,298.15,101.0,31
CCCCC(=O)OCC | BrCCBr,298.15,101.0,29
CCCCC(=O)OCC | BrCCCBr,298.15,101.0,34
CCCCC(=O)OCC | BrCCCCBr,298.15,101.0,27
CCCCC(=O)OCC | BrCCCCCBr,298.15,101.0,31
CCCCC(=O)OCC | BrCCCCCCBr,298.15,101.0,28
ClCCCl | CCCOC=O,298.15,101.0,27
ClCCCCl | CCCOC=O,298.15,101.0,27
ClCCCCCl | CCCOC=O,298.15,101.0,26
ClCCCCCCl | CCCOC=O,298.15,101.0,26
ClCCCCCCCl | CCCOC=O,298.15,101.0,26
ClCCCl | CCCOC(C)=O,298.15,101.0,29
ClCCCCl | CCCOC(C)=O,298.15,101.0,28
ClCCCCCl | CCCOC(C)=O,298.15,101.0,26
ClCCCCCCl | CCCOC(C)=O,298.15,101.0,27
ClCCCCCCCl | CCCOC(C)=O,298.15,101.0,27
ClCCCl | CCCOC(=O)CC,298.15,101.0,29
ClCCCCl | CCCOC(=O)CC,298.15,101.0,27
ClCCCCCl | CCCOC(=O)CC,298.15,101.0,27
ClCCCCCCl | CCCOC(=O)CC,298.15,101.0,26
ClCCCCCCCl | CCCOC(=O)CC,298.15,101.0,25
ClCCCl | CCCOC(=O)CCC,298.15,101.0,29
ClCCCCl | CCCOC(=O)CCC,298.15,101.0,28
ClCCCCCl | CCCOC(=O)CCC,298.15,101.0,23
ClCCCCCCl | CCCOC(=O)CCC,298.15,101.0,26
ClCCCCCCCl | CCCOC(=O)CCC,298.15,101.0,26
CCCCOC=O | BrCCBr,298.15,101.0,28
CCCCOC=O | BrCCCBr,298.15,101.0,26
CCCCOC=O | BrCCCCBr,298.15,101.0,26
CCCCOC=O | BrCCCCCBr,298.15,101.0,26
CCCCOC=O | BrCCCCCCBr,298.15,101.0,25
BrCCBr | CCCCOC(C)=O,298.15,101.0,29
BrCCCBr | CCCCOC(C)=O,298.15,101.0,27
BrCCCCBr | CCCCOC(C)=O,298.15,101.0,28
BrCCCCCBr | CCCCOC(C)=O,298.15,101.0,27
BrCCCCCCBr | CCCCOC(C)=O,298.15,101.0,29
BrCCBr | CCCCOC(=O)CC,298.15,101.0,27
BrCCCBr | CCCCOC(=O)CC,298.15,101.0,27
BrCCCCBr | CCCCOC(=O)CC,298.15,101.0,27
BrCCCCCBr | CCCCOC(=O)CC,298.15,101.0,29
BrCCCCCCBr | CCCCOC(=O)CC,298.15,101.0,28
BrCCBr | CCCCOC(=O)CCC,298.15,101.0,25
BrCCCBr | CCCCOC(=O)CCC,298.15,101.0,25
BrCCCCBr | CCCCOC(=O)CCC,298.15,101.0,25
BrCCCCCBr | CCCCOC(=O)CCC,298.15,101.0,29
BrCCCCCCBr | CCCCOC(=O)CCC,298.15,101.0,29
CCOC(C)=O | ClCCCl,298.15,101.325,35
CCOC(C)=O | ClCCCCCl,298.15,101.325,34
CCOC(C)=O | ClCCCCCCCl,298.15,101.325,30
CCCC(=O)OCC | ClCCCl,298.15,101.325,33
CCCC(=O)OCC | ClCCCCCl,298.15,101.325,30
CCCC(=O)OCC | ClCCCCl,298.15,101.325,31
CCCC(=O)OCC | ClCCCCCCl,298.15,101.325,32
CCCC(=O)OCC | ClCCCCCCCl,298.15,101.325,31
CCCCC(=O)OCC | ClCCCl,298.15,101.325,32
CCCCC(=O)OCC | ClCCCCl,298.15,101.325,31
CCCCC(=O)OCC | ClCCCCCl,298.15,101.325,33
CCCCC(=O)OCC | ClCCCCCCl,298.15,101.325,32
CCCCC(=O)OCC | ClCCCCCCCl,298.15,101.325,29
COC=O | CCCCCCC,291.15,101.0,108
COC=O | CCCCCCC,298.15,101.0,108
COC=O | CCCCCCC,298.15,101.325,108
COC=O | CCCCCCCC,291.15,101.0,74
COC=O | CCCCCCCC,298.15,101.0,74
COC=O | CCCCCCCCC,291.15,101.0,58
COC=O | CCCCCCCCC,298.15,101.0,58
CCOC=O | CCCCCCC,291.15,101.0,108
CCOC=O | CCCCCCC,308.15,101.0,108
CCOC=O | CCCCCCC,298.15,101.0,108
CCOC=O | CCCCCCC,318.15,101.0,108
