Mixture,Count
CN1CCCCC1 | CO,24
CCn1cc[n+](C)c1.N#C[S-] | O,150
CCOC=O | ClCCCCCCCl,46
CO | CCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,22
CCCCCOC=O | ClCCCCCCCl,28
CCn1cc[n+](C)c1.F[B-](F)(F)F | OC1=NCCC1,90
O | CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,8
C1CCOCC1 | CCCCCCCCCCO,18
C1CCOCC1 | CCCCCO,20
OCCO | OCc1ccccc1,29
CCCOC=O | ClCCCCCCCl,29
CCCCCCn1cc[n+](C)c1.F[B-](F)(F)F | C[N+](=O)[O-],99
C1COCO1 | CCCC(C)=O,35
CCCC(C)=O | O,83
BrCCBr | CCOC(=O)CC,31
COC(=O)OC | CCCCCCCCC,90
CCCCC | CCCOC=O,66
CCCCC(=O)OC | CC(C)CC(C)(C)C,34
C1COCO1 | CCCCCC(C)=O,40
CCCCC(=O)OC | BrCCCCCCBr,26
CN1CCOCC1 | O,24
COC(=O)OC | CCCCCC,80
CCCCOC=O | BrCCCCCCBr,25
COC=O | ClCCCCCl,29
CCn1cc[n+](C)c1.F[B-](F)(F)F | CC(C)=O,90
CCCCC | CCOC=O,65
C1CCOCC1 | O=C1CCCCCC1,72
CCOC(C)(C)C | CC#N,18
CCCCCCn1cc[n+](C)c1.F[B-](F)(F)F | CCO,69
CCC(=O)OC | BrCCCCCBr,31
CCCCn1cc[n+](C)c1.F[B-](F)(F)F | CCn1cc[n+](C)c1.F[B-](F)(F)F,90
O | CCCC(=O)OC,88
CCCC(=O)OC | CCCCCCCC,37
CCCC(=O)OCC | BrCCCCCCBr,30
CCCCCCCCCC(=O)OC | CCCCCCCCCCCCCC,38
CCOC(C)(C)CC | CCC#N,18
CCCCC(=O)OCC | BrCCCBr,34
COc1ccccc1 | OCCCc1ccccc1,29
COC=O | ClCCCCl,32
ClCCCCCCCl | CCCOC(=O)CCC,26
CCCCOC=O | ClCCCl,62
ClCCCCl | CCCOC=O,27
CCn1cc[n+](C)c1.N#CC(=C=[N-])C#N | O,59
C1CCOCC1 | O=C1CCCCC1,107
CCCCC(=O)OC | CO,38
COC=O | ClCCCCCCl,31
ClCCCCCCCl | CCCOC(C)=O,27
CCOC(=O)OCC | CCO,60
CS(C)=O | OCCc1ccccc1,29
Cc1ccccc1Cl | C1COCCO1,72
CCCC(=O)OC | BrCCCCCCBr,26
CCCC(=O)OCC | ClCCCl,33
ClCCCl | CCCOC(=O)CCC,29
CCC(=O)CC | O,96
ClCCCCCl | CCCOC(=O)CCC,23
CCOC(C)=O | ClCCCl,35
COC=O | ClCCCCCCCl,30
CCCC[n+]1cccc(C)c1.F[B-](F)(F)F | CCCO,66
C1CCOCC1 | Cc1ccccn1,72
BrCCCCBr | CCOC=O,32
ClCCCCl | CCCOC(=O)CC,27
CCCCn1cc[n+](C)c1C.F[B-](F)(F)F | CCCCn1cc[n+](C)c1.F[B-](F)(F)F,90
CCOC(C)=O | CCCCCCCCCC,121
C1COCCO1 | CCCCCC(C)=O,34
C1CCOCC1 | Cc1ccncc1,72
CCCCCCCCCC | CCOC=O,95
CO | CCCCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,30
COC=O | BrCCCCCBr,29
O | CCCCn1cc[n+](C)c1.COS(=O)(=O)[O-],81
BrCCCCCBr | CCCCOC(=O)CCC,29
CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F | CO,71
BrCCCBr | CCOC=O,29
COC=O | BrCCCCBr,27
CCn1cc[n+](C)c1.F[B-](F)(F)F | CN1CCCC1=O,90
CS(C)=O | CCCO,104
COC=O | BrCCBr,28
Cn1ccnc1 | CC(C)O,67
CCCCn1cc[n+](C)c1.F[B-](F)(F)F | CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,118
CCOc1ccccc1 | OCCc1ccccc1,30
c1cc[nH]c1 | c1ccncc1,113
COC(F)(F)C(F)(F)C(F)(F)C(F)(F)F | COCCO,45
COc1ccccc1 | OCCc1ccccc1,29
CCCOC=O | CCCCCCC,109
O | CC/C=C\CCO,67
OCC(F)(F)F | CO,42
CCCOC(C)=O | CCCCC,47
CCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F | CN(C)C=O,118
ClCCCCCCl | CCCOC=O,26
CC(C)OC(C)C | CC(C)CC(C)(C)C,30
BrCCCCCBr | CCOC(=O)CC,30
ClCCCCCCl | CCCOC(=O)CCC,26
BrCCBr | CCCCOC(=O)CCC,25
CCC(=O)OC | CCCCCCC,34
C1COCCO1 | O=C1CCCCCC1,90
CCn1cc[n+](C)c1.F[B-](F)(F)F | CS(C)=O,90
CCOS(=O)(=O)[O-].CCn1cc[n+](C)c1 | CCO,94
BrCCCCCBr | CCCCOC(C)=O,27
Cn1ccnc1 | CO,75
CCOC(C)=O | CCCCCCC,105
CCCCC(=O)OCC | ClCCCl,32
C1COCCO1 | O=C1CCCC1,32
CCCOC(C)=O | CCCCCCCC,109
Cc1ccncc1 | CO,20
CCCC[n+]1cccc(C)c1.F[B-](F)(F)F | O,76
CN1CCCCC1 | O,36
CCCCCCCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F | CO,129
CCO | CC1(C)C(=O)[C@]2(C)CC[C@H]1C2,88
COC=O | CCCCCCCCCC,48
CS(C)=O | OCCCc1ccccc1,29
CCCCC(=O)OC | CCCCCCCC,38
Cc1cccnc1 | CO,20
CCCCOC=O | CCCCCCCC,106
CC(C)CC(C)(C)C | CCCCO,19
CCCCn1cc[n+](C)c1.F[B-](F)(F)F | CCCCn1cc[n+](C)c1.COS(=O)(=O)[O-],135
CCCCCCCCCCCC | CCOC(C)=O,32
C1COCCO1 | O=C1CCCCC1,106
COC(C)=O | BrCCCCCBr,29
COP(=O)([O-])OC.Cn1cc[n+](C)c1 | CCO,29
CCCCC(C)=O | O,72
CCCC(=O)OCC | ClCCCCl,31
O | CCCOC(C)=O,104
CCCCn1cc[n+](C)c1.F[B-](F)(F)F | C[N+](=O)[O-],140
CC(=O)C(C)C | O,94
COC(C)=O | BrCCCCBr,30
O | CCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,94
CCOC(C)=O | CCCCC,48
COC(C)=O | BrCCBr,32
CCCOC(C)=O | CCCCCCCCC,94
CCOS(=O)(=O)[O-].CCn1cc[n+](C)c1 | O,17
BrCCBr | CCCCOC(C)=O,29
CCCOC(C)=O | CCCCCC,113
CC(=O)CC(C)C | O,91
CCCCC | CCCCOC=O,59
CCCCOC=O | CCCCCCCCC,108
COC(F)(F)C(F)(F)C(F)(F)C(F)(F)F | CCCCOCCO,37
CCOC(C)=O | CCCCCCCC,122
CCCCCCn1cc[n+](C)c1.F[B-](F)(F)F | CCCCn1cc[n+](C)c1.F[B-](F)(F)F,99
BrCCCCCCBr | CCCCOC(=O)CCC,29
CCCCOC=O | CCCCCC,89
CCCCC | COC=O,37
CCCCn1cc[n+](C)c1.F[B-](F)(F)F | CCO,114
CCCCCCCCCC(=O)OC | CCCCCCCCCCCC,38
C1CCOCC1 | OCC(F)(F)F,60
COC=O | BrCCCBr,27
CCOc1ccccc1 | OCCCc1ccccc1,29
BrCCCCCBr | CCOC(C)=O,30
BrCCCCCBr | CCCCOC(=O)CC,29
CCCCC(=O)OC | BrCCCCBr,25
CCn1cc[n+](C)c1.F[B-](F)(F)F | c1ccncc1,90
CCCCOC=O | BrCCCCBr,26
ClCCCCCCCl | CCCOC=O,26
COC(C)=O | CCCC(=O)OC,35
CCCCOC=O | BrCCBr,28
CCC(=O)OC | BrCCCCCCBr,31
CCOC=O | ClCCCl,47
CCOC(C)=O | CCCCCCCCC,103
CCCCCOC=O | ClCCCl,31
BrCCBr | CCOC=O,33
CCCOC=O | ClCCCl,31
CCCC[n+]1cccc(C)c1.F[B-](F)(F)F | CCCCO,23
CCCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F | CO,129
OCC(F)(F)F | CCCO,42
CN(CCO)CCO | c1ccncc1,343
BrCCCCCCBr | CCOC(=O)CC,30
CCOC(=O)OCC | CCCCCO,61
Cc1cccc(C)n1 | CO,22
CCCC(=O)OCC | BrCCCCBr,28
CCCC(=O)OCC | BrCCBr,31
ClCCCl | CCCOC=O,27
CCCCO | CCC(C)=O,26
BrCCCCCCBr | CCCCOC(C)=O,29
CCOC(C)(C)CC | CC#N,18
ClCCCCCl | CCCOC=O,26
CO | CCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,27
Cc1ccccc1N | Cc1ccccn1,72
CCn1cc[n+](C)c1.F[B-](F)(F)F | Cc1cccnc1,90
BrCCBr | CCOC(C)=O,30
BrCCBr | CCCCOC(=O)CC,27
CCCC(=O)OC | BrCCCCCBr,25
COC(=O)OC | CCCCCCCCCC,79
C1COCCO1 | CCCC(C)=O,34
Cc1ccccc1N | Cc1ccncc1,72
