,0
0,O=CO
1,CCCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
2,O=C1CCCCCC1
3,CCCCCCO
4,CN(C)C=O
5,CN(C)CCN(C)CCN(C)C
6,CCCCOC(=O)CC
7,C=C(C)CC(C)(C)C
8,OCCN(CCO)CCO
9,CCOC(C)(C)CC
10,C=C(C)C=O
11,CCCCCC[n+]1ccc2ccccc2c1.N#C[S-]
12,COC(F)(F)C(F)(F)C(F)(F)C(F)(F)F
13,CCOCCOCCO
14,CCCOCCC
15,C[C@H](O)c1ccccc1
16,[Ca+2].[Cl-].[Cl-]
17,[I-].[I-].[I-].[La+3]
18,Cl.N
19,Clc1ccccc1Cl
20,CC(C)CO
21,CC(=O)OCCO
22,CCCCCCCCC(C)=O
23,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F
24,CCOP(=O)([O-])OCC.CCn1cc[n+](C)c1
25,CCn1cc[n+](C)c1.F[B-](F)(F)F
26,C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C
27,CCCC(=O)OCC
28,CCCCCCCCN(CCCCCCCC)CCCCCCCC
29,CCOC(=O)CC(=O)OCC
30,Cc1ccccc1
31,CCCCOCC(C)C
32,CCCC[N+]1(C)CCCC1.N#C[N-]C#N
33,CCN(CC)CCO
34,NCCCNCCCN
35,Cc1ccccc1C
36,CCCC(=O)OC
37,OCc1ccccc1
38,OCCc1ccccc1
39,CN(C)CCN(C)CCO
40,CCCCCOC(=O)CC
41,OCCOCCOCCO
42,CCCCOC=O
43,CCn1cc[n+](C)c1.N#C[S-]
44,CC(=O)CC(C)=O
45,OC1CCCCC1
46,CN1CCOCC1
47,Brc1ccccc1
48,CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F
49,CCCCCCCCO
50,CCCCCCCO
51,CCCCCCCCCCCCCCC
52,O=S1(=O)CCCC1
53,CCC(C)(C)O
54,CCCC[N+]1(C)CCCCC1.N#C[N-]C#N
55,CCCCNCCCC
56,C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1
57,CC(=O)N(C)C
58,CCCCOCCCC
59,COC=O
60,Cc1cnccn1
61,CCCOCCC(C)C
62,BrCCCCCBr
63,CN1CCNCC1
64,COCCOCCO
65,CCn1cc[n+](C)c1.N#CC(=C=[N-])C#N
66,C1COCCN1
67,CCOC(C)(C)C
68,COCCO
69,CCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
70,COC(=O)OC
71,CCCCc1ccccc1
72,CCCCCCOCC
73,CC(=O)C(C)C
74,CCCCN(CCCC)CCCC
75,COC(C)=O
76,C#CCCCC
77,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
78,ClCCl
79,CCCCn1cc[n+](C)c1.F[B-](F)(F)F
80,ClCCCCl
81,CCCCC#N
82,c1ccoc1
