,0
0,CC#CCCC
1,CCCC(C)=O
2,CCC(C)(C)O
3,Cc1cccnc1
4,Clc1ccccc1Cl
5,Cc1ccccc1Cl
6,ClC(Cl)Cl
7,CC(C)C(C)C
8,COC(=O)OC
9,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F
10,CCC#CCC
11,C[C@H]1COC(=O)O1
12,CCCCCOCCC
13,CCCCCC(=O)CC
14,c1ccccc1
15,CCCCn1cc[n+](C)c1.COS(=O)(=O)[O-]
16,CCCCCCn1cc[n+](C)c1.F[B-](F)(F)F
17,OCC(F)(F)F
18,COP(=O)(OC)OC
19,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
20,CN1CCCCC1
21,CCCCCCCCN(CCCCCCCC)CCCCCCCC
22,CC(C)O
23,CCOC(=O)OCC
24,CC(C)(C)O
25,CN(C)C=O
26,CCOS(=O)(=O)[O-].CCn1cc[n+](C)c1
27,CCN(CC)CCN
28,CCCCCCCOC
29,CCn1cc[n+](C)c1.O=C([O-])C(F)(F)F
30,CCCCCCO
31,CCCCCCCCCCCC
32,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F
33,C[C@@H](O)c1ccccc1
34,C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1
35,CCc1ccccc1
36,C1CCOC1
37,CCN(CC)CCCN
38,CCCC#N
39,CCCCCCCCCC(=O)OC
40,CCOC(C)=O
41,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F
42,CCOCC
43,OC1=NCCC1
44,CCCCN(CCCC)CCCC
45,CCCCCCCl
46,O=Cc1ccccc1
47,O=C1CCCC1
48,CCCCCOC(=O)CC
49,COC(=O)[C@H](C)CO
50,CCCCCCCCCCCCC
51,CC(=O)C(C)C
52,NCCNCCNCCN
53,CC(C)CO
54,COC(=O)[C@@H](C)CO
55,ClC(Cl)(Cl)Cl
56,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
57,OCCc1ccccc1
58,[Cd+2].[Cl-].[Cl-]
59,Cc1ccccn1
60,CCCCC#N
61,O=CO
62,CCn1cc[n+](C)c1.N#C[S-]
63,C=CCCCC
64,CCCCc1ccccc1
65,C1CCOCC1
66,Nc1ccccc1
67,CCCOC(C)=O
68,CCCCCCCCCCCCCC
69,C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C
70,CCCCCC
71,CCCOC(=O)CCC
72,ClCCCl
73,C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C
74,CCCCCCCCO
75,CC1(C)C(=O)[C@@]2(C)CC[C@@H]1C2
76,CCCCCCCCCCCCCCCCC
77,COC=O
78,ClCCCCCl
79,CCCCC(=O)OC
80,COC(F)(F)C(F)(F)C(F)(F)C(F)(F)F
81,CCCCCC(C)=O
82,OCCN1CCNCC1
83,OCC(O)CO
84,CCn1cc[n+](C)c1.N#CC(=C=[N-])C#N
