Mixture,Temperature,Pressure,Count
COC(C)=O | CCCCCCC,318.15,101.3,18
COC(C)=O | CCCCCCCCC,318.15,101.3,19
COC(C)=O | CCCCCCCCCCC,318.15,101.3,19
COC(C)=O | CCCCCCCCCCCCC,318.15,101.3,17
COC(C)=O | CCCCCCCCCCCCCCC,318.15,101.3,19
COC(C)=O | CCCCCCCCCCCCCCCCC,318.15,101.3,19
CCOC(C)=O | CCCCCCC,291.15,101.0,34
CCOC(C)=O | CCCCCCC,318.15,101.3,34
CCOC(C)=O | CCCCCCCCC,291.15,101.0,37
CCOC(C)=O | CCCCCCCCC,318.15,101.3,37
CCOC(C)=O | CCCCCCCCCCC,318.15,101.3,17
CCOC(C)=O | CCCCCCCCCCCCC,318.15,101.3,19
CCOC(C)=O | CCCCCCCCCCCCCCC,318.15,101.3,18
CCOC(C)=O | CCCCCCCCCCCCCCCCC,318.15,101.3,20
CCCOC(C)=O | CCCCCCC,291.15,101.0,31
CCCOC(C)=O | CCCCCCC,318.15,101.3,31
CCCOC(C)=O | CCCCCCCCC,291.15,101.0,30
CCCOC(C)=O | CCCCCCCCC,318.15,101.3,30
CCCOC(C)=O | CCCCCCCCCCC,318.15,101.3,18
CCCOC(C)=O | CCCCCCCCCCCCC,318.15,101.3,17
CCCOC(C)=O | CCCCCCCCCCCCCCC,318.15,101.3,18
CCCOC(C)=O | CCCCCCCCCCCCCCCCC,318.15,101.3,19
CCCCOC(C)=O | CCCCCCC,318.15,101.3,18
CCCCOC(C)=O | CCCCCCCCC,318.15,101.3,16
CCCCOC(C)=O | CCCCCCCCCCC,318.15,101.3,18
CCCCOC(C)=O | CCCCCCCCCCCCC,318.15,101.3,17
CCCCOC(C)=O | CCCCCCCCCCCCCCC,318.15,101.3,18
CCCCOC(C)=O | CCCCCCCCCCCCCCCCC,318.15,101.3,19
CCCCCOC(C)=O | CCCCCCC,318.15,101.3,18
CCCCCOC(C)=O | CCCCCCCCC,318.15,101.3,16
CCCCCOC(C)=O | CCCCCCCCCCC,318.15,101.3,16
CCCCCOC(C)=O | CCCCCCCCCCCCC,318.15,101.3,19
CCCCCOC(C)=O | CCCCCCCCCCCCCCC,318.15,101.3,16
CCCCCOC(C)=O | CCCCCCCCCCCCCCCCC,318.15,101.3,15
CCC(=O)OC | CCCCCCC,318.15,101.0,19
CCC(=O)OC | CCCCCCCCC,318.15,101.0,18
CCC(=O)OC | CCCCCCCCCCC,318.15,101.0,19
CCC(=O)OC | CCCCCCCCCCCCC,318.15,101.0,18
CCC(=O)OC | CCCCCCCCCCCCCCC,318.15,101.0,17
CCC(=O)OC | CCCCCCCCCCCCCCCCC,318.15,101.0,19
CCCCCCC | CCOC(=O)CC,318.15,101.0,17
CCCCCCCCC | CCOC(=O)CC,318.15,101.0,17
CCCCCCCCCCC | CCOC(=O)CC,318.15,101.0,17
CCOC(=O)CC | CCCCCCCCCCCCC,318.15,101.0,18
CCCCCCCCCCCCCCC | CCOC(=O)CC,318.15,101.0,18
CCCCCCCCCCCCCCCCC | CCOC(=O)CC,318.15,101.0,16
