Mixture,Count
OCCOCCOCCO | OCc1ccccc1,17
CNc1ccccc1 | CCCCCCCC,9
COC(=O)CC(C)=O | CC(C)O,52
c1ccccc1 | CCCCCCC,3
CCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F | CCCCCC,9
OCc1ccccc1 | CCO,10
CCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F | CCCO,8
CNc1ccccc1 | Cc1ccccc1,9
CCCCCCCCCC(=O)OC,6
CS(C)=O | CCCO,68
COP(=O)([O-])OC.Cn1cc[n+](C)c1 | CO,5
CCCCOCCCC | CC(C)CC(C)(C)C | CCCCO,36
O=C1CCCCC1 | OC1CCCCC1,38
CCCCCCCCCC | CCOC=O,31
CCCC[n+]1cccc(C)c1.F[B-](F)(F)F | O,47
OCc1ccccc1 | CCCCCO,9
CC(C)OC(C)C | c1ccccc1 | Cc1ccccc1,40
CC(=O)CC(C)=O | CC(C)O,84
BrCBr | CC(=O)c1ccccc1,8
CCC(=O)OC | CCCCCCCCC,18
CCCCCCCCCC | CCCO,17
CC(=O)N(C)C | ClCCCCCCCl,22
Cc1ccccc1N | Cc1ccncc1,18
BrCBr | C1COCCO1,9
CCCCC(=O)OCC | ClCCCCl,16
CCOC(C)=O | CC(C)O,27
C1COCCO1 | O=CO,22
CCCC[N+]1(C)CCCC1.N#C[B-](C#N)(C#N)C#N | c1ccsc1,38
CCOC(C)(C)CC | CC#N,9
CC(C)OC(C)C | Cc1ccccc1,10
CC(=O)c1ccccc1 | CCCCCC,39
CCCCCCn1cc[n+](C)c1.O=S(=O)([O-])C(F)(F)F | O,18
CCCCOCCCC | CO,20
C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1 | CCCCCCC,1
C1CCCC1 | CCCCCCCCCO,10
BrCCCCCBr | CCOC=O,18
CCCC(=O)OC | BrCCCCBr,12
CCC(C)=O | CCCNCCC,10
COC=O | CCCCCCC,55
CCCCO | CCCCCCC,38
CCCCCCCCCCCCC | CCCCCOC(=O)CC,17
CCCOC(C)=O | CCCCCCCC,43
CCCC(=O)OCC | ClCCCCCCCl,15
CCCCOCCCC | CC(C)CC(C)(C)C,38
CCCCC | CCOC=O,35
CCO | CC(=O)OC(C)=O,18
[Au] | [Fe],2
CCCC(=O)OCC | ClCCCl,17
O | CCO,61
CN1CCCC1=O | CCC(C)=O,15
CCCOC=O | CCCCCCCCC,32
CN1CCCC1=O | CCCCCCCl,23
CS(C)=O | OCc1ccccc1,17
CCCCCCCCO | CCCCCCCCCCCC,18
Cc1cccnc1 | CO,10
CC(=O)c1ccccc1 | CCCO,60
ClCCCCCl | CCCOC(C)=O,13
c1ccncc1 | [Cd+2].[Cl-].[Cl-] | O,18
Cc1ccccc1 | Clc1ccccc1,10
CC(C)OC(C)C | CC(C)CO,17
CCCCC(=O)OCC | BrCCCCCBr,16
c1cc[nH]c1 | c1ccncc1,38
CC(C)(C)O | CCCOC(C)=O,36
CN1CCCC1=O | CCCCCl,23
CN(CCO)CCO | c1ccncc1,315
CC(=O)N(C)C | c1ccccc1,15
C1CCOCC1 | CNc1ccccc1,14
CCCCOC=O | CCCCCCC,30
CCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F | CC(C)=O,12
CO,1
CCCCOC(C)=O | CCCCCCCCCCC,18
CCO | CCCCCC,17
CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F | O,42
C1CCOCC1 | CCCCCCCCCC,9
C1COCCO1 | O=C1CCCCCC1,18
O=C=O | CCCCCCCCO,1
OC1=NCCC1 | CCCO,14
O | CCCCn1cc[n+](C)c1.O=S(=O)([O-])C(F)(F)F,8
OCC(F)(F)F | CCn1cc[n+](C)c1.F[B-](F)(F)F,21
CN1CCCC1=O | c1ccccc1,14
CN1CCCC1=O | c1ccncc1,18
CCC(=O)OC | CCCCCCC,19
CCn1cc[n+](C)c1.F[B-](F)(F)F | CC(C)=O,18
CCO | c1ccncc1 | Cl.N,20
CCCCn1cc[n+](C)c1.COS(=O)(=O)[O-] | CCO,11
CCCCO | C=CCCCC,38
CCCCCCCCC | CCCCCOC(=O)CC,17
COC(=O)OC | CCCCCCCC,17
CCCCOCCCC | CCCCO,141
C1CCOCC1 | CCCCCO,9
CC#N | ClC(Cl)(Cl)Cl,14
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F | CCCCCCC,19
CCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F | Cc1ccccc1,12
CCC(C)(C)O | CCCO,10
COC(=O)OC | CCCCCCC,19
C1CCOCC1 | Cc1ccccc1,14
Cc1ccccc1 | CCCCCCC,206
CN(C)C=O | CCCCCCN,19
CCCCC(=O)OCC | BrCCCCBr,14
CCn1cc[n+](C)c1.F[B-](F)(F)F | Cc1cccnc1,18
OCCO | O,13
CCOC(=O)C(C)C | CCCCO,22
CCOC(C)=O | ClCCCl,19
