Mixture,Count
CCOC(=O)CC(=O)OCC | CCOC(C)=O,114
CCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F | CCC(=O)CC,12
CS(C)=O | ClCCCl,17
CCn1cc[n+](C)c1.O=S(=O)([O-])C(F)(F)F | C[N+](=O)[O-],7
CCCC(=O)OCC | BrCCCCBr,17
CCCCC | COC=O,17
C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C | CCCCCCC,1
ClC(Cl)(Cl)Cl,4
CCOC(C)=O | CCCCCCCCCCCCCCC,18
CCCC#N | ClC(Cl)(Cl)Cl,18
CCCCOC(C)=O | CCCCCCCCCCCCCCCCC,19
CCCCC#N | ClC(Cl)(Cl)Cl,17
CCCCOCCCC | CO,20
CS(C)=O | CCCCCCCCCCO,17
CCCCCCCCC | CCCCOC(=O)CC,17
CCOC=O | ClCCCCCCCl,15
CCCCCC | C1CCCCC1,33
C=CCCCC | CC(C)CC(C)(C)C,19
CCO | CC(=O)OC(C)=O,18
CCCCCOC(C)=O | CCCCCCCCCCCCCCC,16
CC(=O)c1ccccc1 | CC(C)CO,65
CCC(C)(C)O | CO,10
CCCC#N | c1ccccc1,16
CCCCOCCCC | c1ccccc1,30
CC(C)(C)O | CCCC(=O)OCC,33
BrCCCCCCBr | CCCCOC(=O)CCC,13
Cc1ccccc1N | Cc1cccc(C)c1,14
CCCCCCCCCCCCCCC | CCCOC(=O)CC,16
Cc1cccc(C)n1 | CCCCCC,12
CCCCCCO | CCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,15
Cc1ccccc1N | Cc1ccccc1,14
CN(C)CCO | CCO,49
BrCCCCCBr | CCOC(C)=O,19
CCCCCCCCC(C)=O | CCCCCCCCCCCCCCCC,57
CC(=O)CC(C)C | O,45
CCCCCCCCCCCCCCCCC | CCCOC(=O)CC,17
CCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F | CCCO,32
COC(C)=O | CC(C)CC(C)(C)C,18
CCCCn1cc[n+](C)c1.F[B-](F)(F)F | CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,10
CCn1cc[n+](C)c1.COP(=O)([O-])OC | O | CCO,16
CCOCCOCCO | OCc1ccccc1,17
CCC(=O)OC | BrCCBr,17
c1ccccc1 | CCO,35
OC1=NCCC1 | CC(C)O,14
OCC(F)(F)F | CCn1cc[n+](C)c1.F[B-](F)(F)F,21
CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F | CO,42
CCOC(=O)CC(C)=O | CCCO,39
C1CCCCC1 | Cc1cncc(C)c1,9
ClCCCCCCCl | CCCOC(=O)CCC,13
OCC(F)(F)F | CCCO,25
CCO | CCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,15
CCC(C)(C)O | CCO,10
CCCCCCCCCCCC | CCCCOC(=O)CCC,18
ClC(Cl)Cl | COC(C)(C)C,18
BrCCCBr | CCCCOC(C)=O,12
CCOC(C)=O | CCCCC,15
ClCCCl | CCCOC=O,12
C=CCCCC | CCCCCCCCCC,19
BrCBr | CCOCC,9
COC(C)=O | CCCC(=O)OC,16
CS(C)=O | CC(Cl)(Cl)Cl,17
BrCCBr | CCOC(=O)CC,18
CCO,3
Cc1cnccn1 | Cc1ccccc1,8
C1CCCC1 | CCCCCCCO,11
CCn1cc[n+](C)c1.F[B-](F)(F)F | CN1CCCC1=O,18
CCn1cc[n+](C)c1.F[B-](F)(F)F | CS(C)=O,18
CC#N | CCCCCCOCC,80
CN1CCCC1=O | ClC(Cl)=C(Cl)Cl,13
ClC[C@H]1CO1 | ClC[C@@H]1CO1,70
CC(=O)CC(C)=O | CC(C)O,42
CCCCC,2
CCO | CCCCCC,17
CCn1cc[n+](C)c1.F[B-](F)(F)F | CN1CCCC1=O | O,32
CC#N | CCCCCCCCCCO,59
CCCCC#N | c1ccccc1,17
CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F | CCO,40
CCCOC(=O)CC | CCCCCCO | c1ccccc1,198
COC(=O)CC(C)=O | CCO,52
CC(=O)c1ccccc1 | C1CCCCC1,65
OCc1ccccc1 | CCCCCO,9
CCn1cc[n+](C)c1.F[B-](F)(F)F | O,18
CCCCCO | CCCCCCCCC,18
C[C@@H](N)c1ccccc1 | C[C@H](N)c1ccccc1,37
OCCOCCOCCOCCO | OCc1ccccc1,17
CC(C)CO | c1ccccc1,14
CCn1cc[n+](C)c1.N#C[N-]C#N | O,24
NCCNCCO | O,8
CC(=O)O | CC(=O)OCCOC(C)=O,19
CCOC(=O)C(=O)OCC | CCCO,76
CCCCCCCCO | CCCCCCC(C)=O,69
CCCC(=O)OC | BrCCCBr,13
BrCCCBr | CCOC=O,15
C1COCCO1 | O=CO | Cl.N,10
CC(=O)OC(C)=O | CC(=O)O,19
CCO | CCN(CC)CC | CCCCCC,104
ClCCCl | CCCOC(=O)CC,13
ClC(Cl)(Cl)Cl | CCCCC,11
CCCC(=O)OCC | BrCCCBr,17
CC1(C)C(=O)[C@]2(C)CC[C@H]1C2 | CC(C)O,44
Cn1ccnc1 | O,12
CCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F | CCCCCC,9
CCCCOC(C)=O | CCCCCCCCCCC,18
Cc1cncc(C)c1 | CCCCCC,10
C1COCCN1 | C1COCCO1,9
CCOCCOCC | OCc1ccccc1,17
CC(=O)N(C)C | ClCCCCCl,24
CCCO | CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,88
CCCCCC(=O)CC | CCCCCCCCCCCC,57
C1CCNCC1,1
COC(C)=O | BrCCCCBr,16
C=CCCCCCC | CCCCCCO,9
CCC[N+](=O)[O-] | CCCCCCCCCC,8
CO | BrCBr,10
Cn1ccnc1,3
O=C1CCCCC1 | CCCCCCCCC,15
CC(=O)c1ccccc1 | CCOC(C)=O,33
OCCOCCO | O,17
CCC(=O)CC | O,48
C1CCOCC1 | C1COCCN1 | C1CCCCC1,24
C1COCCO1 | O=CO | [Ca+2].[Cl-].[Cl-],22
COC(=O)[C@H](C)CO | COC(=O)[C@@H](C)CO,50
CCCCOC=O | ClCCCCCCCl,32
CCCc1ccccc1 | ClCCCc1ccccc1,17
Cc1cccnc1 | O,12
CCOC(=O)CC(C)=O | CC(C)O,39
CC(=O)CC(C)C | CCCCCCO,10
CCCOC(C)=O | CCCCCC,47
CCOC(C)(C)C,6
CCn1cc[n+](C)c1.F[B-](F)(F)F | CC(C)=O,18
CCO | CC(=O)OC(C)=O | CCOC(C)=O,19
c1ccncc1 | NCCO,130
C1CCOCC1 | Cc1ccncc1,18
CCCCn1cc[n+](C)c1.COS(=O)(=O)[O-] | CCO,11
CN1CCCCC1 | O,18
CCC(C)=O,1
ClCCCl | CCCOC(=O)CCC,13
CCC(=O)OC | BrCCCCCCBr,15
CCO | CCN(CC)CC,17
CS(C)=O | O=C1CCCCC1,14
CCn1cc[n+](C)c1.COP(=O)([O-])OC | CCO,9
BrCBr | CC(=O)c1ccccc1,8
CCCCC(=O)OC | CO,20
CCCCC(=O)OCC | ClCCCCl,16
COC(C)=O | BrCCCBr,17
CN(C)CCO | CCCO,33
CC#N | CCCOCCC(C)C,63
CCCCO | CCCCCC,37
CCOC(=O)C(C)C | CCCCO,22
C[C@@H](NCc1ccccc1)c1ccccc1 | C[C@H](NCc1ccccc1)c1ccccc1,12
CCCCCC(C)C,2
C1CCOCC1 | CCCCCC(C)=O,17
CCOS(=O)(=O)[O-].CCn1cc[n+](C)c1 | O,17
C=CCCCC | CCCCCCC,19
CC(=O)c1ccccc1 | CCCCO,65
c1ccccc1 | BrCBr,9
ClC(Cl)Cl | Cc1ccccc1N,14
COC=O | BrCCCCCCBr,15
C1CCOCC1 | OCC(F)(F)F,33
COC=O | CCCCCCC,55
C[Si](C)(C)O[Si](C)(C)C | CCCCCCC,1
CCCOC(C)=O | CCCCCCCC,43
CCCCCC | CCCCCO,18
CCn1cc[n+](C)c1.COP(=O)([O-])OC | CO,8
BrCCCBr | CCOC(C)=O,17
CCCOC(=O)CC | CCCCCCCCCCCCC,17
CCCOC(C)=O | CCCCCCCCCCCCC,17
O=Cc1ccccc1 | CCCO,12
CCOC(=O)CC(=O)OCC | CCCCCO,114
COC(C)=O | CCCCCCC,18
COC=O | BrCCCCBr,12
CCCCn1cc[n+](C)c1.O=S(=O)([O-])C(F)(F)F | CCCCCCC,12
COP(=O)([O-])OC.Cn1cc[n+](C)c1 | CO,5
CCCCOC=O | ClCCCCCl,32
CO | O=CO | [Cl-].[Cl-].[Zn+2],12
CC(=O)N(C)C | ClCCCl,23
CO | CC1CCCCC1,24
CS(C)=O | Brc1ccccc1,18
CS(C)=O | CCC(C)=O,15
C=CCCCC | CCCC(C)C,19
CCC(=O)OC | CCCCCCCCCCCCC,18
CCCCCCn1cc[n+](C)c1.F[B-](F)(F)F | CCO,9
CCCCCCCCO | CCCCCCCCCCCC | CCCCOC(=O)CCC,40
CCCCO | CCCCCCCC,32
CC#N | CCCCCCCOC,80
BrCCCBr | CCCCOC(=O)CCC,11
CCn1cc[n+](C)c1.F[B-](F)(F)F | OC1=NCCC1,18
CN(C)C=O | CCCCNCCCC,19
CCCCCCO | CCCCCC(=O)O,49
C=CCCCC | CCCCCCCCCCCC,19
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1
CCCCCC(=O)CC | CCCCCCCCCCCCCC,53
CCn1cc[n+](C)c1.F[B-](F)(F)F | OC1=NCCC1 | O,32
CCOC(=O)OCC | CCCCCO,16
C1CCCCC1 | C1CCNCC1,9
CN(CCO)CCO | c1ccncc1,315
CCCC[N+]1(C)CCCC1.N#C[B-](C#N)(C#N)C#N | CCCO,39
OCCN1CCOCC1 | O,36
CCCCCCCCCC | CCCCOC=O,29
CC(C)OC(C)C | CCO,19
c1cc[nH]c1 | CCCO,34
CCCC(C)C | COC(C)(C)C,19
CCCCO | CCC(C)=O,11
CCC[N+](=O)[O-] | CCCCCCCCCCCC,7
OCCOCCOCCO | CCO,17
Clc1ccccc1Cl | c1ccccc1 | CCCCCCCl,57
C1CCNCC1 | C1COCCN1,9
COC=O | BrCCCBr,14
CCCO | c1ccccc1,38
ClC(Cl)(Cl)Cl | CCCCCCC,10
CCc1ccccc1 | ClCc1ccccc1,12
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F | CCCCCC,19
CS(C)=O | CCCCCCO,17
CCOC(=O)CC(C)=O | CO,39
CCCCCCCCCCCC | CCCCC(=O)OCC,17
BrCBr | c1ccoc1,8
CCCCCCO | c1ccccc1,38
O=Cc1ccccc1 | CCCCO,12
C=CCCCCCC | CCCCO,9
CCCCCC(C)=O | CCN(CC)CC,9
CCCCO | CCN(CC)CC,20
CCCCCOCCCCC | CCCCCCCCCCCC,59
CCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F | c1ccccc1,14
CS(C)=O | Clc1ccccc1,17
C1CCOCC1 | c1ccccc1,14
CCC(C)=O | CCN(CC)CC,9
C1CCOCC1 | C1CCNCC1,9
CCCO | CCCCCCCCC,15
CCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F | CC(C)=O,12
CN(C)C=O | CCCCN,20
CCCCCC(C)=O | Nc1ccccc1,14
CCO | C1CCCCC1,20
C1CCOCC1 | CCCCCCCCCO,9
CCCCCCC(C)=O | CCCCCCCCCCCC,58
CN1CCCC1=O | ClC(Cl)C(Cl)Cl,23
Cc1ccncc1 | O,12
CC(=O)CC(C)=O | CCOC(C)=O,42
CCOS(=O)(=O)[O-].CCn1cc[n+](C)c1 | C[N+](=O)[O-],9
CCO | c1ccncc1 | Cl.N,20
CCCCCCC,18
CCCCCC(C)=O | CCCCNCCCC,9
CC(=O)c1ccccc1 | CCCCCO,65
CN1CCCC1=O | ClC=C(Cl)Cl,14
CCOCCOCCOCC | OCc1ccccc1,17
CC(=O)O | CC(=O)OCCO,9
CCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F | CCO,32
CCC#N | c1ccccc1,20
OCc1ccccc1 | CCCCCCO,9
CCCCC(C)=O | O,36
CCOC(=O)C(=O)OCC | CCO,76
CC(C)(C)O | CCOC=O,35
CCCCCC | Cc1ccccc1,16
NCCCN1CCOCC1 | O,36
COC(=O)OC | CCCCCCCCCC,19
CCCCCC(=O)O | CN(C)C=O,62
COc1ccccc1 | OCCCc1ccccc1,17
O | CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,8
CC(=O)CC(C)C | CCCCCO,11
CCCOC(C)=O | C=CCCCC,13
CCN(CC)CCN | C1CCCCC1,6
CCCC[N+]1(C)CCCC1.N#C[B-](C#N)(C#N)C#N | CCCCO,34
COC(=O)OC | CCc1ccccc1,19
C1COCCN1 | O,36
