Id,Temperature (K),Pressure (kPa),Phase,N Components,Component 1,Role 1,Mole Fraction 1,Exact Amount 1,Component 2,Role 2,Mole Fraction 2,Exact Amount 2,Component 3,Role 3,Mole Fraction 3,Exact Amount 3,EnthalpyOfMixing Value (kJ / mol),EnthalpyOfMixing Uncertainty (kJ / mol),Source
42f11d188ddd4c2b90ae7f23ecb95b0f,318.15,101.3,Liquid,2,COC(C)=O,Solvent,0.0778,,CCCCCCC,Solvent,0.9222,,,,,,0.571,0.00525,10.1016/j.jct.2003.11.008
59f1d2826ca2481a9ac1443898d15e57,318.15,101.3,Liquid,2,COC(C)=O,Solvent,0.1534,,CCCCCCC,Solvent,0.8466,,,,,,1.0183,0.0087,10.1016/j.jct.2003.11.008
88ff1552aad946bc8f318464439a9aeb,318.15,101.3,Liquid,2,COC(C)=O,Solvent,0.2251,,CCCCCCC,Solvent,0.7749,,,,,,1.3854,0.0115,10.1016/j.jct.2003.11.008
a8b93bfd0b734f209872bd9e7b53d1ac,318.15,101.3,Liquid,2,COC(C)=O,Solvent,0.2785,,CCCCCCC,Solvent,0.7215,,,,,,1.5803,0.013,10.1016/j.jct.2003.11.008
5a76d15fc26a45f0b393da4e59d5d0d6,318.15,101.3,Liquid,2,COC(C)=O,Solvent,0.3445,,CCCCCCC,Solvent,0.6555,,,,,,1.7825,0.0146,10.1016/j.jct.2003.11.008
e1044d3f71484176a2fca96cae57a0ff,318.15,101.3,Liquid,2,COC(C)=O,Solvent,0.4038,,CCCCCCC,Solvent,0.5962000000000001,,,,,,1.8877,0.0154,10.1016/j.jct.2003.11.008
c0ea36fd24a0479e9b24561364d0c7eb,318.15,101.3,Liquid,2,COC(C)=O,Solvent,0.4555,,CCCCCCC,Solvent,0.5445,,,,,,1.9308,0.01575,10.1016/j.jct.2003.11.008
edef53d9304f4c328f536a4e6faa761c,318.15,101.3,Liquid,2,COC(C)=O,Solvent,0.5034,,CCCCCCC,Solvent,0.4966,,,,,,1.9471,0.01585,10.1016/j.jct.2003.11.008
7a13a0c705a74d538e8c973c68270de3,318.15,101.3,Liquid,2,COC(C)=O,Solvent,0.5451,,CCCCCCC,Solvent,0.4548999999999999,,,,,,1.93,0.0157,10.1016/j.jct.2003.11.008
f4836642f567476ab5a7ed35691bc435,318.15,101.3,Liquid,2,COC(C)=O,Solvent,0.5759,,CCCCCCC,Solvent,0.4241,,,,,,1.9068,0.01555,10.1016/j.jct.2003.11.008
c3057cc5790a438f866b2770345b7518,318.15,101.3,Liquid,2,COC(C)=O,Solvent,0.6498,,CCCCCCC,Solvent,0.3501999999999999,,,,,,1.7917,0.01465,10.1016/j.jct.2003.11.008
1d11c55b44d943868c4999b09c9b5896,318.15,101.3,Liquid,2,COC(C)=O,Solvent,0.6832,,CCCCCCC,Solvent,0.3167999999999999,,,,,,1.7414,0.01425,10.1016/j.jct.2003.11.008
6757dac136284c638730cc12cd4d9ebc,318.15,101.3,Liquid,2,COC(C)=O,Solvent,0.7322,,CCCCCCC,Solvent,0.2678,,,,,,1.6269,0.0134,10.1016/j.jct.2003.11.008
428fac9ee43049e2a83b80cc536df104,318.15,101.3,Liquid,2,COC(C)=O,Solvent,0.7698,,CCCCCCC,Solvent,0.2301999999999999,,,,,,1.4883,0.0123,10.1016/j.jct.2003.11.008
c0178ac7e3994ed5aea0fd3f07080dfa,318.15,101.3,Liquid,2,COC(C)=O,Solvent,0.8184,,CCCCCCC,Solvent,0.1815999999999999,,,,,,1.3079,0.0109,10.1016/j.jct.2003.11.008
3bcf0a09129342ee921d68c270ae9719,318.15,101.3,Liquid,2,COC(C)=O,Solvent,0.873,,CCCCCCC,Solvent,0.127,,,,,,1.0458,0.0089,10.1016/j.jct.2003.11.008
b6c812e129844713969202026e6a0402,318.15,101.3,Liquid,2,COC(C)=O,Solvent,0.9036,,CCCCCCC,Solvent,0.0964,,,,,,0.7904,0.00695,10.1016/j.jct.2003.11.008
a59f2c9422df4766be0ecbf7f658ec54,318.15,101.3,Liquid,2,COC(C)=O,Solvent,0.9534,,CCCCCCC,Solvent,0.0465999999999999,,,,,,0.45,0.0043,10.1016/j.jct.2003.11.008
5910594087274e7685514cc45ca4ce94,318.15,101.3,Liquid,2,COC(C)=O,Solvent,0.0822,,CCCCCCCCC,Solvent,0.9178,,,,,,0.5468,0.00505,10.1016/j.jct.2003.11.008
ca4020a4dfb246079f976967bfe4c420,318.15,101.3,Liquid,2,COC(C)=O,Solvent,0.1628,,CCCCCCCCC,Solvent,0.8371999999999999,,,,,,1.0081,0.0086,10.1016/j.jct.2003.11.008
73dac3987e5d444f8e4e34ea449a44e9,318.15,101.3,Liquid,2,COC(C)=O,Solvent,0.2353,,CCCCCCCCC,Solvent,0.7646999999999999,,,,,,1.3997,0.01165,10.1016/j.jct.2003.11.008
9f0bd324c0044fc6b8b9d26502ef4a55,318.15,101.3,Liquid,2,COC(C)=O,Solvent,0.2999,,CCCCCCCCC,Solvent,0.7001,,,,,,1.6673,0.0137,10.1016/j.jct.2003.11.008
ee7165787df540a3ba64ef742f04fefb,318.15,101.3,Liquid,2,COC(C)=O,Solvent,0.364,,CCCCCCCCC,Solvent,0.636,,,,,,1.8764,0.0153,10.1016/j.jct.2003.11.008
2885c2bbf0b34e0ebc5af937116716a5,318.15,101.3,Liquid,2,COC(C)=O,Solvent,0.4195,,CCCCCCCCC,Solvent,0.5805,,,,,,2.0144,0.0164,10.1016/j.jct.2003.11.008
a915c1a25972414dba2031bed77dcdfe,318.15,101.3,Liquid,2,COC(C)=O,Solvent,0.4714,,CCCCCCCCC,Solvent,0.5286,,,,,,2.0799,0.0169,10.1016/j.jct.2003.11.008
5fab3612850848e49d65f7e6c0ae9d3c,318.15,101.3,Liquid,2,COC(C)=O,Solvent,0.5122,,CCCCCCCCC,Solvent,0.4878,,,,,,2.1101,0.0171,10.1016/j.jct.2003.11.008
61f8adc676d44385b0858cdebe567de2,318.15,101.3,Liquid,2,COC(C)=O,Solvent,0.549,,CCCCCCCCC,Solvent,0.4509999999999999,,,,,,2.1215,0.0172,10.1016/j.jct.2003.11.008
d4bb7761299c49c582d3093cad966c22,318.15,101.3,Liquid,2,COC(C)=O,Solvent,0.5847,,CCCCCCCCC,Solvent,0.4153,,,,,,2.1168,0.01715,10.1016/j.jct.2003.11.008
3b1b5b7073584e778d3fb2ed7e63877a,318.15,101.3,Liquid,2,COC(C)=O,Solvent,0.621,,CCCCCCCCC,Solvent,0.379,,,,,,2.1004,0.01705,10.1016/j.jct.2003.11.008
3ddf559e49814b61ac7a353ddd689776,318.15,101.3,Liquid,2,COC(C)=O,Solvent,0.6618,,CCCCCCCCC,Solvent,0.3381999999999999,,,,,,2.0492,0.01665,10.1016/j.jct.2003.11.008
26ada17074c84341b3eaa3f95afc693d,318.15,101.3,Liquid,2,COC(C)=O,Solvent,0.7017,,CCCCCCCCC,Solvent,0.2983,,,,,,1.9387,0.0158,10.1016/j.jct.2003.11.008
ece9fbbc390e4d598a52d6e4cf43e21c,318.15,101.3,Liquid,2,COC(C)=O,Solvent,0.7452,,CCCCCCCCC,Solvent,0.2548,,,,,,1.8103,0.0148,10.1016/j.jct.2003.11.008
1c14cc604edf4394b503be25dc813a99,318.15,101.3,Liquid,2,COC(C)=O,Solvent,0.7891,,CCCCCCCCC,Solvent,0.2108999999999999,,,,,,1.6241,0.01335,10.1016/j.jct.2003.11.008
2e198537b314410886a3fe3c70917488,318.15,101.3,Liquid,2,COC(C)=O,Solvent,0.8353,,CCCCCCCCC,Solvent,0.1646999999999999,,,,,,1.4337,0.0119,10.1016/j.jct.2003.11.008
035d0e4317ed48d8a1fd5dae85092ac2,318.15,101.3,Liquid,2,COC(C)=O,Solvent,0.8771,,CCCCCCCCC,Solvent,0.1229,,,,,,1.2072,0.01015,10.1016/j.jct.2003.11.008
2703aa0588a44e7fbf5dd4bc978780ab,318.15,101.3,Liquid,2,COC(C)=O,Solvent,0.9219,,CCCCCCCCC,Solvent,0.0780999999999999,,,,,,0.8697,0.00755,10.1016/j.jct.2003.11.008
80b00b603a764eb597c1c4d9f773efba,318.15,101.3,Liquid,2,COC(C)=O,Solvent,0.9643,,CCCCCCCCC,Solvent,0.0356999999999999,,,,,,0.4326,0.00425,10.1016/j.jct.2003.11.008
bf101ac337324b2bb261a5ce0b7d9d63,318.15,101.3,Liquid,2,COC(C)=O,Solvent,0.1,,CCCCCCCCCCC,Solvent,0.9,,,,,,0.6719,0.006,10.1016/j.jct.2003.11.008
6c09ad0c3a624870b032f27def766555,318.15,101.3,Liquid,2,COC(C)=O,Solvent,0.203,,CCCCCCCCCCC,Solvent,0.7969999999999999,,,,,,1.2414,0.0104,10.1016/j.jct.2003.11.008
9f8db28c2ede4012899b0d7f8f98112d,318.15,101.3,Liquid,2,COC(C)=O,Solvent,0.2975,,CCCCCCCCCCC,Solvent,0.7025,,,,,,1.6998,0.01395,10.1016/j.jct.2003.11.008
df4eb5b2943a48a9be758ca229e57d6a,318.15,101.3,Liquid,2,COC(C)=O,Solvent,0.3707,,CCCCCCCCCCC,Solvent,0.6293,,,,,,1.9894,0.0162,10.1016/j.jct.2003.11.008
b65d242f0f504c7e9dcc73f1ca00acfe,318.15,101.3,Liquid,2,COC(C)=O,Solvent,0.4315,,CCCCCCCCCCC,Solvent,0.5685,,,,,,2.158,0.0175,10.1016/j.jct.2003.11.008
3dc3db4bf3c44ab08b3920c2cbf95493,318.15,101.3,Liquid,2,COC(C)=O,Solvent,0.4836,,CCCCCCCCCCC,Solvent,0.5164,,,,,,2.2502,0.0182,10.1016/j.jct.2003.11.008
8c64134238784956aaf5934bf017062b,318.15,101.3,Liquid,2,COC(C)=O,Solvent,0.528,,CCCCCCCCCCC,Solvent,0.472,,,,,,2.2905,0.0185,10.1016/j.jct.2003.11.008
b11b98e0e9af4b32803fc29b9a10ff48,318.15,101.3,Liquid,2,COC(C)=O,Solvent,0.5612,,CCCCCCCCCCC,Solvent,0.4387999999999999,,,,,,2.295,0.01855,10.1016/j.jct.2003.11.008
c5f050d05e924b449a4ba9aa6e6d3f24,318.15,101.3,Liquid,2,COC(C)=O,Solvent,0.5935,,CCCCCCCCCCC,Solvent,0.4065,,,,,,2.2942,0.01855,10.1016/j.jct.2003.11.008
88df4a0fe718443daa7ab48ab6b5ef0d,318.15,101.3,Liquid,2,COC(C)=O,Solvent,0.6178,,CCCCCCCCCCC,Solvent,0.3822,,,,,,2.2754,0.0184,10.1016/j.jct.2003.11.008
e7cb9dd1e8ab445c9f35344d62438d93,318.15,101.3,Liquid,2,COC(C)=O,Solvent,0.6538,,CCCCCCCCCCC,Solvent,0.3461999999999999,,,,,,2.2302,0.01805,10.1016/j.jct.2003.11.008
057ab6e7ee794ace8c29aebe269ef08b,318.15,101.3,Liquid,2,COC(C)=O,Solvent,0.6915,,CCCCCCCCCCC,Solvent,0.3085,,,,,,2.1647,0.01755,10.1016/j.jct.2003.11.008
81cda5f9c4104ff3942d3c8895775311,318.15,101.3,Liquid,2,COC(C)=O,Solvent,0.7306,,CCCCCCCCCCC,Solvent,0.2694,,,,,,2.0665,0.0168,10.1016/j.jct.2003.11.008
2d7767b0ed22457ea3764dfadda4b39f,318.15,101.3,Liquid,2,COC(C)=O,Solvent,0.769,,CCCCCCCCCCC,Solvent,0.2309999999999999,,,,,,1.9376,0.0158,10.1016/j.jct.2003.11.008
efd0326c384e4439a3b4f74e7f521749,318.15,101.3,Liquid,2,COC(C)=O,Solvent,0.8102,,CCCCCCCCCCC,Solvent,0.1897999999999999,,,,,,1.7479,0.0143,10.1016/j.jct.2003.11.008
7257f6d30fc74fd6a0cd5780548858bb,318.15,101.3,Liquid,2,COC(C)=O,Solvent,0.851,,CCCCCCCCCCC,Solvent,0.149,,,,,,1.5495,0.0128,10.1016/j.jct.2003.11.008
