,Id,Temperature (K),Pressure (kPa),Phase,N Components,Component 1,Role 1,Mole Fraction 1,Exact Amount 1,Component 2,Role 2,Mole Fraction 2,Exact Amount 2,Component 3,Role 3,Mole Fraction 3,Exact Amount 3,OsmoticCoefficient Value (),OsmoticCoefficient Uncertainty (),Density Value (g / ml),Density Uncertainty (g / ml),Source
0,cddc9485a39c414a90b3a1b4e4219af0,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.008848257766444224,,[Cl-].[Na+],Solvent,0.008848257766444224,,O,Solvent,0.9823034844671115,,0.91,0.0055,,,10.1016/j.jct.2013.08.018
1,7a612b0d9b7649b5917ed0a414946bb0,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.017541305539911355,,[Cl-].[Na+],Solvent,0.008770652769955678,,O,Solvent,0.973688041690133,,0.906,0.0055,,,10.1016/j.jct.2013.08.018
2,50bb0c2a55f847c99d3ece35f41de236,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.026083191692400795,,[Cl-].[Na+],Solvent,0.008694397230800266,,O,Solvent,0.9652224110767988,,0.897,0.0055,,,10.1016/j.jct.2013.08.018
3,a59ee6df2abd46c1b290634a0ab20866,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.03447782501685054,,[Cl-].[Na+],Solvent,0.008619456254212635,,O,Solvent,0.9569027187289367,,0.891,0.0055,,,10.1016/j.jct.2013.08.018
4,790f5a6318a14d109c5ae0fa8d48ce6b,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.003526820619403094,,[Cl-].[Na+],Solvent,0.01763410309701547,,O,Solvent,0.9788390762835814,,0.949,0.005,,,10.1016/j.jct.2013.08.018
5,ceba7902e1a34c7faf09e9586826dde0,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.00702885173956038,,[Cl-].[Na+],Solvent,0.01757212934890095,,O,Solvent,0.9753990189115387,,0.929,0.005,,,10.1016/j.jct.2013.08.018
6,056d2fa42e8f463288c54c8a390aa6a5,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.010506353807721648,,[Cl-].[Na+],Solvent,0.01751058967953608,,O,Solvent,0.9719830565127423,,0.941,0.005,,,10.1016/j.jct.2013.08.018
7,6b696086fc25405a9c2b61a3a0f20d99,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.01395958363540153,,[Cl-].[Na+],Solvent,0.01744947954425191,,O,Solvent,0.9685909368203466,,0.928,0.005,,,10.1016/j.jct.2013.08.018
8,1690923bb58e473aa7ae28cca55e9516,298.15,101.0,Liquid,2,[Cl-].[Na+],Solvent,0.017696515532888448,,O,Solvent,0.9823034844671115,,,,,,0.927,0.005,,,10.1016/j.jct.2013.08.018
9,3ec4e6e3b50246c59aac4aef488f6031,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.003526820619403094,,[Cl-].[Na+],Solvent,0.01763410309701547,,O,Solvent,0.9788390762835814,,0.917,0.005,,,10.1016/j.jct.2013.08.018
